"State","Year","utilities","auto","food","house_own","house_rent","gas","rPCE"
"Alaska",2015,7519,1061.26,3733.95,16897.20066,15245.172556,2050,44777
"Alaska",2016,6140.4,1053.48,3766.8,17292.691122,15074.61061,1921,44682
"Alaska",2017,6746.4,1072.19,3690.15,17976.8069405,14858.585506,2002,44892
"Alaska",2018,7866.6,1111.08,3942,19301.2977895,14951.53816,2118,45837
"Alaska",2019,7703.3,1141.81,4365.27413793103,19215.0651035,15098.466811,2175,47049
"Alaska",2020,6379.1,1112.74,4533.665,18485.3164395,15417.148626,1571,45108
"Alaska",2021,8897.8,1119.22,5105.255,18750.8795765,16656.630481,2161,47392
"Alaska",2022,13050.8,1154.57,5590.705,24865.8892405,18427.928401,3076,50009
"Alabama",2015,4117.6,877.58,3197.4,8556.70315735,10439.7851486167,1955,35658
"Alabama",2016,3951.4,936.97,3252.15,8663.94178488333,10801.19848825,1800,35943
"Alabama",2017,4189.7,1014.7,3263.1,9152.49540883333,11236.8819390875,1798,36643
"Alabama",2018,4485,1071.38,3306.9,9959.91367459167,11602.622322125,1951,38180
"Alabama",2019,4339.5,1094.34,3431.76268656716,9941.92112531667,12115.5966620375,1923,38717
"Alabama",2020,3693.3,1078.53,3553.68358208955,9843.639428425,12652.2880560833,1473,38138
"Alabama",2021,4805.7,1084.87,3910.62089552239,10802.3407229,13587.0511369222,1952,41035
"Alabama",2022,6109.6,1128.28,4382.94179104478,14913.8987275917,14864.6371636028,2887,41599
"Arkansas",2015,3749.3,910.01,2978.4,7961.40519458333,9719.36187671667,1955,35530
"Arkansas",2016,3440.6,955.21,3066,8142.79836978333,10025.83554185,1800,36276
"Arkansas",2017,3755.2,1039.1,3055.05,8639.92715571667,10346.543783425,1798,37001
"Arkansas",2018,4131.3,1097.84,3033.15,9387.63872611667,10551.838722925,1951,38399
"Arkansas",2019,3989.7,1098.95,3146.738,9255.08874325,10863.568787575,1923,38269
"Arkansas",2020,3438.8,1078.31,3254.924,9084.84205411667,11290.44015365,1473,37974
