"State","Year","utilities","auto","food","house_own","house_rent","gas","rPCE","utilities_diff","auto_diff","house_own_diff","house_rent_diff","food_diff","gas_diff","rPCE_diff"
"Alabama",2016,3951.4,936.97,3252.15,8663.94178488333,10801.19848825,1800,35943,-166.2,59.39,107.238627533328,361.4133396333,54.75,-155,285
"Alabama",2017,4189.7,1014.7,3263.1,9152.49540883333,11236.8819390875,1798,36643,238.3,77.73,488.553623950002,435.6834508375,10.9499999999998,-2,700
"Alabama",2018,4485,1071.38,3306.9,9959.91367459167,11602.622322125,1951,38180,295.3,56.6800000000001,807.418265758339,365.740383037501,43.8000000000002,153,1537
"Alabama",2019,4339.5,1094.34,3431.76268656716,9941.92112531667,12115.5966620375,1923,38717,-145.5,22.9599999999998,-17.992549274999,512.9743399125,124.86268656716,-28,537
"Alabama",2020,3693.3,1078.53,3553.68358208955,9843.639428425,12652.2880560833,1473,38138,-646.2,-15.8099999999999,-98.2816968916704,536.6913940458,121.92089552239,-450,-579
"Alabama",2021,4805.7,1084.87,3910.62089552239,10802.3407229,13587.0511369222,1952,41035,1112.4,6.33999999999992,958.701294475,934.7630808389,356.93731343284,479,2897
"Alabama",2022,6109.6,1128.28,4382.94179104478,14913.8987275917,14864.6371636028,2887,41599,1303.9,43.4100000000001,4111.5580046917,1277.5860266806,472.32089552239,935,564
"Alaska",2016,6140.4,1053.48,3766.8,17292.691122,15074.61061,1921,44682,-1378.6,-7.77999999999997,395.490462000002,-170.561946,32.8500000000004,-129,-95
"Alaska",2017,6746.4,1072.19,3690.15,17976.8069405,14858.585506,2002,44892,606,18.71,684.115818499999,-216.025104,-76.6500000000001,81,210
"Alaska",2018,7866.6,1111.08,3942,19301.2977895,14951.53816,2118,45837,1120.2,38.8899999999999,1324.490849,92.9526540000006,251.85,116,945
"Alaska",2019,7703.3,1141.81,4365.27413793103,19215.0651035,15098.466811,2175,47049,-163.3,30.73,-86.2326859999994,146.928651,423.27413793103,57,1212
"Alaska",2020,6379.1,1112.74,4533.665,18485.3164395,15417.148626,1571,45108,-1324.2,-29.0699999999999,-729.748664000002,318.681815,168.39086206897,-604,-1941
"Alaska",2021,8897.8,1119.22,5105.255,18750.8795765,16656.630481,2161,47392,2518.7,6.48000000000002,265.563137000001,1239.481855,571.59,590,2284
"Alaska",2022,13050.8,1154.57,5590.705,24865.8892405,18427.928401,3076,50009,4153,35.3499999999999,6115.009664,1771.29792,485.45,915,2617
"Arizona",2016,2819.8,1043.26,3142.65,11907.2557043667,11564.053394725,1921,37019,-216.2,51.71,409.8038654834,556.351843050001,65.7000000000003,-129,256
"Arizona",2017,3011.8,1125.54,3164.55,12980.90173705,12276.695952825,2002,38511,192,82.28,1073.6460326833,712.6425581,21.9000000000001,81,1492
"Arizona",2018,3306.1,1183.69,3208.35,14449.2770497333,13930.55344162,2118,39580,294.3,58.1500000000001,1468.3753126833,1653.857488795,43.7999999999997,116,1069
"Arizona",2019,3236.4,1201.08,3428.81,14526.9577841333,14874.6464222,2175,40082,-69.6999999999998,17.3899999999999,77.680734399999,944.092980579999,220.46,57,502
"Arizona",2020,2831.7,1169.15,3515.68,14510.0379308833,15859.9750762,1571,39131,-404.7,-31.9299999999998,-16.9198532499995,985.328654000001,86.8699999999999,-604,-951
"Arizona",2021,3506.9,1199.88,3855.86,16869.7518511167,18282.5439453333,2161,43859,675.2,30.73,2359.7139202334,2422.5688691333,340.18,590,4728
"Arizona",2022,4474.9,1286.72,4251.52,24837.9068748333,19311.488783881,3076,43703,968,86.8399999999999,7968.1550237166,1028.9448385477,395.66,915,-156
"Arkansas",2016,3440.6,955.21,3066,8142.79836978333,10025.83554185,1800,36276,-308.7,45.2,181.3931752,306.47366513333,87.5999999999999,-155,746
"Arkansas",2017,3755.2,1039.1,3055.05,8639.92715571667,10346.543783425,1798,37001,314.6,83.8899999999999,497.128785933341,320.708241575001,-10.9499999999998,-2,725
"Arkansas",2018,4131.3,1097.84,3033.15,9387.63872611667,10551.838722925,1951,38399,376.1,58.74,747.711570399999,205.2949395,-21.9000000000001,153,1398
"Arkansas",2019,3989.7,1098.95,3146.738,9255.08874325,10863.568787575,1923,38269,-141.6,1.11000000000013,-132.549982866669,311.730064650001,113.588,-28,-130
"Arkansas",2020,3438.8,1078.31,3254.924,9084.84205411667,11290.44015365,1473,37974,-550.9,-20.6400000000001,-170.24668913333,426.871366075,108.186,-450,-295
"Arkansas",2021,4481.4,1089.02,3644.452,10002.0807507,12278.6588064,1952,40653,1042.6,10.71,917.23869658333,988.21865275,389.528,479,2679
"Arkansas",2022,5709,1132.14,4048.872,13881.31199205,13367.5541997,2887,41952,1227.6,43.1200000000001,3879.23124135,1088.8953933,404.42,935,1299
"California",2016,2842.1,1044.57,3460.2,23863.7724241077,19227.8949841379,1921,39332,-246.5,58.1899999999999,1290.5220704308,810.716852112299,21.8999999999996,-129,1294
"California",2017,3137,1115.73,3504,26209.9903525,20424.7645874579,2002,40066,294.9,71.1600000000001,2346.2179283923,1196.86960332,43.8000000000002,81,734
"California",2018,3487.5,1189.68,3591.6,29855.0737511923,21509.6912470087,2118,41087,350.5,73.95,3645.0833986923,1084.9266595508,87.5999999999999,116,1021
"California",2019,3536.4,1219.43,3907.07327586207,29208.2038659231,22463.4615513478,2175,42669,48.9000000000001,29.75,-646.8698852692,953.770304339097,315.47327586207,57,1582
"California",2020,2902.6,1216.72,4191.58448275862,28247.5025655769,23183.5081615237,1571,40808,-633.8,-2.71000000000004,-960.701300346202,720.046610175901,284.51120689655,-604,-1861
