FIPS,State,"County, State",Year,Cost Per Meal, Weighted weekly $ needed by FI , Weighted Annual Food Budget Shortfall 
1001,AL,"Autauga County, Alabama",2019,$3.00 ,$16.88 ,"$4,439,000.00 "
1001,AL,"Autauga County, Alabama",2020,$3.22 ,$17.09 ,"$4,184,000.00 "
1001,AL,"Autauga County, Alabama",2021,$3.60 ,$20.99 ,"$4,947,000.00 "
1001,AL,"Autauga County, Alabama",2022,$4.01 ,$24.86 ,"$6,680,000.00 "
1003,AL,"Baldwin County, Alabama",2019,$3.66 ,$20.63 ,"$17,895,000.00 "
1003,AL,"Baldwin County, Alabama",2020,$3.72 ,$19.72 ,"$16,195,000.00 "
1003,AL,"Baldwin County, Alabama",2021,$4.07 ,$23.72 ,"$19,305,000.00 "
1003,AL,"Baldwin County, Alabama",2022,$4.51 ,$27.96 ,"$29,485,000.00 "
1005,AL,"Barbour County, Alabama",2019,$3.11 ,$17.51 ,"$2,788,000.00 "
1005,AL,"Barbour County, Alabama",2020,$3.19 ,$16.96 ,"$2,505,000.00 "
1005,AL,"Barbour County, Alabama",2021,$3.46 ,$20.13 ,"$2,747,000.00 "
1005,AL,"Barbour County, Alabama",2022,$3.88 ,$24.05 ,"$3,450,000.00 "
1007,AL,"Bibb County, Alabama",2019,$2.96 ,$16.68 ,"$1,861,000.00 "
1007,AL,"Bibb County, Alabama",2020,$3.09 ,$16.41 ,"$1,831,000.00 "
1007,AL,"Bibb County, Alabama",2021,$3.29 ,$19.17 ,"$1,948,000.00 "
1007,AL,"Bibb County, Alabama",2022,$3.77 ,$23.34 ,"$3,016,000.00 "
1009,AL,"Blount County, Alabama",2019,$3.04 ,$17.14 ,"$4,357,000.00 "
1009,AL,"Blount County, Alabama",2020,$3.06 ,$16.26 ,"$3,937,000.00 "
1009,AL,"Blount County, Alabama",2021,$3.24 ,$18.87 ,"$4,601,000.00 "
1009,AL,"Blount County, Alabama",2022,$3.71 ,$23.00 ,"$7,186,000.00 "
1011,AL,"Bullock County, Alabama",2019,$3.30 ,$18.61 ,"$909,000.00 "
1011,AL,"Bullock County, Alabama",2020,$3.55 ,$18.85 ,"$926,000.00 "
1011,AL,"Bullock County, Alabama",2021,$3.86 ,$22.48 ,"$1,105,000.00 "
1011,AL,"Bullock County, Alabama",2022,$4.24 ,$26.26 ,"$1,394,000.00 "
1013,AL,"Butler County, Alabama",2019,$3.17 ,$17.88 ,"$1,779,000.00 "
1013,AL,"Butler County, Alabama",2020,$3.02 ,$16.05 ,"$1,563,000.00 "
1013,AL,"Butler County, Alabama",2021,$3.29 ,$19.18 ,"$1,536,000.00 "
1013,AL,"Butler County, Alabama",2022,$3.73 ,$23.13 ,"$2,281,000.00 "
1015,AL,"Calhoun County, Alabama",2019,$2.98 ,$16.77 ,"$10,000,000.00 "
1015,AL,"Calhoun County, Alabama",2020,$3.13 ,$16.61 ,"$9,288,000.00 "
1015,AL,"Calhoun County, Alabama",2021,$3.62 ,$21.08 ,"$11,645,000.00 "
1015,AL,"Calhoun County, Alabama",2022,$4.04 ,$25.07 ,"$16,104,000.00 "
1017,AL,"Chambers County, Alabama",2019,$2.96 ,$16.66 ,"$2,622,000.00 "
1017,AL,"Chambers County, Alabama",2020,$3.12 ,$16.56 ,"$2,532,000.00 "
1017,AL,"Chambers County, Alabama",2021,$3.28 ,$19.13 ,"$2,686,000.00 "
1017,AL,"Chambers County, Alabama",2022,$3.74 ,$23.19 ,"$4,108,000.00 "
1019,AL,"Cherokee County, Alabama",2019,$3.03 ,$17.05 ,"$2,157,000.00 "
1019,AL,"Cherokee County, Alabama",2020,$3.10 ,$16.45 ,"$1,846,000.00 "
1019,AL,"Cherokee County, Alabama",2021,$3.33 ,$19.41 ,"$2,155,000.00 "
1019,AL,"Cherokee County, Alabama",2022,$3.79 ,$23.46 ,"$3,195,000.00 "
1021,AL,"Chilton County, Alabama",2019,$3.02 ,$17.03 ,"$3,920,000.00 "
1021,AL,"Chilton County, Alabama",2020,$3.19 ,$16.91 ,"$3,591,000.00 "
1021,AL,"Chilton County, Alabama",2021,$3.50 ,$20.40 ,"$4,263,000.00 "
1021,AL,"Chilton County, Alabama",2022,$3.99 ,$24.75 ,"$5,930,000.00 "
1023,AL,"Choctaw County, Alabama",2019,$3.02 ,$17.02 ,"$1,260,000.00 "
1023,AL,"Choctaw County, Alabama",2020,$3.08 ,$16.33 ,"$1,070,000.00 "
1023,AL,"Choctaw County, Alabama",2021,$3.36 ,$19.59 ,"$1,194,000.00 "
1023,AL,"Choctaw County, Alabama",2022,$3.80 ,$23.56 ,"$1,629,000.00 "
1025,AL,"Clarke County, Alabama",2019,$2.95 ,$16.62 ,"$2,264,000.00 "
1025,AL,"Clarke County, Alabama",2020,$3.02 ,$16.03 ,"$2,217,000.00 "
1025,AL,"Clarke County, Alabama",2021,$3.30 ,$19.22 ,"$2,222,000.00 "
1025,AL,"Clarke County, Alabama",2022,$3.73 ,$23.12 ,"$3,064,000.00 "
1027,AL,"Clay County, Alabama",2019,$3.09 ,$17.44 ,"$1,164,000.00 "
1027,AL,"Clay County, Alabama",2020,$2.94 ,$15.61 ,"$924,000.00 "
1027,AL,"Clay County, Alabama",2021,$3.19 ,$18.58 ,"$1,201,000.00 "
1027,AL,"Clay County, Alabama",2022,$3.67 ,$22.72 ,"$1,764,000.00 "
1029,AL,"Cleburne County, Alabama",2019,$3.02 ,$17.02 ,"$1,399,000.00 "
1029,AL,"Cleburne County, Alabama",2020,$3.16 ,$16.77 ,"$1,226,000.00 "
1029,AL,"Cleburne County, Alabama",2021,$3.65 ,$21.28 ,"$1,504,000.00 "
1029,AL,"Cleburne County, Alabama",2022,$4.08 ,$25.30 ,"$2,065,000.00 "
1031,AL,"Coffee County, Alabama",2019,$3.49 ,$19.65 ,"$4,847,000.00 "
1031,AL,"Coffee County, Alabama",2020,$3.58 ,$19.01 ,"$4,394,000.00 "
1031,AL,"Coffee County, Alabama",2021,$3.87 ,$22.52 ,"$5,307,000.00 "
1031,AL,"Coffee County, Alabama",2022,$4.28 ,$26.50 ,"$7,684,000.00 "
1033,AL,"Colbert County, Alabama",2019,$2.83 ,$15.97 ,"$4,379,000.00 "
1033,AL,"Colbert County, Alabama",2020,$3.14 ,$16.68 ,"$4,423,000.00 "
1033,AL,"Colbert County, Alabama",2021,$3.79 ,$22.07 ,"$5,677,000.00 "
1033,AL,"Colbert County, Alabama",2022,$4.17 ,$25.86 ,"$7,899,000.00 "
1035,AL,"Conecuh County, Alabama",2019,$2.97 ,$16.72 ,"$1,009,000.00 "
1035,AL,"Conecuh County, Alabama",2020,$3.10 ,$16.46 ,"$973,000.00 "
1035,AL,"Conecuh County, Alabama",2021,$3.34 ,$19.43 ,"$878,000.00 "
1035,AL,"Conecuh County, Alabama",2022,$3.73 ,$23.10 ,"$1,387,000.00 "
1037,AL,"Coosa County, Alabama",2019,$3.30 ,$18.61 ,"$914,000.00 "
1037,AL,"Coosa County, Alabama",2020,$3.33 ,$17.68 ,"$805,000.00 "
1037,AL,"Coosa County, Alabama",2021,$3.56 ,$20.74 ,"$830,000.00 "
1037,AL,"Coosa County, Alabama",2022,$4.06 ,$25.17 ,"$1,244,000.00 "
1039,AL,"Covington County, Alabama",2019,$3.00 ,$16.92 ,"$3,455,000.00 "
