"Series.ID","Year","Period","Label","Value","Month","date","Value_STL_Adjusted"
"CUURS200SAF",2019,"M01","2019 Jan",250.028,1,2019-01-01,249.894623238879
"CUURS200SAF",2019,"M02","2019 Feb",251.55,2,2019-02-01,251.982242935305
"CUURS200SAF",2019,"M03","2019 Mar",250.542,3,2019-03-01,251.669566671733
"CUURS200SAF",2019,"M04","2019 Apr",250.082,4,2019-04-01,250.899506399828
"CUURS200SAF",2019,"M05","2019 May",251.727,5,2019-05-01,251.734613388954
"CUURS200SAF",2019,"M06","2019 Jun",252.568,6,2019-06-01,252.431392311575
"CUURS200SAF",2019,"M07","2019 Jul",252.406,7,2019-07-01,252.077338049909
"CUURS200SAF",2019,"M08","2019 Aug",252.655,8,2019-08-01,252.200681338315
"CUURS200SAF",2019,"M09","2019 Sep",253.346,9,2019-09-01,252.352025401288
"CUURS200SAF",2019,"M10","2019 Oct",253.499,10,2019-10-01,252.327811235037
"CUURS200SAF",2019,"M11","2019 Nov",253.062,11,2019-11-01,253.233264580621
"CUURS200SAF",2019,"M12","2019 Dec",254.207,12,2019-12-01,254.868934100984
"CUURS200SAF",2020,"M01","2020 Jan",255.503,1,2020-01-01,255.369623238879
"CUURS200SAF",2020,"M02","2020 Feb",256.079,2,2020-02-01,256.511242935305
"CUURS200SAF",2020,"M03","2020 Mar",256.185,3,2020-03-01,257.312566671733
"CUURS200SAF",2020,"M04","2020 Apr",257.913,4,2020-04-01,258.730506399828
"CUURS200SAF",2020,"M05","2020 May",259.614,5,2020-05-01,259.621613388954
"CUURS200SAF",2020,"M06","2020 Jun",259.522,6,2020-06-01,259.385392311575
"CUURS200SAF",2020,"M07","2020 Jul",258.986,7,2020-07-01,258.657338049909
"CUURS200SAF",2020,"M08","2020 Aug",259.699,8,2020-08-01,259.244681338315
"CUURS200SAF",2020,"M09","2020 Sep",261.022,9,2020-09-01,260.028025401288
"CUURS200SAF",2020,"M10","2020 Oct",263.104,10,2020-10-01,261.932811235037
"CUURS200SAF",2020,"M11","2020 Nov",260.821,11,2020-11-01,260.992264580621
"CUURS200SAF",2020,"M12","2020 Dec",261.307,12,2020-12-01,261.968934100984
"CUURS200SAF",2021,"M01","2021 Jan",263.265,1,2021-01-01,263.131623238879
"CUURS200SAF",2021,"M02","2021 Feb",265.247,2,2021-02-01,265.679242935305
"CUURS200SAF",2021,"M03","2021 Mar",265.182,3,2021-03-01,266.309566671733
"CUURS200SAF",2021,"M04","2021 Apr",266.306,4,2021-04-01,267.123506399828
"CUURS200SAF",2021,"M05","2021 May",267.677,5,2021-05-01,267.684613388954
"CUURS200SAF",2021,"M06","2021 Jun",270.131,6,2021-06-01,269.994392311575
"CUURS200SAF",2021,"M07","2021 Jul",271.777,7,2021-07-01,271.448338049909
"CUURS200SAF",2021,"M08","2021 Aug",273.682,8,2021-08-01,273.227681338315
"CUURS200SAF",2021,"M09","2021 Sep",275.759,9,2021-09-01,274.765025401288
"CUURS200SAF",2021,"M10","2021 Oct",277.89,10,2021-10-01,276.718811235037
"CUURS200SAF",2021,"M11","2021 Nov",278.722,11,2021-11-01,278.893264580621
"CUURS200SAF",2021,"M12","2021 Dec",280.462,12,2021-12-01,281.123934100984
"CUURS200SAF",2022,"M01","2022 Jan",284.365,1,2022-01-01,284.231623238879
"CUURS200SAF",2022,"M02","2022 Feb",286.26,2,2022-02-01,286.692242935305
"CUURS200SAF",2022,"M03","2022 Mar",289.249,3,2022-03-01,290.376566671733
"CUURS200SAF",2022,"M04","2022 Apr",294.263,4,2022-04-01,295.080506399828
"CUURS200SAF",2022,"M05","2022 May",298.043,5,2022-05-01,298.050613388954
"CUURS200SAF",2022,"M06","2022 Jun",300.319,6,2022-06-01,300.182392311575
"CUURS200SAF",2022,"M07","2022 Jul",302.613,7,2022-07-01,302.284338049909
"CUURS200SAF",2022,"M08","2022 Aug",305.808,8,2022-08-01,305.353681338315
"CUURS200SAF",2022,"M09","2022 Sep",307.322,9,2022-09-01,306.328025401288
"CUURS200SAF",2022,"M10","2022 Oct",309.359,10,2022-10-01,308.187811235037
"CUURS200SAF",2022,"M11","2022 Nov",309.87,11,2022-11-01,310.041264580621
"CUURS200SAF",2022,"M12","2022 Dec",310.235,12,2022-12-01,310.896934100984
"CUURS200SAF",2023,"M01","2023 Jan",312.717,1,2023-01-01,312.583623238879
"CUURS200SAF",2023,"M02","2023 Feb",313.487,2,2023-02-01,313.919242935305
"CUURS200SAF",2023,"M03","2023 Mar",313.513,3,2023-03-01,314.640566671733
"CUURS200SAF",2023,"M04","2023 Apr",313.353,4,2023-04-01,314.170506399828
"CUURS200SAF",2023,"M05","2023 May",315.241,5,2023-05-01,315.248613388954
"CUURS200SAF",2023,"M06","2023 Jun",315.34,6,2023-06-01,315.203392311575
"CUURS200SAF",2023,"M07","2023 Jul",316.816,7,2023-07-01,316.487338049909
"CUURS200SAF",2023,"M08","2023 Aug",316.437,8,2023-08-01,315.982681338315
"CUURS200SAF",2023,"M09","2023 Sep",317.229,9,2023-09-01,316.235025401288
"CUURS200SAF",2023,"M10","2023 Oct",317.75,10,2023-10-01,316.578811235037
"CUURS200SAF",2023,"M11","2023 Nov",316.49,11,2023-11-01,316.661264580621
"CUURS200SAF",2023,"M12","2023 Dec",317.207,12,2023-12-01,317.868934100984
"CUURS200SAF",2024,"M01","2024 Jan",319.842,1,2024-01-01,319.708623238879
"CUURS200SAF",2024,"M02","2024 Feb",319.409,2,2024-02-01,319.841242935305
"CUURS200SAF",2024,"M03","2024 Mar",319.678,3,2024-03-01,320.805566671733
"CUURS200SAF",2024,"M04","2024 Apr",320.118,4,2024-04-01,320.935506399828
"CUURS200SAF",2024,"M05","2024 May",320.418,5,2024-05-01,320.425613388954
"CUURS200SAF",2024,"M06","2024 Jun",320.68,6,2024-06-01,320.543392311575
"CUURS200SAF",2024,"M07","2024 Jul",322.089,7,2024-07-01,321.760338049909
"CUURS200SAF",2024,"M08","2024 Aug",322.069,8,2024-08-01,321.614681338315
"CUURS200SAF",2024,"M09","2024 Sep",323.819,9,2024-09-01,322.825025401288
"CUURS200SAF",2024,"M10","2024 Oct",323.705,10,2024-10-01,322.533811235037
"CUURS200SAF",2024,"M11","2024 Nov",324.034,11,2024-11-01,324.205264580621
"CUURS200SAF",2024,"M12","2024 Dec",323.196,12,2024-12-01,323.857934100984
"CUURS200SAF",2025,"M01","2025 Jan",325.304,1,2025-01-01,325.170623238879
