"Series.ID","Year","Period","Label","Value","Month","date","Value_STL_Adjusted"
"CUURN200SAF",2019,"M01","2019 Jan",154.804,1,2019-01-01,154.891616745664
"CUURN200SAF",2019,"M02","2019 Feb",155.62,2,2019-02-01,156.192806840673
"CUURN200SAF",2019,"M03","2019 Mar",155.493,3,2019-03-01,156.198523179431
"CUURN200SAF",2019,"M04","2019 Apr",155.432,4,2019-04-01,155.912214760303
"CUURN200SAF",2019,"M05","2019 May",155.963,5,2019-05-01,155.867406348762
"CUURN200SAF",2019,"M06","2019 Jun",156.103,6,2019-06-01,155.864078979205
"CUURN200SAF",2019,"M07","2019 Jul",155.797,7,2019-07-01,155.295918095052
"CUURN200SAF",2019,"M08","2019 Aug",155.913,8,2019-08-01,155.695928092381
"CUURN200SAF",2019,"M09","2019 Sep",156.119,9,2019-09-01,155.603104773724
"CUURN200SAF",2019,"M10","2019 Oct",156.294,10,2019-10-01,155.852373252372
"CUURN200SAF",2019,"M11","2019 Nov",156.556,11,2019-11-01,156.456475135918
"CUURN200SAF",2019,"M12","2019 Dec",156.352,12,2019-12-01,156.615553618908
"CUURN200SAF",2020,"M01","2020 Jan",156.834,1,2020-01-01,156.921616745664
"CUURN200SAF",2020,"M02","2020 Feb",157.417,2,2020-02-01,157.989806840673
"CUURN200SAF",2020,"M03","2020 Mar",157.811,3,2020-03-01,158.516523179431
"CUURN200SAF",2020,"M04","2020 Apr",159.783,4,2020-04-01,160.263214760303
"CUURN200SAF",2020,"M05","2020 May",160.727,5,2020-05-01,160.631406348762
"CUURN200SAF",2020,"M06","2020 Jun",161.732,6,2020-06-01,161.493078979205
"CUURN200SAF",2020,"M07","2020 Jul",161.422,7,2020-07-01,160.920918095052
"CUURN200SAF",2020,"M08","2020 Aug",160.532,8,2020-08-01,160.314928092381
"CUURN200SAF",2020,"M09","2020 Sep",160.331,9,2020-09-01,159.815104773724
"CUURN200SAF",2020,"M10","2020 Oct",160.674,10,2020-10-01,160.232373252372
"CUURN200SAF",2020,"M11","2020 Nov",160.469,11,2020-11-01,160.369475135918
"CUURN200SAF",2020,"M12","2020 Dec",160.718,12,2020-12-01,160.981553618908
"CUURN200SAF",2021,"M01","2021 Jan",161.565,1,2021-01-01,161.652616745664
"CUURN200SAF",2021,"M02","2021 Feb",161.21,2,2021-02-01,161.782806840673
"CUURN200SAF",2021,"M03","2021 Mar",161.43,3,2021-03-01,162.135523179431
"CUURN200SAF",2021,"M04","2021 Apr",162.109,4,2021-04-01,162.589214760303
"CUURN200SAF",2021,"M05","2021 May",163.375,5,2021-05-01,163.279406348762
"CUURN200SAF",2021,"M06","2021 Jun",164.652,6,2021-06-01,164.413078979205
"CUURN200SAF",2021,"M07","2021 Jul",165.848,7,2021-07-01,165.346918095052
"CUURN200SAF",2021,"M08","2021 Aug",166.55,8,2021-08-01,166.332928092381
"CUURN200SAF",2021,"M09","2021 Sep",168.391,9,2021-09-01,167.875104773724
"CUURN200SAF",2021,"M10","2021 Oct",169.841,10,2021-10-01,169.399373252372
"CUURN200SAF",2021,"M11","2021 Nov",170.924,11,2021-11-01,170.824475135918
