"Series.ID","Year","Period","Label","Value","Month","date","Value_STL_Adjusted"
"CUURS100SAF",2019,"M01","2019 Jan",262.746,1,2019-01-01,262.447389561345
"CUURS100SAF",2019,"M02","2019 Feb",262.732,2,2019-02-01,263.739815761147
"CUURS100SAF",2019,"M03","2019 Mar",263.978,3,2019-03-01,264.966307893669
"CUURS100SAF",2019,"M04","2019 Apr",262.689,4,2019-04-01,262.776937173991
"CUURS100SAF",2019,"M05","2019 May",262.863,5,2019-05-01,263.082400058884
"CUURS100SAF",2019,"M06","2019 Jun",263.707,6,2019-06-01,263.562510808123
"CUURS100SAF",2019,"M07","2019 Jul",263.277,7,2019-07-01,263.152453525708
"CUURS100SAF",2019,"M08","2019 Aug",264.378,8,2019-08-01,264.433537061573
"CUURS100SAF",2019,"M09","2019 Sep",264.299,9,2019-09-01,263.819287340626
"CUURS100SAF",2019,"M10","2019 Oct",265.751,10,2019-10-01,264.907940675408
"CUURS100SAF",2019,"M11","2019 Nov",264.582,11,2019-11-01,264.233926877065
"CUURS100SAF",2019,"M12","2019 Dec",265.635,12,2019-12-01,265.514492569788
"CUURS100SAF",2020,"M01","2020 Jan",267.146,1,2020-01-01,266.847389561345
"CUURS100SAF",2020,"M02","2020 Feb",267.856,2,2020-02-01,268.863815761146
"CUURS100SAF",2020,"M03","2020 Mar",268.498,3,2020-03-01,269.486307893669
"CUURS100SAF",2020,"M04","2020 Apr",274.101,4,2020-04-01,274.188937173991
"CUURS100SAF",2020,"M05","2020 May",277.033,5,2020-05-01,277.252400058884
"CUURS100SAF",2020,"M06","2020 Jun",277.394,6,2020-06-01,277.249510808123
"CUURS100SAF",2020,"M07","2020 Jul",275.741,7,2020-07-01,275.616453525708
"CUURS100SAF",2020,"M08","2020 Aug",274.978,8,2020-08-01,275.033537061573
"CUURS100SAF",2020,"M09","2020 Sep",275.045,9,2020-09-01,274.565287340626
"CUURS100SAF",2020,"M10","2020 Oct",276.032,10,2020-10-01,275.188940675408
"CUURS100SAF",2020,"M11","2020 Nov",275.65,11,2020-11-01,275.301926877065
"CUURS100SAF",2020,"M12","2020 Dec",276.819,12,2020-12-01,276.698492569788
"CUURS100SAF",2021,"M01","2021 Jan",276.993,1,2021-01-01,276.694389561345
"CUURS100SAF",2021,"M02","2021 Feb",276.131,2,2021-02-01,277.138815761146
"CUURS100SAF",2021,"M03","2021 Mar",277.538,3,2021-03-01,278.526307893669
"CUURS100SAF",2021,"M04","2021 Apr",278.893,4,2021-04-01,278.980937173991
"CUURS100SAF",2021,"M05","2021 May",279.669,5,2021-05-01,279.888400058884
"CUURS100SAF",2021,"M06","2021 Jun",281.563,6,2021-06-01,281.418510808123
"CUURS100SAF",2021,"M07","2021 Jul",283.251,7,2021-07-01,283.126453525708
"CUURS100SAF",2021,"M08","2021 Aug",284.335,8,2021-08-01,284.390537061573
"CUURS100SAF",2021,"M09","2021 Sep",287.367,9,2021-09-01,286.887287340626
"CUURS100SAF",2021,"M10","2021 Oct",288.55,10,2021-10-01,287.706940675408
"CUURS100SAF",2021,"M11","2021 Nov",291.087,11,2021-11-01,290.738926877065
"CUURS100SAF",2021,"M12","2021 Dec",291.644,12,2021-12-01,291.523492569788
"CUURS100SAF",2022,"M01","2022 Jan",294.725,1,2022-01-01,294.426389561345
"CUURS100SAF",2022,"M02","2022 Feb",296.679,2,2022-02-01,297.686815761146
"CUURS100SAF",2022,"M03","2022 Mar",298.59,3,2022-03-01,299.578307893669
"CUURS100SAF",2022,"M04","2022 Apr",302.388,4,2022-04-01,302.475937173991
"CUURS100SAF",2022,"M05","2022 May",305.399,5,2022-05-01,305.618400058884
"CUURS100SAF",2022,"M06","2022 Jun",306.566,6,2022-06-01,306.421510808123
"CUURS100SAF",2022,"M07","2022 Jul",311.647,7,2022-07-01,311.522453525708
"CUURS100SAF",2022,"M08","2022 Aug",313.736,8,2022-08-01,313.791537061573
"CUURS100SAF",2022,"M09","2022 Sep",314.574,9,2022-09-01,314.094287340626
"CUURS100SAF",2022,"M10","2022 Oct",316.794,10,2022-10-01,315.950940675408
"CUURS100SAF",2022,"M11","2022 Nov",317.919,11,2022-11-01,317.570926877065
"CUURS100SAF",2022,"M12","2022 Dec",318.487,12,2022-12-01,318.366492569788
"CUURS100SAF",2023,"M01","2023 Jan",321.406,1,2023-01-01,321.107389561345
