"Series.ID","Year","Period","Label","Value","Month","date","Value_STL_Adjusted"
"CUURS300SAF",2019,"M01","2019 Jan",252.088,1,2019-01-01,252.396346976754
"CUURS300SAF",2019,"M02","2019 Feb",252.897,2,2019-02-01,253.556428383544
"CUURS300SAF",2019,"M03","2019 Mar",253.404,3,2019-03-01,254.209984374252
"CUURS300SAF",2019,"M04","2019 Apr",253.47,4,2019-04-01,253.68694739024
"CUURS300SAF",2019,"M05","2019 May",254.393,5,2019-05-01,253.911744209711
"CUURS300SAF",2019,"M06","2019 Jun",253.678,6,2019-06-01,253.490410269555
"CUURS300SAF",2019,"M07","2019 Jul",254.48,7,2019-07-01,254.038076821905
"CUURS300SAF",2019,"M08","2019 Aug",254.287,8,2019-08-01,254.293656357724
"CUURS300SAF",2019,"M09","2019 Sep",254.274,9,2019-09-01,253.825902357857
"CUURS300SAF",2019,"M10","2019 Oct",254.627,10,2019-10-01,253.87939884287
"CUURS300SAF",2019,"M11","2019 Nov",254.889,11,2019-11-01,254.883229011655
"CUURS300SAF",2019,"M12","2019 Dec",255.796,12,2019-12-01,256.110874214613
"CUURS300SAF",2020,"M01","2020 Jan",256.041,1,2020-01-01,256.349346976754
"CUURS300SAF",2020,"M02","2020 Feb",256.942,2,2020-02-01,257.601428383544
"CUURS300SAF",2020,"M03","2020 Mar",257.783,3,2020-03-01,258.588984374252
"CUURS300SAF",2020,"M04","2020 Apr",261.792,4,2020-04-01,262.00894739024
"CUURS300SAF",2020,"M05","2020 May",264.564,5,2020-05-01,264.082744209711
"CUURS300SAF",2020,"M06","2020 Jun",264.312,6,2020-06-01,264.124410269555
"CUURS300SAF",2020,"M07","2020 Jul",263.603,7,2020-07-01,263.161076821905
"CUURS300SAF",2020,"M08","2020 Aug",263.223,8,2020-08-01,263.229656357724
"CUURS300SAF",2020,"M09","2020 Sep",263.604,9,2020-09-01,263.155902357857
"CUURS300SAF",2020,"M10","2020 Oct",264.229,10,2020-10-01,263.48139884287
"CUURS300SAF",2020,"M11","2020 Nov",264.123,11,2020-11-01,264.117229011655
"CUURS300SAF",2020,"M12","2020 Dec",264.689,12,2020-12-01,265.003874214613
"CUURS300SAF",2021,"M01","2021 Jan",266.093,1,2021-01-01,266.401346976754
"CUURS300SAF",2021,"M02","2021 Feb",267.053,2,2021-02-01,267.712428383544
"CUURS300SAF",2021,"M03","2021 Mar",267.082,3,2021-03-01,267.887984374252
"CUURS300SAF",2021,"M04","2021 Apr",268.14,4,2021-04-01,268.35694739024
"CUURS300SAF",2021,"M05","2021 May",268.347,5,2021-05-01,267.865744209711
"CUURS300SAF",2021,"M06","2021 Jun",270.261,6,2021-06-01,270.073410269555
"CUURS300SAF",2021,"M07","2021 Jul",270.923,7,2021-07-01,270.481076821905
"CUURS300SAF",2021,"M08","2021 Aug",270.303,8,2021-08-01,270.309656357724
"CUURS300SAF",2021,"M09","2021 Sep",272.579,9,2021-09-01,272.130902357857
"CUURS300SAF",2021,"M10","2021 Oct",274.698,10,2021-10-01,273.95039884287
