"Series.ID","Year","Period","Label","Value","Month","date","Value_STL_Adjusted"
"CUURS400SAF",2019,"M01","2019 Jan",266.213,1,2019-01-01,266.162192622768
"CUURS400SAF",2019,"M02","2019 Feb",266.505,2,2019-02-01,267.024614574494
"CUURS400SAF",2019,"M03","2019 Mar",267.312,3,2019-03-01,268.298355642402
"CUURS400SAF",2019,"M04","2019 Apr",267.332,4,2019-04-01,267.663704229967
"CUURS400SAF",2019,"M05","2019 May",268.44,5,2019-05-01,268.360552668991
"CUURS400SAF",2019,"M06","2019 Jun",268.287,6,2019-06-01,268.017273245652
"CUURS400SAF",2019,"M07","2019 Jul",268.866,7,2019-07-01,268.490161060584
"CUURS400SAF",2019,"M08","2019 Aug",268.82,8,2019-08-01,268.390954959436
"CUURS400SAF",2019,"M09","2019 Sep",270.727,9,2019-09-01,270.329250030834
"CUURS400SAF",2019,"M10","2019 Oct",270.838,10,2019-10-01,270.111222011658
"CUURS400SAF",2019,"M11","2019 Nov",270.755,11,2019-11-01,270.770361173706
"CUURS400SAF",2019,"M12","2019 Dec",270.181,12,2019-12-01,270.657357870261
"CUURS400SAF",2020,"M01","2020 Jan",272.546,1,2020-01-01,272.495192622768
"CUURS400SAF",2020,"M02","2020 Feb",273.836,2,2020-02-01,274.355614574494
"CUURS400SAF",2020,"M03","2020 Mar",275.128,3,2020-03-01,276.114355642402
"CUURS400SAF",2020,"M04","2020 Apr",279.012,4,2020-04-01,279.343704229967
"CUURS400SAF",2020,"M05","2020 May",280.52,5,2020-05-01,280.440552668991
"CUURS400SAF",2020,"M06","2020 Jun",282.45,6,2020-06-01,282.180273245652
"CUURS400SAF",2020,"M07","2020 Jul",281.51,7,2020-07-01,281.134161060584
"CUURS400SAF",2020,"M08","2020 Aug",282.621,8,2020-08-01,282.191954959436
"CUURS400SAF",2020,"M09","2020 Sep",282.495,9,2020-09-01,282.097250030834
"CUURS400SAF",2020,"M10","2020 Oct",283.87,10,2020-10-01,283.143222011658
"CUURS400SAF",2020,"M11","2020 Nov",283.776,11,2020-11-01,283.791361173706
"CUURS400SAF",2020,"M12","2020 Dec",284.39,12,2020-12-01,284.866357870261
"CUURS400SAF",2021,"M01","2021 Jan",284.818,1,2021-01-01,284.767192622768
"CUURS400SAF",2021,"M02","2021 Feb",285.535,2,2021-02-01,286.054614574494
"CUURS400SAF",2021,"M03","2021 Mar",285.788,3,2021-03-01,286.774355642402
"CUURS400SAF",2021,"M04","2021 Apr",287.977,4,2021-04-01,288.308704229967
"CUURS400SAF",2021,"M05","2021 May",289.616,5,2021-05-01,289.536552668991
"CUURS400SAF",2021,"M06","2021 Jun",291.479,6,2021-06-01,291.209273245652
"CUURS400SAF",2021,"M07","2021 Jul",294.004,7,2021-07-01,293.628161060584
"CUURS400SAF",2021,"M08","2021 Aug",295.088,8,2021-08-01,294.658954959436
"CUURS400SAF",2021,"M09","2021 Sep",296.35,9,2021-09-01,295.952250030834
"CUURS400SAF",2021,"M10","2021 Oct",299.681,10,2021-10-01,298.954222011658
"CUURS400SAF",2021,"M11","2021 Nov",301.183,11,2021-11-01,301.198361173706
"CUURS400SAF",2021,"M12","2021 Dec",302.466,12,2021-12-01,302.942357870261
"CUURS400SAF",2022,"M01","2022 Jan",305.356,1,2022-01-01,305.305192622768
"CUURS400SAF",2022,"M02","2022 Feb",308.634,2,2022-02-01,309.153614574494
"CUURS400SAF",2022,"M03","2022 Mar",311.261,3,2022-03-01,312.247355642402
"CUURS400SAF",2022,"M04","2022 Apr",313.415,4,2022-04-01,313.746704229967
"CUURS400SAF",2022,"M05","2022 May",316.699,5,2022-05-01,316.619552668991
"CUURS400SAF",2022,"M06","2022 Jun",319.481,6,2022-06-01,319.211273245652
"CUURS400SAF",2022,"M07","2022 Jul",322.03,7,2022-07-01,321.654161060584
"CUURS400SAF",2022,"M08","2022 Aug",324.166,8,2022-08-01,323.736954959436
"CUURS400SAF",2022,"M09","2022 Sep",325.679,9,2022-09-01,325.281250030834
"CUURS400SAF",2022,"M10","2022 Oct",327.109,10,2022-10-01,326.382222011658
"CUURS400SAF",2022,"M11","2022 Nov",327.215,11,2022-11-01,327.230361173706
"CUURS400SAF",2022,"M12","2022 Dec",328.621,12,2022-12-01,329.097357870261
"CUURS400SAF",2023,"M01","2023 Jan",331.23,1,2023-01-01,331.179192622768
"CUURS400SAF",2023,"M02","2023 Feb",333.714,2,2023-02-01,334.233614574494
"CUURS400SAF",2023,"M03","2023 Mar",333.128,3,2023-03-01,334.114355642402
"CUURS400SAF",2023,"M04","2023 Apr",333.461,4,2023-04-01,333.792704229967
"CUURS400SAF",2023,"M05","2023 May",334.572,5,2023-05-01,334.492552668991
"CUURS400SAF",2023,"M06","2023 Jun",335.126,6,2023-06-01,334.856273245652
"CUURS400SAF",2023,"M07","2023 Jul",335.602,7,2023-07-01,335.226161060584
"CUURS400SAF",2023,"M08","2023 Aug",337.41,8,2023-08-01,336.980954959436
"CUURS400SAF",2023,"M09","2023 Sep",336.836,9,2023-09-01,336.438250030834
"CUURS400SAF",2023,"M10","2023 Oct",337.607,10,2023-10-01,336.880222011658
"CUURS400SAF",2023,"M11","2023 Nov",337.525,11,2023-11-01,337.540361173706
"CUURS400SAF",2023,"M12","2023 Dec",338.626,12,2023-12-01,339.102357870261
"CUURS400SAF",2024,"M01","2024 Jan",340.854,1,2024-01-01,340.803192622768
"CUURS400SAF",2024,"M02","2024 Feb",341.43,2,2024-02-01,341.949614574494
"CUURS400SAF",2024,"M03","2024 Mar",341.383,3,2024-03-01,342.369355642402
"CUURS400SAF",2024,"M04","2024 Apr",343.188,4,2024-04-01,343.519704229967
"CUURS400SAF",2024,"M05","2024 May",343.462,5,2024-05-01,343.382552668991
"CUURS400SAF",2024,"M06","2024 Jun",343.248,6,2024-06-01,342.978273245652
"CUURS400SAF",2024,"M07","2024 Jul",344.316,7,2024-07-01,343.940161060584
"CUURS400SAF",2024,"M08","2024 Aug",344.071,8,2024-08-01,343.641954959436
"CUURS400SAF",2024,"M09","2024 Sep",345.43,9,2024-09-01,345.032250030834
"CUURS400SAF",2024,"M10","2024 Oct",346.798,10,2024-10-01,346.071222011658
"CUURS400SAF",2024,"M11","2024 Nov",347.408,11,2024-11-01,347.423361173706
"CUURS400SAF",2024,"M12","2024 Dec",348.177,12,2024-12-01,348.653357870261
