Series ID,Year,Period,Label,Value
CUURS200SAF,2019,M01,2019 Jan,250.028
CUURS200SAF,2019,M02,2019 Feb,251.55
CUURS200SAF,2019,M03,2019 Mar,250.542
CUURS200SAF,2019,M04,2019 Apr,250.082
CUURS200SAF,2019,M05,2019 May,251.727
CUURS200SAF,2019,M06,2019 Jun,252.568
CUURS200SAF,2019,M07,2019 Jul,252.406
CUURS200SAF,2019,M08,2019 Aug,252.655
CUURS200SAF,2019,M09,2019 Sep,253.346
CUURS200SAF,2019,M10,2019 Oct,253.499
CUURS200SAF,2019,M11,2019 Nov,253.062
CUURS200SAF,2019,M12,2019 Dec,254.207
CUURS200SAF,2020,M01,2020 Jan,255.503
CUURS200SAF,2020,M02,2020 Feb,256.079
CUURS200SAF,2020,M03,2020 Mar,256.185
CUURS200SAF,2020,M04,2020 Apr,257.913
CUURS200SAF,2020,M05,2020 May,259.614
CUURS200SAF,2020,M06,2020 Jun,259.522
CUURS200SAF,2020,M07,2020 Jul,258.986
CUURS200SAF,2020,M08,2020 Aug,259.699
CUURS200SAF,2020,M09,2020 Sep,261.022
CUURS200SAF,2020,M10,2020 Oct,263.104
CUURS200SAF,2020,M11,2020 Nov,260.821
CUURS200SAF,2020,M12,2020 Dec,261.307
CUURS200SAF,2021,M01,2021 Jan,263.265
CUURS200SAF,2021,M02,2021 Feb,265.247
CUURS200SAF,2021,M03,2021 Mar,265.182
CUURS200SAF,2021,M04,2021 Apr,266.306
CUURS200SAF,2021,M05,2021 May,267.677
CUURS200SAF,2021,M06,2021 Jun,270.131
CUURS200SAF,2021,M07,2021 Jul,271.777
CUURS200SAF,2021,M08,2021 Aug,273.682
CUURS200SAF,2021,M09,2021 Sep,275.759
CUURS200SAF,2021,M10,2021 Oct,277.89
CUURS200SAF,2021,M11,2021 Nov,278.722
CUURS200SAF,2021,M12,2021 Dec,280.462
CUURS200SAF,2022,M01,2022 Jan,284.365
CUURS200SAF,2022,M02,2022 Feb,286.26
CUURS200SAF,2022,M03,2022 Mar,289.249
CUURS200SAF,2022,M04,2022 Apr,294.263
CUURS200SAF,2022,M05,2022 May,298.043
CUURS200SAF,2022,M06,2022 Jun,300.319
CUURS200SAF,2022,M07,2022 Jul,302.613
CUURS200SAF,2022,M08,2022 Aug,305.808
CUURS200SAF,2022,M09,2022 Sep,307.322
CUURS200SAF,2022,M10,2022 Oct,309.359
CUURS200SAF,2022,M11,2022 Nov,309.87
CUURS200SAF,2022,M12,2022 Dec,310.235
CUURS200SAF,2023,M01,2023 Jan,312.717
CUURS200SAF,2023,M02,2023 Feb,313.487
CUURS200SAF,2023,M03,2023 Mar,313.513
CUURS200SAF,2023,M04,2023 Apr,313.353
CUURS200SAF,2023,M05,2023 May,315.241
CUURS200SAF,2023,M06,2023 Jun,315.34
CUURS200SAF,2023,M07,2023 Jul,316.816
CUURS200SAF,2023,M08,2023 Aug,316.437
CUURS200SAF,2023,M09,2023 Sep,317.229
CUURS200SAF,2023,M10,2023 Oct,317.75
CUURS200SAF,2023,M11,2023 Nov,316.49
CUURS200SAF,2023,M12,2023 Dec,317.207
CUURS200SAF,2024,M01,2024 Jan,319.842
CUURS200SAF,2024,M02,2024 Feb,319.409
CUURS200SAF,2024,M03,2024 Mar,319.678
CUURS200SAF,2024,M04,2024 Apr,320.118
CUURS200SAF,2024,M05,2024 May,320.418
CUURS200SAF,2024,M06,2024 Jun,320.68
CUURS200SAF,2024,M07,2024 Jul,322.089
CUURS200SAF,2024,M08,2024 Aug,322.069
CUURS200SAF,2024,M09,2024 Sep,323.819
CUURS200SAF,2024,M10,2024 Oct,323.705
CUURS200SAF,2024,M11,2024 Nov,324.034
CUURS200SAF,2024,M12,2024 Dec,323.196
CUURS200SAF,2025,M01,2025 Jan,325.304
