Series ID,Year,Period,Label,Value
CUURN200SAF,2019,M01,2019 Jan,154.804
CUURN200SAF,2019,M02,2019 Feb,155.620
CUURN200SAF,2019,M03,2019 Mar,155.493
CUURN200SAF,2019,M04,2019 Apr,155.432
CUURN200SAF,2019,M05,2019 May,155.963
CUURN200SAF,2019,M06,2019 Jun,156.103
CUURN200SAF,2019,M07,2019 Jul,155.797
CUURN200SAF,2019,M08,2019 Aug,155.913
CUURN200SAF,2019,M09,2019 Sep,156.119
CUURN200SAF,2019,M10,2019 Oct,156.294
CUURN200SAF,2019,M11,2019 Nov,156.556
CUURN200SAF,2019,M12,2019 Dec,156.352
CUURN200SAF,2020,M01,2020 Jan,156.834
CUURN200SAF,2020,M02,2020 Feb,157.417
CUURN200SAF,2020,M03,2020 Mar,157.811
CUURN200SAF,2020,M04,2020 Apr,159.783
CUURN200SAF,2020,M05,2020 May,160.727
CUURN200SAF,2020,M06,2020 Jun,161.732
CUURN200SAF,2020,M07,2020 Jul,161.422
CUURN200SAF,2020,M08,2020 Aug,160.532
CUURN200SAF,2020,M09,2020 Sep,160.331
CUURN200SAF,2020,M10,2020 Oct,160.674
CUURN200SAF,2020,M11,2020 Nov,160.469
CUURN200SAF,2020,M12,2020 Dec,160.718
CUURN200SAF,2021,M01,2021 Jan,161.565
CUURN200SAF,2021,M02,2021 Feb,161.210
CUURN200SAF,2021,M03,2021 Mar,161.430
CUURN200SAF,2021,M04,2021 Apr,162.109
CUURN200SAF,2021,M05,2021 May,163.375
CUURN200SAF,2021,M06,2021 Jun,164.652
CUURN200SAF,2021,M07,2021 Jul,165.848
CUURN200SAF,2021,M08,2021 Aug,166.550
CUURN200SAF,2021,M09,2021 Sep,168.391
CUURN200SAF,2021,M10,2021 Oct,169.841
CUURN200SAF,2021,M11,2021 Nov,170.924
CUURN200SAF,2021,M12,2021 Dec,171.911
CUURN200SAF,2022,M01,2022 Jan,173.116
CUURN200SAF,2022,M02,2022 Feb,175.102
CUURN200SAF,2022,M03,2022 Mar,177.641
CUURN200SAF,2022,M04,2022 Apr,179.493
CUURN200SAF,2022,M05,2022 May,181.893
CUURN200SAF,2022,M06,2022 Jun,183.313
CUURN200SAF,2022,M07,2022 Jul,186.025
CUURN200SAF,2022,M08,2022 Aug,187.690
CUURN200SAF,2022,M09,2022 Sep,189.208
CUURN200SAF,2022,M10,2022 Oct,189.838
CUURN200SAF,2022,M11,2022 Nov,190.469
CUURN200SAF,2022,M12,2022 Dec,191.405
CUURN200SAF,2023,M01,2023 Jan,192.789
CUURN200SAF,2023,M02,2023 Feb,193.355
CUURN200SAF,2023,M03,2023 Mar,193.675
CUURN200SAF,2023,M04,2023 Apr,194.108
CUURN200SAF,2023,M05,2023 May,195.594
CUURN200SAF,2023,M06,2023 Jun,195.419
CUURN200SAF,2023,M07,2023 Jul,195.934
CUURN200SAF,2023,M08,2023 Aug,195.914
CUURN200SAF,2023,M09,2023 Sep,196.574
CUURN200SAF,2023,M10,2023 Oct,196.678
CUURN200SAF,2023,M11,2023 Nov,196.304
CUURN200SAF,2023,M12,2023 Dec,196.485
CUURN200SAF,2024,M01,2024 Jan,197.967
CUURN200SAF,2024,M02,2024 Feb,198.161
CUURN200SAF,2024,M03,2024 Mar,197.989
CUURN200SAF,2024,M04,2024 Apr,198.068
CUURN200SAF,2024,M05,2024 May,198.498
CUURN200SAF,2024,M06,2024 Jun,198.808
CUURN200SAF,2024,M07,2024 Jul,199.691
CUURN200SAF,2024,M08,2024 Aug,199.479
CUURN200SAF,2024,M09,2024 Sep,200.313
CUURN200SAF,2024,M10,2024 Oct,200.713
CUURN200SAF,2024,M11,2024 Nov,200.811
CUURN200SAF,2024,M12,2024 Dec,200.599
CUURN200SAF,2025,M01,2025 Jan,202.396
