Series ID,Year,Period,Label,Value
CUURS100SAF,2019,M01,2019 Jan,262.746
CUURS100SAF,2019,M02,2019 Feb,262.732
CUURS100SAF,2019,M03,2019 Mar,263.978
CUURS100SAF,2019,M04,2019 Apr,262.689
CUURS100SAF,2019,M05,2019 May,262.863
CUURS100SAF,2019,M06,2019 Jun,263.707
CUURS100SAF,2019,M07,2019 Jul,263.277
CUURS100SAF,2019,M08,2019 Aug,264.378
CUURS100SAF,2019,M09,2019 Sep,264.299
CUURS100SAF,2019,M10,2019 Oct,265.751
CUURS100SAF,2019,M11,2019 Nov,264.582
CUURS100SAF,2019,M12,2019 Dec,265.635
CUURS100SAF,2020,M01,2020 Jan,267.146
CUURS100SAF,2020,M02,2020 Feb,267.856
CUURS100SAF,2020,M03,2020 Mar,268.498
CUURS100SAF,2020,M04,2020 Apr,274.101
CUURS100SAF,2020,M05,2020 May,277.033
CUURS100SAF,2020,M06,2020 Jun,277.394
CUURS100SAF,2020,M07,2020 Jul,275.741
CUURS100SAF,2020,M08,2020 Aug,274.978
CUURS100SAF,2020,M09,2020 Sep,275.045
CUURS100SAF,2020,M10,2020 Oct,276.032
CUURS100SAF,2020,M11,2020 Nov,275.650
CUURS100SAF,2020,M12,2020 Dec,276.819
CUURS100SAF,2021,M01,2021 Jan,276.993
CUURS100SAF,2021,M02,2021 Feb,276.131
CUURS100SAF,2021,M03,2021 Mar,277.538
CUURS100SAF,2021,M04,2021 Apr,278.893
CUURS100SAF,2021,M05,2021 May,279.669
CUURS100SAF,2021,M06,2021 Jun,281.563
CUURS100SAF,2021,M07,2021 Jul,283.251
CUURS100SAF,2021,M08,2021 Aug,284.335
CUURS100SAF,2021,M09,2021 Sep,287.367
CUURS100SAF,2021,M10,2021 Oct,288.550
CUURS100SAF,2021,M11,2021 Nov,291.087
CUURS100SAF,2021,M12,2021 Dec,291.644
CUURS100SAF,2022,M01,2022 Jan,294.725
CUURS100SAF,2022,M02,2022 Feb,296.679
CUURS100SAF,2022,M03,2022 Mar,298.590
CUURS100SAF,2022,M04,2022 Apr,302.388
CUURS100SAF,2022,M05,2022 May,305.399
CUURS100SAF,2022,M06,2022 Jun,306.566
CUURS100SAF,2022,M07,2022 Jul,311.647
CUURS100SAF,2022,M08,2022 Aug,313.736
CUURS100SAF,2022,M09,2022 Sep,314.574
CUURS100SAF,2022,M10,2022 Oct,316.794
CUURS100SAF,2022,M11,2022 Nov,317.919
CUURS100SAF,2022,M12,2022 Dec,318.487
CUURS100SAF,2023,M01,2023 Jan,321.406
CUURS100SAF,2023,M02,2023 Feb,322.211
CUURS100SAF,2023,M03,2023 Mar,323.867
CUURS100SAF,2023,M04,2023 Apr,324.070
CUURS100SAF,2023,M05,2023 May,322.940
CUURS100SAF,2023,M06,2023 Jun,324.421
CUURS100SAF,2023,M07,2023 Jul,324.933
CUURS100SAF,2023,M08,2023 Aug,324.991
CUURS100SAF,2023,M09,2023 Sep,326.498
CUURS100SAF,2023,M10,2023 Oct,328.190
CUURS100SAF,2023,M11,2023 Nov,328.108
CUURS100SAF,2023,M12,2023 Dec,328.494
CUURS100SAF,2024,M01,2024 Jan,330.365
CUURS100SAF,2024,M02,2024 Feb,329.633
CUURS100SAF,2024,M03,2024 Mar,329.177
CUURS100SAF,2024,M04,2024 Apr,330.640
CUURS100SAF,2024,M05,2024 May,329.819
CUURS100SAF,2024,M06,2024 Jun,331.216
CUURS100SAF,2024,M07,2024 Jul,330.859
CUURS100SAF,2024,M08,2024 Aug,330.994
CUURS100SAF,2024,M09,2024 Sep,333.625
CUURS100SAF,2024,M10,2024 Oct,333.805
CUURS100SAF,2024,M11,2024 Nov,334.340
CUURS100SAF,2024,M12,2024 Dec,335.700
CUURS100SAF,2025,M01,2025 Jan,336.193
