Series ID,Year,Period,Label,Value
CUURN100SAF,2019,M01,2019 Jan,162.097
CUURN100SAF,2019,M02,2019 Feb,162.173
CUURN100SAF,2019,M03,2019 Mar,162.500
CUURN100SAF,2019,M04,2019 Apr,162.193
CUURN100SAF,2019,M05,2019 May,163.240
CUURN100SAF,2019,M06,2019 Jun,163.659
CUURN100SAF,2019,M07,2019 Jul,163.581
CUURN100SAF,2019,M08,2019 Aug,163.786
CUURN100SAF,2019,M09,2019 Sep,163.797
CUURN100SAF,2019,M10,2019 Oct,163.914
CUURN100SAF,2019,M11,2019 Nov,165.109
CUURN100SAF,2019,M12,2019 Dec,164.452
CUURN100SAF,2020,M01,2020 Jan,165.698
CUURN100SAF,2020,M02,2020 Feb,165.597
CUURN100SAF,2020,M03,2020 Mar,165.771
CUURN100SAF,2020,M04,2020 Apr,169.080
CUURN100SAF,2020,M05,2020 May,169.330
CUURN100SAF,2020,M06,2020 Jun,169.199
CUURN100SAF,2020,M07,2020 Jul,169.160
CUURN100SAF,2020,M08,2020 Aug,169.149
CUURN100SAF,2020,M09,2020 Sep,169.642
CUURN100SAF,2020,M10,2020 Oct,168.832
CUURN100SAF,2020,M11,2020 Nov,168.687
CUURN100SAF,2020,M12,2020 Dec,170.528
CUURN100SAF,2021,M01,2021 Jan,170.976
CUURN100SAF,2021,M02,2021 Feb,169.985
CUURN100SAF,2021,M03,2021 Mar,170.907
CUURN100SAF,2021,M04,2021 Apr,172.105
CUURN100SAF,2021,M05,2021 May,172.344
CUURN100SAF,2021,M06,2021 Jun,172.782
CUURN100SAF,2021,M07,2021 Jul,172.970
CUURN100SAF,2021,M08,2021 Aug,174.294
CUURN100SAF,2021,M09,2021 Sep,175.235
CUURN100SAF,2021,M10,2021 Oct,177.021
CUURN100SAF,2021,M11,2021 Nov,177.676
CUURN100SAF,2021,M12,2021 Dec,178.955
CUURN100SAF,2022,M01,2022 Jan,179.446
CUURN100SAF,2022,M02,2022 Feb,181.847
CUURN100SAF,2022,M03,2022 Mar,183.108
CUURN100SAF,2022,M04,2022 Apr,184.212
CUURN100SAF,2022,M05,2022 May,186.315
CUURN100SAF,2022,M06,2022 Jun,187.718
CUURN100SAF,2022,M07,2022 Jul,189.252
CUURN100SAF,2022,M08,2022 Aug,190.665
CUURN100SAF,2022,M09,2022 Sep,193.046
CUURN100SAF,2022,M10,2022 Oct,195.190
CUURN100SAF,2022,M11,2022 Nov,195.066
CUURN100SAF,2022,M12,2022 Dec,195.799
CUURN100SAF,2023,M01,2023 Jan,197.195
CUURN100SAF,2023,M02,2023 Feb,197.969
CUURN100SAF,2023,M03,2023 Mar,197.234
CUURN100SAF,2023,M04,2023 Apr,197.884
CUURN100SAF,2023,M05,2023 May,198.426
CUURN100SAF,2023,M06,2023 Jun,198.077
CUURN100SAF,2023,M07,2023 Jul,198.701
CUURN100SAF,2023,M08,2023 Aug,198.983
CUURN100SAF,2023,M09,2023 Sep,199.421
CUURN100SAF,2023,M10,2023 Oct,200.387
CUURN100SAF,2023,M11,2023 Nov,199.639
CUURN100SAF,2023,M12,2023 Dec,199.242
CUURN100SAF,2024,M01,2024 Jan,201.095
CUURN100SAF,2024,M02,2024 Feb,200.819
CUURN100SAF,2024,M03,2024 Mar,201.138
CUURN100SAF,2024,M04,2024 Apr,201.816
CUURN100SAF,2024,M05,2024 May,201.977
CUURN100SAF,2024,M06,2024 Jun,202.159
CUURN100SAF,2024,M07,2024 Jul,203.313
CUURN100SAF,2024,M08,2024 Aug,203.431
CUURN100SAF,2024,M09,2024 Sep,203.976
CUURN100SAF,2024,M10,2024 Oct,203.026
CUURN100SAF,2024,M11,2024 Nov,203.251
CUURN100SAF,2024,M12,2024 Dec,203.660
CUURN100SAF,2025,M01,2025 Jan,205.351
