"Series.ID","Year","Period","Label","Value","Month","date","Value_STL_Adjusted"
"CUURN100SAF",2019,"M01","2019 Jan",162.097,1,2019-01-01,161.845083856318
"CUURN100SAF",2019,"M02","2019 Feb",162.173,2,2019-02-01,162.598265778302
"CUURN100SAF",2019,"M03","2019 Mar",162.5,3,2019-03-01,163.168529858096
"CUURN100SAF",2019,"M04","2019 Apr",162.193,4,2019-04-01,162.306427203641
"CUURN100SAF",2019,"M05","2019 May",163.24,5,2019-05-01,163.179991579593
"CUURN100SAF",2019,"M06","2019 Jun",163.659,6,2019-06-01,163.742672795417
"CUURN100SAF",2019,"M07","2019 Jul",163.581,7,2019-07-01,163.571520768236
"CUURN100SAF",2019,"M08","2019 Aug",163.786,8,2019-08-01,163.690204420541
"CUURN100SAF",2019,"M09","2019 Sep",163.797,9,2019-09-01,163.368554646706
"CUURN100SAF",2019,"M10","2019 Oct",163.914,10,2019-10-01,163.489408205464
"CUURN100SAF",2019,"M11","2019 Nov",165.109,11,2019-11-01,165.054096407969
"CUURN100SAF",2019,"M12","2019 Dec",164.452,12,2019-12-01,164.486244427361
"CUURN100SAF",2020,"M01","2020 Jan",165.698,1,2020-01-01,165.446083856318
"CUURN100SAF",2020,"M02","2020 Feb",165.597,2,2020-02-01,166.022265778302
"CUURN100SAF",2020,"M03","2020 Mar",165.771,3,2020-03-01,166.439529858096
"CUURN100SAF",2020,"M04","2020 Apr",169.08,4,2020-04-01,169.193427203641
"CUURN100SAF",2020,"M05","2020 May",169.33,5,2020-05-01,169.269991579593
"CUURN100SAF",2020,"M06","2020 Jun",169.199,6,2020-06-01,169.282672795417
"CUURN100SAF",2020,"M07","2020 Jul",169.16,7,2020-07-01,169.150520768236
"CUURN100SAF",2020,"M08","2020 Aug",169.149,8,2020-08-01,169.053204420541
"CUURN100SAF",2020,"M09","2020 Sep",169.642,9,2020-09-01,169.213554646706
"CUURN100SAF",2020,"M10","2020 Oct",168.832,10,2020-10-01,168.407408205464
"CUURN100SAF",2020,"M11","2020 Nov",168.687,11,2020-11-01,168.632096407969
"CUURN100SAF",2020,"M12","2020 Dec",170.528,12,2020-12-01,170.562244427361
"CUURN100SAF",2021,"M01","2021 Jan",170.976,1,2021-01-01,170.724083856318
"CUURN100SAF",2021,"M02","2021 Feb",169.985,2,2021-02-01,170.410265778302
"CUURN100SAF",2021,"M03","2021 Mar",170.907,3,2021-03-01,171.575529858096
"CUURN100SAF",2021,"M04","2021 Apr",172.105,4,2021-04-01,172.218427203641
"CUURN100SAF",2021,"M05","2021 May",172.344,5,2021-05-01,172.283991579593
"CUURN100SAF",2021,"M06","2021 Jun",172.782,6,2021-06-01,172.865672795417
"CUURN100SAF",2021,"M07","2021 Jul",172.97,7,2021-07-01,172.960520768236
"CUURN100SAF",2021,"M08","2021 Aug",174.294,8,2021-08-01,174.198204420541
