Series ID,Year,Period,Label,Value
CUURS300SAF,2019,M01,2019 Jan,252.088
CUURS300SAF,2019,M02,2019 Feb,252.897
CUURS300SAF,2019,M03,2019 Mar,253.404
CUURS300SAF,2019,M04,2019 Apr,253.470
CUURS300SAF,2019,M05,2019 May,254.393
CUURS300SAF,2019,M06,2019 Jun,253.678
CUURS300SAF,2019,M07,2019 Jul,254.480
CUURS300SAF,2019,M08,2019 Aug,254.287
CUURS300SAF,2019,M09,2019 Sep,254.274
CUURS300SAF,2019,M10,2019 Oct,254.627
CUURS300SAF,2019,M11,2019 Nov,254.889
CUURS300SAF,2019,M12,2019 Dec,255.796
CUURS300SAF,2020,M01,2020 Jan,256.041
CUURS300SAF,2020,M02,2020 Feb,256.942
CUURS300SAF,2020,M03,2020 Mar,257.783
CUURS300SAF,2020,M04,2020 Apr,261.792
CUURS300SAF,2020,M05,2020 May,264.564
CUURS300SAF,2020,M06,2020 Jun,264.312
CUURS300SAF,2020,M07,2020 Jul,263.603
CUURS300SAF,2020,M08,2020 Aug,263.223
CUURS300SAF,2020,M09,2020 Sep,263.604
CUURS300SAF,2020,M10,2020 Oct,264.229
CUURS300SAF,2020,M11,2020 Nov,264.123
CUURS300SAF,2020,M12,2020 Dec,264.689
CUURS300SAF,2021,M01,2021 Jan,266.093
CUURS300SAF,2021,M02,2021 Feb,267.053
CUURS300SAF,2021,M03,2021 Mar,267.082
CUURS300SAF,2021,M04,2021 Apr,268.140
CUURS300SAF,2021,M05,2021 May,268.347
CUURS300SAF,2021,M06,2021 Jun,270.261
CUURS300SAF,2021,M07,2021 Jul,270.923
CUURS300SAF,2021,M08,2021 Aug,270.303
CUURS300SAF,2021,M09,2021 Sep,272.579
CUURS300SAF,2021,M10,2021 Oct,274.698
CUURS300SAF,2021,M11,2021 Nov,275.307
CUURS300SAF,2021,M12,2021 Dec,277.444
CUURS300SAF,2022,M01,2022 Jan,280.935
CUURS300SAF,2022,M02,2022 Feb,283.277
CUURS300SAF,2022,M03,2022 Mar,286.861
CUURS300SAF,2022,M04,2022 Apr,289.016
CUURS300SAF,2022,M05,2022 May,291.887
CUURS300SAF,2022,M06,2022 Jun,293.907
CUURS300SAF,2022,M07,2022 Jul,297.645
CUURS300SAF,2022,M08,2022 Aug,300.133
CUURS300SAF,2022,M09,2022 Sep,301.854
CUURS300SAF,2022,M10,2022 Oct,304.197
CUURS300SAF,2022,M11,2022 Nov,305.013
CUURS300SAF,2022,M12,2022 Dec,304.970
CUURS300SAF,2023,M01,2023 Jan,307.730
CUURS300SAF,2023,M02,2023 Feb,308.262
CUURS300SAF,2023,M03,2023 Mar,309.330
CUURS300SAF,2023,M04,2023 Apr,310.450
CUURS300SAF,2023,M05,2023 May,312.006
CUURS300SAF,2023,M06,2023 Jun,311.849
CUURS300SAF,2023,M07,2023 Jul,312.567
CUURS300SAF,2023,M08,2023 Aug,313.085
CUURS300SAF,2023,M09,2023 Sep,314.832
CUURS300SAF,2023,M10,2023 Oct,315.842
CUURS300SAF,2023,M11,2023 Nov,315.777
CUURS300SAF,2023,M12,2023 Dec,316.211
CUURS300SAF,2024,M01,2024 Jan,316.416
CUURS300SAF,2024,M02,2024 Feb,317.790
CUURS300SAF,2024,M03,2024 Mar,317.016
CUURS300SAF,2024,M04,2024 Apr,317.691
CUURS300SAF,2024,M05,2024 May,319.100
CUURS300SAF,2024,M06,2024 Jun,319.277
CUURS300SAF,2024,M07,2024 Jul,320.341
CUURS300SAF,2024,M08,2024 Aug,320.491
CUURS300SAF,2024,M09,2024 Sep,321.762
CUURS300SAF,2024,M10,2024 Oct,322.530
CUURS300SAF,2024,M11,2024 Nov,321.984
CUURS300SAF,2024,M12,2024 Dec,322.361
CUURS300SAF,2025,M01,2025 Jan,323.301
