Series ID,Year,Period,Label,Value
CUURN300SAF,2019,M01,2019 Jan,160.261
CUURN300SAF,2019,M02,2019 Feb,160.760
CUURN300SAF,2019,M03,2019 Mar,161.268
CUURN300SAF,2019,M04,2019 Apr,161.316
CUURN300SAF,2019,M05,2019 May,160.682
CUURN300SAF,2019,M06,2019 Jun,160.573
CUURN300SAF,2019,M07,2019 Jul,160.866
CUURN300SAF,2019,M08,2019 Aug,161.032
CUURN300SAF,2019,M09,2019 Sep,161.274
CUURN300SAF,2019,M10,2019 Oct,162.001
CUURN300SAF,2019,M11,2019 Nov,161.541
CUURN300SAF,2019,M12,2019 Dec,161.800
CUURN300SAF,2020,M01,2020 Jan,162.645
CUURN300SAF,2020,M02,2020 Feb,162.815
CUURN300SAF,2020,M03,2020 Mar,163.640
CUURN300SAF,2020,M04,2020 Apr,165.518
CUURN300SAF,2020,M05,2020 May,166.338
CUURN300SAF,2020,M06,2020 Jun,168.084
CUURN300SAF,2020,M07,2020 Jul,166.932
CUURN300SAF,2020,M08,2020 Aug,167.153
CUURN300SAF,2020,M09,2020 Sep,166.926
CUURN300SAF,2020,M10,2020 Oct,167.462
CUURN300SAF,2020,M11,2020 Nov,167.076
CUURN300SAF,2020,M12,2020 Dec,167.090
CUURN300SAF,2021,M01,2021 Jan,167.822
CUURN300SAF,2021,M02,2021 Feb,168.325
CUURN300SAF,2021,M03,2021 Mar,168.466
CUURN300SAF,2021,M04,2021 Apr,168.755
CUURN300SAF,2021,M05,2021 May,169.315
CUURN300SAF,2021,M06,2021 Jun,170.830
CUURN300SAF,2021,M07,2021 Jul,172.025
CUURN300SAF,2021,M08,2021 Aug,173.054
CUURN300SAF,2021,M09,2021 Sep,174.648
CUURN300SAF,2021,M10,2021 Oct,176.647
CUURN300SAF,2021,M11,2021 Nov,176.890
CUURN300SAF,2021,M12,2021 Dec,177.614
CUURN300SAF,2022,M01,2022 Jan,179.355
CUURN300SAF,2022,M02,2022 Feb,181.543
CUURN300SAF,2022,M03,2022 Mar,183.271
CUURN300SAF,2022,M04,2022 Apr,184.909
CUURN300SAF,2022,M05,2022 May,186.501
CUURN300SAF,2022,M06,2022 Jun,188.677
CUURN300SAF,2022,M07,2022 Jul,190.918
CUURN300SAF,2022,M08,2022 Aug,192.153
CUURN300SAF,2022,M09,2022 Sep,193.897
CUURN300SAF,2022,M10,2022 Oct,195.374
CUURN300SAF,2022,M11,2022 Nov,195.749
CUURN300SAF,2022,M12,2022 Dec,196.784
CUURN300SAF,2023,M01,2023 Jan,197.584
CUURN300SAF,2023,M02,2023 Feb,198.736
CUURN300SAF,2023,M03,2023 Mar,198.814
CUURN300SAF,2023,M04,2023 Apr,199.756
CUURN300SAF,2023,M05,2023 May,199.618
CUURN300SAF,2023,M06,2023 Jun,199.576
CUURN300SAF,2023,M07,2023 Jul,200.452
CUURN300SAF,2023,M08,2023 Aug,200.957
CUURN300SAF,2023,M09,2023 Sep,200.907
CUURN300SAF,2023,M10,2023 Oct,201.558
CUURN300SAF,2023,M11,2023 Nov,201.606
CUURN300SAF,2023,M12,2023 Dec,201.406
CUURN300SAF,2024,M01,2024 Jan,202.001
CUURN300SAF,2024,M02,2024 Feb,202.843
CUURN300SAF,2024,M03,2024 Mar,203.582
CUURN300SAF,2024,M04,2024 Apr,203.567
CUURN300SAF,2024,M05,2024 May,203.440
CUURN300SAF,2024,M06,2024 Jun,203.925
CUURN300SAF,2024,M07,2024 Jul,204.525
CUURN300SAF,2024,M08,2024 Aug,204.650
CUURN300SAF,2024,M09,2024 Sep,205.266
CUURN300SAF,2024,M10,2024 Oct,206.254
CUURN300SAF,2024,M11,2024 Nov,206.221
CUURN300SAF,2024,M12,2024 Dec,206.840
CUURN300SAF,2025,M01,2025 Jan,207.536
