"Series.ID","Year","Period","Label","Value","Month","date","Value_STL_Adjusted"
"CUURN300SAF",2019,"M01","2019 Jan",160.261,1,2019-01-01,160.462565079009
"CUURN300SAF",2019,"M02","2019 Feb",160.76,2,2019-02-01,161.137117306954
"CUURN300SAF",2019,"M03","2019 Mar",161.268,3,2019-03-01,161.637130469109
"CUURN300SAF",2019,"M04","2019 Apr",161.316,4,2019-04-01,161.491100905779
"CUURN300SAF",2019,"M05","2019 May",160.682,5,2019-05-01,161.114237870944
"CUURN300SAF",2019,"M06","2019 Jun",160.573,6,2019-06-01,160.5650816928
"CUURN300SAF",2019,"M07","2019 Jul",160.866,7,2019-07-01,160.704259130454
"CUURN300SAF",2019,"M08","2019 Aug",161.032,8,2019-08-01,160.835928441875
"CUURN300SAF",2019,"M09","2019 Sep",161.274,9,2019-09-01,160.937264396798
"CUURN300SAF",2019,"M10","2019 Oct",162.001,10,2019-10-01,161.198881832513
"CUURN300SAF",2019,"M11","2019 Nov",161.541,11,2019-11-01,161.371999365181
"CUURN300SAF",2019,"M12","2019 Dec",161.8,12,2019-12-01,161.918433301356
"CUURN300SAF",2020,"M01","2020 Jan",162.645,1,2020-01-01,162.846565079009
"CUURN300SAF",2020,"M02","2020 Feb",162.815,2,2020-02-01,163.192117306954
"CUURN300SAF",2020,"M03","2020 Mar",163.64,3,2020-03-01,164.009130469109
"CUURN300SAF",2020,"M04","2020 Apr",165.518,4,2020-04-01,165.693100905779
"CUURN300SAF",2020,"M05","2020 May",166.338,5,2020-05-01,166.770237870944
"CUURN300SAF",2020,"M06","2020 Jun",168.084,6,2020-06-01,168.0760816928
"CUURN300SAF",2020,"M07","2020 Jul",166.932,7,2020-07-01,166.770259130454
"CUURN300SAF",2020,"M08","2020 Aug",167.153,8,2020-08-01,166.956928441875
"CUURN300SAF",2020,"M09","2020 Sep",166.926,9,2020-09-01,166.589264396798
"CUURN300SAF",2020,"M10","2020 Oct",167.462,10,2020-10-01,166.659881832513
"CUURN300SAF",2020,"M11","2020 Nov",167.076,11,2020-11-01,166.906999365181
"CUURN300SAF",2020,"M12","2020 Dec",167.09,12,2020-12-01,167.208433301356
"CUURN300SAF",2021,"M01","2021 Jan",167.822,1,2021-01-01,168.023565079009
"CUURN300SAF",2021,"M02","2021 Feb",168.325,2,2021-02-01,168.702117306954
"CUURN300SAF",2021,"M03","2021 Mar",168.466,3,2021-03-01,168.835130469109
"CUURN300SAF",2021,"M04","2021 Apr",168.755,4,2021-04-01,168.930100905779
"CUURN300SAF",2021,"M05","2021 May",169.315,5,2021-05-01,169.747237870944
"CUURN300SAF",2021,"M06","2021 Jun",170.83,6,2021-06-01,170.8220816928
"CUURN300SAF",2021,"M07","2021 Jul",172.025,7,2021-07-01,171.863259130454
"CUURN300SAF",2021,"M08","2021 Aug",173.054,8,2021-08-01,172.857928441875
"CUURN300SAF",2021,"M09","2021 Sep",174.648,9,2021-09-01,174.311264396798
"CUURN300SAF",2021,"M10","2021 Oct",176.647,10,2021-10-01,175.844881832513
"CUURN300SAF",2021,"M11","2021 Nov",176.89,11,2021-11-01,176.720999365181
"CUURN300SAF",2021,"M12","2021 Dec",177.614,12,2021-12-01,177.732433301356
"CUURN300SAF",2022,"M01","2022 Jan",179.355,1,2022-01-01,179.556565079009
"CUURN300SAF",2022,"M02","2022 Feb",181.543,2,2022-02-01,181.920117306954
"CUURN300SAF",2022,"M03","2022 Mar",183.271,3,2022-03-01,183.640130469109
"CUURN300SAF",2022,"M04","2022 Apr",184.909,4,2022-04-01,185.084100905779
"CUURN300SAF",2022,"M05","2022 May",186.501,5,2022-05-01,186.933237870944
"CUURN300SAF",2022,"M06","2022 Jun",188.677,6,2022-06-01,188.6690816928
"CUURN300SAF",2022,"M07","2022 Jul",190.918,7,2022-07-01,190.756259130454
"CUURN300SAF",2022,"M08","2022 Aug",192.153,8,2022-08-01,191.956928441875
"CUURN300SAF",2022,"M09","2022 Sep",193.897,9,2022-09-01,193.560264396798
"CUURN300SAF",2022,"M10","2022 Oct",195.374,10,2022-10-01,194.571881832513
"CUURN300SAF",2022,"M11","2022 Nov",195.749,11,2022-11-01,195.579999365181
"CUURN300SAF",2022,"M12","2022 Dec",196.784,12,2022-12-01,196.902433301356
"CUURN300SAF",2023,"M01","2023 Jan",197.584,1,2023-01-01,197.785565079009
"CUURN300SAF",2023,"M02","2023 Feb",198.736,2,2023-02-01,199.113117306954
"CUURN300SAF",2023,"M03","2023 Mar",198.814,3,2023-03-01,199.183130469109
"CUURN300SAF",2023,"M04","2023 Apr",199.756,4,2023-04-01,199.931100905779
"CUURN300SAF",2023,"M05","2023 May",199.618,5,2023-05-01,200.050237870944
"CUURN300SAF",2023,"M06","2023 Jun",199.576,6,2023-06-01,199.5680816928
"CUURN300SAF",2023,"M07","2023 Jul",200.452,7,2023-07-01,200.290259130454
"CUURN300SAF",2023,"M08","2023 Aug",200.957,8,2023-08-01,200.760928441875
"CUURN300SAF",2023,"M09","2023 Sep",200.907,9,2023-09-01,200.570264396798
"CUURN300SAF",2023,"M10","2023 Oct",201.558,10,2023-10-01,200.755881832513
"CUURN300SAF",2023,"M11","2023 Nov",201.606,11,2023-11-01,201.436999365181
"CUURN300SAF",2023,"M12","2023 Dec",201.406,12,2023-12-01,201.524433301356
"CUURN300SAF",2024,"M01","2024 Jan",202.001,1,2024-01-01,202.202565079009
"CUURN300SAF",2024,"M02","2024 Feb",202.843,2,2024-02-01,203.220117306954
"CUURN300SAF",2024,"M03","2024 Mar",203.582,3,2024-03-01,203.951130469109
"CUURN300SAF",2024,"M04","2024 Apr",203.567,4,2024-04-01,203.742100905779
"CUURN300SAF",2024,"M05","2024 May",203.44,5,2024-05-01,203.872237870944
"CUURN300SAF",2024,"M06","2024 Jun",203.925,6,2024-06-01,203.9170816928
"CUURN300SAF",2024,"M07","2024 Jul",204.525,7,2024-07-01,204.363259130454
"CUURN300SAF",2024,"M08","2024 Aug",204.65,8,2024-08-01,204.453928441875
"CUURN300SAF",2024,"M09","2024 Sep",205.266,9,2024-09-01,204.929264396798
"CUURN300SAF",2024,"M10","2024 Oct",206.254,10,2024-10-01,205.451881832513
"CUURN300SAF",2024,"M11","2024 Nov",206.221,11,2024-11-01,206.051999365181
"CUURN300SAF",2024,"M12","2024 Dec",206.84,12,2024-12-01,206.958433301356
"CUURN300SAF",2025,"M01","2025 Jan",207.536,1,2025-01-01,207.737565079009
