Series ID,Year,Period,Label,Value
CUURS400SAF,2019,M01,2019 Jan,266.213
CUURS400SAF,2019,M02,2019 Feb,266.505
CUURS400SAF,2019,M03,2019 Mar,267.312
CUURS400SAF,2019,M04,2019 Apr,267.332
CUURS400SAF,2019,M05,2019 May,268.440
CUURS400SAF,2019,M06,2019 Jun,268.287
CUURS400SAF,2019,M07,2019 Jul,268.866
CUURS400SAF,2019,M08,2019 Aug,268.820
CUURS400SAF,2019,M09,2019 Sep,270.727
CUURS400SAF,2019,M10,2019 Oct,270.838
CUURS400SAF,2019,M11,2019 Nov,270.755
CUURS400SAF,2019,M12,2019 Dec,270.181
CUURS400SAF,2020,M01,2020 Jan,272.546
CUURS400SAF,2020,M02,2020 Feb,273.836
CUURS400SAF,2020,M03,2020 Mar,275.128
CUURS400SAF,2020,M04,2020 Apr,279.012
CUURS400SAF,2020,M05,2020 May,280.520
CUURS400SAF,2020,M06,2020 Jun,282.450
CUURS400SAF,2020,M07,2020 Jul,281.510
CUURS400SAF,2020,M08,2020 Aug,282.621
CUURS400SAF,2020,M09,2020 Sep,282.495
CUURS400SAF,2020,M10,2020 Oct,283.870
CUURS400SAF,2020,M11,2020 Nov,283.776
CUURS400SAF,2020,M12,2020 Dec,284.390
CUURS400SAF,2021,M01,2021 Jan,284.818
CUURS400SAF,2021,M02,2021 Feb,285.535
CUURS400SAF,2021,M03,2021 Mar,285.788
CUURS400SAF,2021,M04,2021 Apr,287.977
CUURS400SAF,2021,M05,2021 May,289.616
CUURS400SAF,2021,M06,2021 Jun,291.479
CUURS400SAF,2021,M07,2021 Jul,294.004
CUURS400SAF,2021,M08,2021 Aug,295.088
CUURS400SAF,2021,M09,2021 Sep,296.350
CUURS400SAF,2021,M10,2021 Oct,299.681
CUURS400SAF,2021,M11,2021 Nov,301.183
CUURS400SAF,2021,M12,2021 Dec,302.466
CUURS400SAF,2022,M01,2022 Jan,305.356
CUURS400SAF,2022,M02,2022 Feb,308.634
CUURS400SAF,2022,M03,2022 Mar,311.261
CUURS400SAF,2022,M04,2022 Apr,313.415
CUURS400SAF,2022,M05,2022 May,316.699
CUURS400SAF,2022,M06,2022 Jun,319.481
CUURS400SAF,2022,M07,2022 Jul,322.030
CUURS400SAF,2022,M08,2022 Aug,324.166
CUURS400SAF,2022,M09,2022 Sep,325.679
CUURS400SAF,2022,M10,2022 Oct,327.109
CUURS400SAF,2022,M11,2022 Nov,327.215
CUURS400SAF,2022,M12,2022 Dec,328.621
CUURS400SAF,2023,M01,2023 Jan,331.230
CUURS400SAF,2023,M02,2023 Feb,333.714
CUURS400SAF,2023,M03,2023 Mar,333.128
CUURS400SAF,2023,M04,2023 Apr,333.461
CUURS400SAF,2023,M05,2023 May,334.572
CUURS400SAF,2023,M06,2023 Jun,335.126
CUURS400SAF,2023,M07,2023 Jul,335.602
CUURS400SAF,2023,M08,2023 Aug,337.410
CUURS400SAF,2023,M09,2023 Sep,336.836
CUURS400SAF,2023,M10,2023 Oct,337.607
CUURS400SAF,2023,M11,2023 Nov,337.525
CUURS400SAF,2023,M12,2023 Dec,338.626
CUURS400SAF,2024,M01,2024 Jan,340.854
CUURS400SAF,2024,M02,2024 Feb,341.430
CUURS400SAF,2024,M03,2024 Mar,341.383
CUURS400SAF,2024,M04,2024 Apr,343.188
CUURS400SAF,2024,M05,2024 May,343.462
CUURS400SAF,2024,M06,2024 Jun,343.248
CUURS400SAF,2024,M07,2024 Jul,344.316
CUURS400SAF,2024,M08,2024 Aug,344.071
CUURS400SAF,2024,M09,2024 Sep,345.430
CUURS400SAF,2024,M10,2024 Oct,346.798
CUURS400SAF,2024,M11,2024 Nov,347.408
CUURS400SAF,2024,M12,2024 Dec,348.177
CUURS400SAF,2025,M01,2025 Jan,351.052
