Series ID,Year,Period,Label,Value
CUURN400SAF,2019,M01,2019 Jan,159.592
CUURN400SAF,2019,M02,2019 Feb,160.539
CUURN400SAF,2019,M03,2019 Mar,160.622
CUURN400SAF,2019,M04,2019 Apr,161.340
CUURN400SAF,2019,M05,2019 May,161.258
CUURN400SAF,2019,M06,2019 Jun,160.782
CUURN400SAF,2019,M07,2019 Jul,161.196
CUURN400SAF,2019,M08,2019 Aug,160.852
CUURN400SAF,2019,M09,2019 Sep,161.162
CUURN400SAF,2019,M10,2019 Oct,161.687
CUURN400SAF,2019,M11,2019 Nov,161.070
CUURN400SAF,2019,M12,2019 Dec,161.751
CUURN400SAF,2020,M01,2020 Jan,162.047
CUURN400SAF,2020,M02,2020 Feb,163.462
CUURN400SAF,2020,M03,2020 Mar,163.850
CUURN400SAF,2020,M04,2020 Apr,166.628
CUURN400SAF,2020,M05,2020 May,167.423
CUURN400SAF,2020,M06,2020 Jun,168.373
CUURN400SAF,2020,M07,2020 Jul,168.288
CUURN400SAF,2020,M08,2020 Aug,169.720
CUURN400SAF,2020,M09,2020 Sep,169.730
CUURN400SAF,2020,M10,2020 Oct,169.929
CUURN400SAF,2020,M11,2020 Nov,168.899
CUURN400SAF,2020,M12,2020 Dec,170.018
CUURN400SAF,2021,M01,2021 Jan,169.928
CUURN400SAF,2021,M02,2021 Feb,170.792
CUURN400SAF,2021,M03,2021 Mar,171.113
CUURN400SAF,2021,M04,2021 Apr,171.964
CUURN400SAF,2021,M05,2021 May,172.732
CUURN400SAF,2021,M06,2021 Jun,173.794
CUURN400SAF,2021,M07,2021 Jul,175.782
CUURN400SAF,2021,M08,2021 Aug,175.792
CUURN400SAF,2021,M09,2021 Sep,177.085
CUURN400SAF,2021,M10,2021 Oct,178.254
CUURN400SAF,2021,M11,2021 Nov,179.397
CUURN400SAF,2021,M12,2021 Dec,179.988
CUURN400SAF,2022,M01,2022 Jan,181.737
CUURN400SAF,2022,M02,2022 Feb,183.612
CUURN400SAF,2022,M03,2022 Mar,185.175
CUURN400SAF,2022,M04,2022 Apr,187.169
CUURN400SAF,2022,M05,2022 May,189.316
CUURN400SAF,2022,M06,2022 Jun,192.738
CUURN400SAF,2022,M07,2022 Jul,194.030
CUURN400SAF,2022,M08,2022 Aug,195.279
CUURN400SAF,2022,M09,2022 Sep,196.403
CUURN400SAF,2022,M10,2022 Oct,198.089
CUURN400SAF,2022,M11,2022 Nov,198.576
CUURN400SAF,2022,M12,2022 Dec,198.841
CUURN400SAF,2023,M01,2023 Jan,200.458
CUURN400SAF,2023,M02,2023 Feb,201.327
CUURN400SAF,2023,M03,2023 Mar,201.714
CUURN400SAF,2023,M04,2023 Apr,201.865
CUURN400SAF,2023,M05,2023 May,202.094
CUURN400SAF,2023,M06,2023 Jun,203.114
CUURN400SAF,2023,M07,2023 Jul,203.414
CUURN400SAF,2023,M08,2023 Aug,203.782
CUURN400SAF,2023,M09,2023 Sep,204.494
CUURN400SAF,2023,M10,2023 Oct,205.384
CUURN400SAF,2023,M11,2023 Nov,204.048
CUURN400SAF,2023,M12,2023 Dec,204.273
CUURN400SAF,2024,M01,2024 Jan,206.035
CUURN400SAF,2024,M02,2024 Feb,205.899
CUURN400SAF,2024,M03,2024 Mar,206.632
CUURN400SAF,2024,M04,2024 Apr,206.650
CUURN400SAF,2024,M05,2024 May,207.727
CUURN400SAF,2024,M06,2024 Jun,208.629
CUURN400SAF,2024,M07,2024 Jul,208.156
CUURN400SAF,2024,M08,2024 Aug,209.030
CUURN400SAF,2024,M09,2024 Sep,209.352
CUURN400SAF,2024,M10,2024 Oct,209.705
CUURN400SAF,2024,M11,2024 Nov,210.086
CUURN400SAF,2024,M12,2024 Dec,210.525
CUURN400SAF,2025,M01,2025 Jan,212.098
