"Series.ID","Year","Period","Label","Value","Month","date","Value_STL_Adjusted"
"CUURN400SAF",2019,"M01","2019 Jan",159.592,1,2019-01-01,159.914515734686
"CUURN400SAF",2019,"M02","2019 Feb",160.539,2,2019-02-01,161.120497936849
"CUURN400SAF",2019,"M03","2019 Mar",160.622,3,2019-03-01,161.347885887806
"CUURN400SAF",2019,"M04","2019 Apr",161.34,4,2019-04-01,161.641147441244
"CUURN400SAF",2019,"M05","2019 May",161.258,5,2019-05-01,161.397075809029
"CUURN400SAF",2019,"M06","2019 Jun",160.782,6,2019-06-01,160.348845794604
"CUURN400SAF",2019,"M07","2019 Jul",161.196,7,2019-07-01,160.764615989865
"CUURN400SAF",2019,"M08","2019 Aug",160.852,8,2019-08-01,160.385380460039
"CUURN400SAF",2019,"M09","2019 Sep",161.162,9,2019-09-01,160.629811442927
"CUURN400SAF",2019,"M10","2019 Oct",161.687,10,2019-10-01,161.004427099229
"CUURN400SAF",2019,"M11","2019 Nov",161.07,11,2019-11-01,161.202709563051
"CUURN400SAF",2019,"M12","2019 Dec",161.751,12,2019-12-01,162.094086570711
"CUURN400SAF",2020,"M01","2020 Jan",162.047,1,2020-01-01,162.369515734686
"CUURN400SAF",2020,"M02","2020 Feb",163.462,2,2020-02-01,164.043497936849
"CUURN400SAF",2020,"M03","2020 Mar",163.85,3,2020-03-01,164.575885887806
"CUURN400SAF",2020,"M04","2020 Apr",166.628,4,2020-04-01,166.929147441244
"CUURN400SAF",2020,"M05","2020 May",167.423,5,2020-05-01,167.562075809029
"CUURN400SAF",2020,"M06","2020 Jun",168.373,6,2020-06-01,167.939845794604
"CUURN400SAF",2020,"M07","2020 Jul",168.288,7,2020-07-01,167.856615989865
"CUURN400SAF",2020,"M08","2020 Aug",169.72,8,2020-08-01,169.253380460039
"CUURN400SAF",2020,"M09","2020 Sep",169.73,9,2020-09-01,169.197811442927
"CUURN400SAF",2020,"M10","2020 Oct",169.929,10,2020-10-01,169.246427099229
"CUURN400SAF",2020,"M11","2020 Nov",168.899,11,2020-11-01,169.031709563051
"CUURN400SAF",2020,"M12","2020 Dec",170.018,12,2020-12-01,170.361086570711
"CUURN400SAF",2021,"M01","2021 Jan",169.928,1,2021-01-01,170.250515734686
"CUURN400SAF",2021,"M02","2021 Feb",170.792,2,2021-02-01,171.373497936849
"CUURN400SAF",2021,"M03","2021 Mar",171.113,3,2021-03-01,171.838885887806
