FIPS,State Name,State,2015 Food Insecurity Rate,# of Food Insecure Persons in 2015 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2015 Child Food Insecurity Rate,# of Food Insecure Children in 2015,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2015,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2015,Cost Per Meal,Weighted Annual Food Budget Shortfall,Year,
1,Alabama,AL,0.177,859380,1.3,SNAP,1.85,Other Nutrition Program,0.539,0.179,0.282,0.241,267040,0.73,0.27,2.92,450670000,2015,
2,Alaska,AK,0.139,102670,1.3,SNAP,1.85,Other Nutrition Program,0.437,0.175,0.389,0.196,36560,0.61,0.39,3.41,62743000,2015,
4,Arizona,AZ,0.158,1078190,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.693,,0.307,0.24,389850,0.69,0.31,2.81,543084000,2015,
5,Arkansas,AR,0.184,549070,1.3,SNAP,1.85,Other Nutrition Program,0.557,0.174,0.269,0.25,176710,0.72,0.28,2.72,267757000,2015,
6,California,CA,0.125,4885220,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.77,,0.23,0.207,1890050,0.68,0.32,3.14,2750484000,2015,
8,Colorado,CO,0.122,665220,1.3,SNAP,1.85,Other Nutrition Program,0.467,0.17,0.364,0.165,207650,0.63,0.37,3.09,368403000,2015,
9,Connecticut,CT,0.122,437530,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.578,,0.422,0.167,127400,0.6,0.4,3.12,244830000,2015,
10,Delaware,DE,0.121,114060,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.666,,0.334,0.173,35310,0.7,0.3,3.04,62102000,2015,
11,District of Columbia,DC,0.126,84540,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.737,,0.263,0.236,27800,0.72,0.28,3.61,54660000,2015,
12,Florida,FL,0.151,3056280,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.733,,0.267,0.227,930730,0.71,0.29,3.11,1702052000,2015,
13,Georgia,GA,0.162,1659710,1.3,SNAP,1.85,Other Nutrition Program,0.542,0.187,0.271,0.232,580830,0.71,0.29,2.88,858223000,2015,
15,Hawaii,HI,0.128,182600,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.537,,0.463,0.201,62600,0.44,0.56,3.23,105633000,2015,
16,Idaho,ID,0.14,232180,1.3,SNAP,1.85,Other Nutrition Program,0.482,0.225,0.294,0.176,76070,0.67,0.33,2.92,121760000,2015,
17,Illinois,IL,0.117,1506060,1.65,SNAP,1.85,Other Nutrition Program,0.638,0.056,0.307,0.173,513270,0.68,0.32,2.72,735098000,2015,
18,Indiana,IN,0.144,950720,1.3,SNAP,1.85,Other Nutrition Program,0.538,0.172,0.291,0.191,301990,0.72,0.28,2.61,445335000,2015,
19,Iowa,IA,0.12,376240,1.6,SNAP,1.85,Other Nutrition Program,0.538,0.079,0.383,0.167,121550,0.6,0.4,2.67,179954000,2015,
20,Kansas,KS,0.132,385000,1.3,SNAP,1.85,Other Nutrition Program,0.484,0.17,0.346,0.192,138480,0.65,0.35,2.84,195772000,2015,
21,Kentucky,KY,0.158,699590,1.3,SNAP,1.85,Other Nutrition Program,0.576,0.151,0.273,0.2,202050,0.74,0.26,2.67,334999000,2015,
