FIPS,State Name,State,2018 Food Insecurity Rate,# of Food Insecure Persons in 2018,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2018 Child Food Insecurity Rate,# of Food Insecure Children in 2018,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2016,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2016,Cost Per Meal,Weighted Annual Food Budget Shortfall,Year
1,Alabama,AL,0.17,829220,1.3,SNAP,1.85,Other Nutrition Program,0.509,0.16,0.331,0.231,251800,0.76,0.24,3.02,423745000,2018
2,Alaska,AK,0.129,95190,1.3,SNAP,1.85,Other Nutrition Program,0.467,0.154,0.379,0.181,33200,0.65,0.35,3.6,57930000,2018
4,Arizona,AZ,0.131,937300,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.676,,0.324,0.19,311390,0.69,0.31,2.93,465259000,2018
5,Arkansas,AR,0.173,521490,1.3,SNAP,1.85,Other Nutrition Program,0.531,0.151,0.318,0.231,162270,0.75,0.25,2.77,244364000,2018
6,California,CA,0.108,4291830,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.76,,0.24,0.152,1362340,0.71,0.29,3.28,2385968000,2018
8,Colorado,CO,0.099,566490,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.66,,0.34,0.122,155120,0.7,0.3,3.29,315489000,2018
9,Connecticut,CT,0.119,426620,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.567,,0.433,0.16,117660,0.64,0.36,3.38,244114000,2018
10,Delaware,DE,0.126,121850,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.637,,0.363,0.19,38680,0.69,0.31,3.18,65663000,2018
11,District of Columbia,DC,0.116,81400,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.703,,0.297,0.191,24280,0.74,0.26,4.08,56189000,2018
12,Florida,FL,0.13,2768480,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.722,,0.278,0.194,819370,0.65,0.35,3.29,1540830000,2018
13,Georgia,GA,0.125,1318500,1.3,SNAP,1.85,Other Nutrition Program,0.478,0.159,0.363,0.162,405380,0.68,0.32,2.99,667166000,2018
15,Hawaii,HI,0.112,159040,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.527,,0.473,0.184,55710,0.49,0.51,3.39,91220000,2018
16,Idaho,ID,0.108,189970,1.3,SNAP,1.85,Other Nutrition Program,0.485,0.194,0.321,0.126,56120,0.73,0.27,3.04,97790000,2018
