Series ID,Year,Period,Label,Value
APU0100709112,2018,M01,2018 Jan,3.404
APU0100709112,2018,M02,2018 Feb,3.390
APU0100709112,2018,M03,2018 Mar,3.304
APU0100709112,2018,M04,2018 Apr,3.334
APU0100709112,2018,M05,2018 May,3.354
APU0100709112,2019,M10,2019 Oct,3.648
APU0100709112,2019,M11,2019 Nov,3.500
APU0100709112,2019,M12,2019 Dec,3.613
APU0100709112,2020,M01,2020 Jan,3.696
APU0100709112,2020,M02,2020 Feb,3.613
APU0100709112,2020,M03,2020 Mar,3.590
APU0100709112,2020,M04,2020 Apr,3.639
APU0100709112,2020,M05,2020 May,3.610
APU0100709112,2020,M06,2020 Jun,3.570
APU0100709112,2020,M07,2020 Jul,3.739
APU0100709112,2020,M08,2020 Aug,3.880
APU0100709112,2020,M09,2020 Sep,3.905
APU0100709112,2020,M12,2020 Dec,4.119
APU0100709112,2021,M01,2021 Jan,4.038
APU0100709112,2021,M02,2021 Feb,3.931
APU0100709112,2021,M03,2021 Mar,3.912
APU0100709112,2021,M04,2021 Apr,3.978
APU0100709112,2021,M05,2021 May,3.848
APU0100709112,2021,M06,2021 Jun,3.946
APU0100709112,2021,M07,2021 Jul,3.971
APU0100709112,2021,M08,2021 Aug,3.935
APU0100709112,2021,M09,2021 Sep,3.949
APU0100709112,2021,M10,2021 Oct,3.981
APU0100709112,2021,M11,2021 Nov,3.998
APU0100709112,2021,M12,2021 Dec,4.084
APU0100709112,2022,M01,2022 Jan,4.151
APU0100709112,2022,M02,2022 Feb,4.307
APU0100709112,2022,M03,2022 Mar,4.338
APU0100709112,2022,M04,2022 Apr,4.588
APU0100709112,2022,M05,2022 May,4.669
APU0100709112,2022,M06,2022 Jun,4.611
APU0100709112,2022,M07,2022 Jul,4.565
APU0100709112,2022,M08,2022 Aug,4.553
APU0100709112,2022,M09,2022 Sep,4.504
APU0100709112,2022,M10,2022 Oct,4.441
APU0100709112,2022,M11,2022 Nov,4.502
APU0100709112,2022,M12,2022 Dec,4.514
APU0100709112,2023,M01,2023 Jan,4.509
APU0100709112,2023,M02,2023 Feb,4.438
APU0100709112,2023,M03,2023 Mar,4.403
APU0100709112,2023,M04,2023 Apr,4.345
APU0100709112,2023,M05,2023 May,4.331
APU0100709112,2023,M06,2023 Jun,4.317
APU0100709112,2023,M07,2023 Jul,4.295
APU0100709112,2023,M08,2023 Aug,4.238
APU0100709112,2023,M09,2023 Sep,4.310
APU0100709112,2023,M10,2023 Oct,4.356
APU0100709112,2023,M11,2023 Nov,4.373
APU0100709112,2023,M12,2023 Dec,4.458
APU0100709112,2024,M01,2024 Jan,4.434
APU0100709112,2024,M02,2024 Feb,4.438
APU0100709112,2024,M03,2024 Mar,4.355
APU0100709112,2024,M04,2024 Apr,4.395
APU0100709112,2024,M05,2024 May,4.375
APU0100709112,2024,M06,2024 Jun,4.389
APU0100709112,2024,M07,2024 Jul,4.422
APU0100709112,2024,M08,2024 Aug,4.488
APU0100709112,2024,M09,2024 Sep,4.443
APU0100709112,2024,M10,2024 Oct,4.420
