Series ID,Year,Period,Label,Value
APU0300709112,2022,M01,2022 Jan,3.693
APU0300709112,2022,M02,2022 Feb,3.736
APU0300709112,2022,M03,2022 Mar,3.763
APU0300709112,2022,M04,2022 Apr,3.876
APU0300709112,2022,M05,2022 May,4.053
APU0300709112,2022,M06,2022 Jun,3.960
APU0300709112,2022,M07,2022 Jul,3.997
APU0300709112,2022,M08,2022 Aug,4.094
APU0300709112,2022,M09,2022 Sep,4.076
APU0300709112,2022,M10,2022 Oct,4.215
APU0300709112,2022,M11,2022 Nov,4.259
APU0300709112,2022,M12,2022 Dec,4.220
APU0300709112,2023,M01,2023 Jan,4.263
APU0300709112,2023,M02,2023 Feb,4.257
APU0300709112,2023,M03,2023 Mar,4.192
APU0300709112,2023,M04,2023 Apr,4.118
APU0300709112,2023,M05,2023 May,4.139
APU0300709112,2023,M06,2023 Jun,4.078
APU0300709112,2023,M07,2023 Jul,4.073
APU0300709112,2023,M08,2023 Aug,4.040
APU0300709112,2023,M09,2023 Sep,4.124
APU0300709112,2023,M10,2023 Oct,3.936
APU0300709112,2023,M11,2023 Nov,4.065
APU0300709112,2023,M12,2023 Dec,4.064
APU0300709112,2024,M01,2024 Jan,3.936
APU0300709112,2024,M02,2024 Feb,3.930
APU0300709112,2024,M03,2024 Mar,3.923
APU0300709112,2024,M04,2024 Apr,3.939
APU0300709112,2024,M05,2024 May,3.910
APU0300709112,2024,M06,2024 Jun,3.935
APU0300709112,2024,M07,2024 Jul,3.947
APU0300709112,2024,M08,2024 Aug,4.022
APU0300709112,2024,M09,2024 Sep,3.999
APU0300709112,2024,M10,2024 Oct,4.047
APU0300709112,2024,M11,2024 Nov,4.159
APU0300709112,2024,M12,2024 Dec,4.122
