Series ID,Year,Period,Label,Value
APU0400709112,2018,M01,2018 Jan,2.968
APU0400709112,2018,M02,2018 Feb,2.901
APU0400709112,2018,M03,2018 Mar,2.961
APU0400709112,2018,M04,2018 Apr,2.964
APU0400709112,2018,M05,2018 May,2.941
APU0400709112,2018,M06,2018 Jun,2.914
APU0400709112,2018,M07,2018 Jul,2.866
APU0400709112,2018,M08,2018 Aug,2.858
APU0400709112,2018,M09,2018 Sep,2.928
APU0400709112,2018,M10,2018 Oct,2.999
APU0400709112,2018,M11,2018 Nov,2.902
APU0400709112,2018,M12,2018 Dec,2.930
APU0400709112,2019,M01,2019 Jan,2.945
APU0400709112,2019,M02,2019 Feb,2.975
APU0400709112,2019,M03,2019 Mar,3.016
APU0400709112,2019,M04,2019 Apr,3.009
APU0400709112,2019,M05,2019 May,2.985
APU0400709112,2019,M06,2019 Jun,3.057
APU0400709112,2019,M07,2019 Jul,3.066
APU0400709112,2019,M08,2019 Aug,3.068
APU0400709112,2019,M09,2019 Sep,3.076
APU0400709112,2019,M10,2019 Oct,3.217
APU0400709112,2019,M11,2019 Nov,3.398
APU0400709112,2019,M12,2019 Dec,3.451
APU0400709112,2020,M01,2020 Jan,3.444
APU0400709112,2020,M02,2020 Feb,3.434
APU0400709112,2020,M03,2020 Mar,3.507
APU0400709112,2020,M04,2020 Apr,3.503
APU0400709112,2020,M05,2020 May,3.294
APU0400709112,2020,M06,2020 Jun,3.396
APU0400709112,2020,M07,2020 Jul,3.494
APU0400709112,2020,M08,2020 Aug,3.540
APU0400709112,2020,M09,2020 Sep,3.609
APU0400709112,2020,M10,2020 Oct,3.466
APU0400709112,2020,M11,2020 Nov,3.535
APU0400709112,2020,M12,2020 Dec,3.603
APU0400709112,2021,M01,2021 Jan,3.552
APU0400709112,2021,M02,2021 Feb,3.444
APU0400709112,2021,M03,2021 Mar,3.392
APU0400709112,2021,M04,2021 Apr,3.616
APU0400709112,2021,M05,2021 May,3.593
APU0400709112,2021,M06,2021 Jun,3.541
APU0400709112,2021,M07,2021 Jul,3.611
APU0400709112,2021,M08,2021 Aug,3.555
APU0400709112,2021,M09,2021 Sep,3.632
APU0400709112,2021,M10,2021 Oct,3.861
APU0400709112,2021,M11,2021 Nov,3.913
APU0400709112,2021,M12,2021 Dec,3.924
APU0400709112,2022,M01,2022 Jan,3.979
APU0400709112,2022,M02,2022 Feb,4.109
APU0400709112,2022,M03,2022 Mar,4.203
APU0400709112,2022,M04,2022 Apr,4.189
APU0400709112,2022,M05,2022 May,4.376
APU0400709112,2022,M06,2022 Jun,4.331
APU0400709112,2022,M07,2022 Jul,4.383
APU0400709112,2022,M08,2022 Aug,4.369
APU0400709112,2022,M09,2022 Sep,4.378
APU0400709112,2022,M10,2022 Oct,4.277
APU0400709112,2022,M11,2022 Nov,4.249
APU0400709112,2022,M12,2022 Dec,4.269
APU0400709112,2023,M01,2023 Jan,4.218
APU0400709112,2023,M02,2023 Feb,4.142
APU0400709112,2023,M03,2023 Mar,4.035
APU0400709112,2023,M04,2023 Apr,3.997
APU0400709112,2023,M05,2023 May,4.066
APU0400709112,2023,M06,2023 Jun,3.993
APU0400709112,2023,M07,2023 Jul,3.952
APU0400709112,2023,M08,2023 Aug,3.937
APU0400709112,2023,M09,2023 Sep,3.933
APU0400709112,2023,M10,2023 Oct,3.997
APU0400709112,2023,M11,2023 Nov,3.971
APU0400709112,2023,M12,2023 Dec,3.974
APU0400709112,2024,M01,2024 Jan,3.955
APU0400709112,2024,M02,2024 Feb,3.906
APU0400709112,2024,M03,2024 Mar,3.877
APU0400709112,2024,M04,2024 Apr,3.757
APU0400709112,2024,M05,2024 May,3.800
APU0400709112,2024,M06,2024 Jun,3.911
APU0400709112,2024,M07,2024 Jul,3.962
APU0400709112,2024,M08,2024 Aug,4.018
APU0400709112,2024,M09,2024 Sep,3.979
APU0400709112,2024,M10,2024 Oct,3.976
APU0400709112,2024,M11,2024 Nov,4.233
APU0400709112,2024,M12,2024 Dec,4.237
