"State","Year","avg_cost_per_meal","counties","Price","Region"
"Alaska",2015,3.41,1,3733.95,"Other"
"Alaska",2016,3.44,1,3766.8,"Other"
"Alaska",2017,3.37,1,3690.15,"Other"
"Alaska",2018,3.6,1,3942,"Other"
"Alaska",2019,3.98655172413793,29,4365.27413793103,"Other"
"Alaska",2020,4.14033333333333,30,4533.665,"Other"
"Alaska",2021,4.66233333333333,30,5105.255,"Other"
"Alaska",2022,5.10566666666667,30,5590.705,"Other"
"Alabama",2015,2.92,1,3197.4,"Other"
"Alabama",2016,2.97,1,3252.15,"Other"
"Alabama",2017,2.98,1,3263.1,"Other"
"Alabama",2018,3.02,1,3306.9,"Other"
"Alabama",2019,3.13402985074627,67,3431.76268656716,"Other"
"Alabama",2020,3.24537313432836,67,3553.68358208955,"Other"
"Alabama",2021,3.57134328358209,67,3910.62089552239,"Other"
"Alabama",2022,4.00268656716418,67,4382.94179104478,"Other"
"Arkansas",2015,2.72,1,2978.4,"Other"
"Arkansas",2016,2.8,1,3066,"Other"
"Arkansas",2017,2.79,1,3055.05,"Other"
"Arkansas",2018,2.77,1,3033.15,"Other"
"Arkansas",2019,2.87373333333333,75,3146.738,"Other"
"Arkansas",2020,2.97253333333333,75,3254.924,"Other"
"Arkansas",2021,3.32826666666667,75,3644.452,"Other"
"Arkansas",2022,3.6976,75,4048.872,"Other"
"Arizona",2015,2.81,1,3076.95,"Other"
"Arizona",2016,2.87,1,3142.65,"Other"
"Arizona",2017,2.89,1,3164.55,"Other"
"Arizona",2018,2.93,1,3208.35,"Other"
"Arizona",2019,3.13133333333333,15,3428.81,"Other"
"Arizona",2020,3.21066666666667,15,3515.68,"Other"
"Arizona",2021,3.52133333333333,15,3855.86,"Other"
"Arizona",2022,3.88266666666667,15,4251.52,"Other"
"California",2015,3.14,1,3438.3,"Other"
"California",2016,3.16,1,3460.2,"Other"
"California",2017,3.2,1,3504,"Other"
"California",2018,3.28,1,3591.6,"Other"
"California",2019,3.56810344827586,58,3907.07327586207,"Other"
"California",2020,3.82793103448276,58,4191.58448275862,"Other"
"California",2021,4.12965517241379,58,4521.9724137931,"Other"
"California",2022,4.52448275862069,58,4954.30862068966,"Other"
"Colorado",2015,3.09,1,3383.55,"Other"
"Colorado",2016,3.19,1,3493.05,"Other"
"Colorado",2017,3.24,1,3547.8,"Other"
"Colorado",2018,3.29,1,3602.55,"Other"
"Colorado",2019,3.456875,64,3785.278125,"Other"
"Colorado",2020,3.58921875,64,3930.19453125,"Other"
"Colorado",2021,3.931875,64,4305.403125,"Other"
"Colorado",2022,4.35171875,64,4765.13203125,"Other"
"Connecticut",2015,3.12,1,3416.4,"Other"
"Connecticut",2016,3.19,1,3493.05,"Other"
"Connecticut",2017,3.27,1,3580.65,"Other"
"Connecticut",2018,3.38,1,3701.1,"Other"
"Connecticut",2019,3.65,8,3996.75,"Other"
"Connecticut",2020,3.90625,8,4277.34375,"Other"
"Connecticut",2021,4.165,8,4560.675,"Other"
"Connecticut",2022,4.56111111111111,9,4994.41666666667,"Other"
"District of Columbia",2015,3.61,1,3952.95,"Other"
"District of Columbia",2016,3.67,1,4018.65,"Other"
"District of Columbia",2017,3.95,1,4325.25,"Other"
"District of Columbia",2018,4.08,1,4467.6,"Other"
"District of Columbia",2019,4.35,1,4763.25,"Other"
"District of Columbia",2020,4.49,1,4916.55,"Other"
"District of Columbia",2021,4.74,1,5190.3,"Other"
"District of Columbia",2022,5.25,1,5748.75,"Other"
"Delaware",2015,3.04,1,3328.8,"Other"
"Delaware",2016,3.12,1,3416.4,"Other"
"Delaware",2017,3.12,1,3416.4,"Other"
"Delaware",2018,3.18,1,3482.1,"Other"
"Delaware",2019,3.34,3,3657.3,"Other"
"Delaware",2020,3.52,3,3854.4,"Other"
"Delaware",2021,3.80333333333333,3,4164.65,"Other"
"Delaware",2022,4.2,3,4599,"Other"
"Florida",2015,3.11,1,3405.45,"Other"
"Florida",2016,3.17,1,3471.15,"Other"
"Florida",2017,3.22,1,3525.9,"Other"
"Florida",2018,3.29,1,3602.55,"Other"
"Florida",2019,3.36686567164179,67,3686.71791044776,"Other"
"Florida",2020,3.47791044776119,67,3808.31194029851,"Other"
"Florida",2021,3.8065671641791,67,4168.19104477612,"Other"
"Florida",2022,4.18820895522388,67,4586.08880597015,"Other"
"Georgia",2015,2.88,1,3153.6,"Other"
"Georgia",2016,2.93,1,3208.35,"Other"
"Georgia",2017,2.93,1,3208.35,"Other"
"Georgia",2018,2.99,1,3274.05,"Other"
"Georgia",2019,3.10540880503145,159,3400.42264150943,"Other"
"Georgia",2020,3.24949685534591,159,3558.19905660377,"Other"
"Georgia",2021,3.51823899371069,159,3852.47169811321,"Other"
"Georgia",2022,3.96471698113208,159,4341.36509433962,"Other"
