"State","Year","Price","Region"
"Alaska","2015",16897.20066,"Other"
"Alaska","2016",17292.691122,"Other"
"Alaska","2017",17976.8069405,"Other"
"Alaska","2018",19301.2977895,"Other"
"Alaska","2019",19215.0651035,"Other"
"Alaska","2020",18485.3164395,"Other"
"Alaska","2021",18750.8795765,"Other"
"Alaska","2022",24865.8892405,"Other"
"Alabama","2015",8556.70315735,"Other"
"Alabama","2016",8663.94178488333,"Other"
"Alabama","2017",9152.49540883333,"Other"
"Alabama","2018",9959.91367459167,"Other"
"Alabama","2019",9941.92112531667,"Other"
"Alabama","2020",9843.639428425,"Other"
"Alabama","2021",10802.3407229,"Other"
"Alabama","2022",14913.8987275917,"Other"
"Arkansas","2015",7961.40519458333,"Other"
"Arkansas","2016",8142.79836978333,"Other"
"Arkansas","2017",8639.92715571667,"Other"
"Arkansas","2018",9387.63872611667,"Other"
"Arkansas","2019",9255.08874325,"Other"
"Arkansas","2020",9084.84205411667,"Other"
"Arkansas","2021",10002.0807507,"Other"
"Arkansas","2022",13881.31199205,"Other"
"Arizona","2015",11497.4518388833,"Other"
"Arizona","2016",11907.2557043667,"Other"
"Arizona","2017",12980.90173705,"Other"
"Arizona","2018",14449.2770497333,"Other"
"Arizona","2019",14526.9577841333,"Other"
"Arizona","2020",14510.0379308833,"Other"
"Arizona","2021",16869.7518511167,"Other"
"Arizona","2022",24837.9068748333,"Other"
"California","2015",22573.2503536769,"Other"
"California","2016",23863.7724241077,"Other"
"California","2017",26209.9903525,"Other"
"California","2018",29855.0737511923,"Other"
"California","2019",29208.2038659231,"Other"
"California","2020",28247.5025655769,"Other"
"California","2021",31576.8486180769,"Other"
"California","2022",44330.4414297308,"Other"
"Colorado","2015",15732.1900117286,"Other"
"Colorado","2016",17073.9308435,"Other"
"Colorado","2017",19097.7210952857,"Other"
"Colorado","2018",21492.5395204857,"Other"
"Colorado","2019",21324.1832503857,"Other"
"Colorado","2020",21066.0282872857,"Other"
"Colorado","2021",23401.3798061429,"Other"
"Colorado","2022",33555.669676,"Other"
"Connecticut","2015",19640.286862,"Other"
"Connecticut","2016",19566.3153545,"Other"
"Connecticut","2017",20407.575513,"Other"
"Connecticut","2018",21675.4627285,"Other"
"Connecticut","2019",20933.4284735,"Other"
"Connecticut","2020",20231.9507415,"Other"
"Connecticut","2021",22085.92332075,"Other"
"Connecticut","2022",28807.688278,"Other"
"District of Columbia","2015",23843.306723,"Other"
"District of Columbia","2016",24076.061569,"Other"
"District of Columbia","2017",25544.56697,"Other"
"District of Columbia","2018",27658.324027,"Other"
"District of Columbia","2019",27090.177556,"Other"
"District of Columbia","2020",26294.217654,"Other"
"District of Columbia","2021",28195.362465,"Other"
"District of Columbia","2022",37550.085024,"Other"
"Delaware","2015",12795.9604064,"Other"
"Delaware","2016",12951.3320973,"Other"
"Delaware","2017",13837.829815,"Other"
"Delaware","2018",15018.0522065,"Other"
"Delaware","2019",14823.3794475,"Other"
"Delaware","2020",14283.8987735,"Other"
"Delaware","2021",16094.3572465,"Other"
"Delaware","2022",22881.0232285,"Other"
"Florida","2015",12077.3704257636,"Other"
"Florida","2016",12702.5675650273,"Other"
"Florida","2017",13849.5632715182,"Other"
"Florida","2018",15345.8521740818,"Other"
"Florida","2019",15252.0195240364,"Other"
"Florida","2020",15031.7291451909,"Other"
"Florida","2021",16797.1437663955,"Other"
"Florida","2022",25201.6386222727,"Other"
"Georgia","2015",8984.42475975714,"Other"
"Georgia","2016",9145.87953505714,"Other"
"Georgia","2017",9776.21838755,"Other"
"Georgia","2018",10821.8970724929,"Other"
"Georgia","2019",10953.3794679214,"Other"
"Georgia","2020",10830.8346692786,"Other"
"Georgia","2021",11948.6977006857,"Other"
"Georgia","2022",16897.8517044071,"Other"
"Hawaii","2015",30485.1089455,"Other"
"Hawaii","2016",31157.895046,"Other"
"Hawaii","2017",34748.192437,"Other"
"Hawaii","2018",38386.853878,"Other"
"Hawaii","2019",36777.1466015,"Other"
"Hawaii","2020",35306.156976,"Other"
"Hawaii","2021",38317.483111,"Other"
"Hawaii","2022",57497.1057305,"Other"
"Iowa","2015",10999.7314729714,"Other"
"Iowa","2016",11164.3763507857,"Other"
"Iowa","2017",11918.8603531286,"Other"
"Iowa","2018",12830.8303044429,"Other"
"Iowa","2019",12783.4603798143,"Other"
"Iowa","2020",12405.9727609571,"Other"
"Iowa","2021",12929.4173695714,"Other"
"Iowa","2022",16838.5682574286,"Other"
"Idaho","2015",10879.9233906333,"Other"
"Idaho","2016",11293.39963125,"Other"
"Idaho","2017",12667.0969055,"Other"
"Idaho","2018",14503.34724935,"Other"
"Idaho","2019",15014.9464644667,"Other"
"Idaho","2020",15388.3641106667,"Other"
"Idaho","2021",18950.9141868333,"Other"
"Idaho","2022",27335.8261868333,"Other"
"Illinois","2015",9694.65016102727,"Other"
"Illinois","2016",9826.91895490909,"Other"
"Illinois","2017",10238.4363921545,"Other"
"Illinois","2018",10862.2806177,"Other"
"Illinois","2019",10613.6202170091,"Other"
"Illinois","2020",10314.5098599455,"Other"
"Illinois","2021",10843.8859165727,"Other"
"Illinois","2022",13733.9939890636,"Other"
"Indiana","2015",8556.64537045,"Other"
"Indiana","2016",7793.358267625,"Other"
"Indiana","2017",8419.09385921667,"Other"
"Indiana","2018",9346.19003409167,"Other"
"Indiana","2019",9435.053007475,"Other"
"Indiana","2020",9352.01235809167,"Other"
"Indiana","2021",10319.0289900083,"Other"
"Indiana","2022",14141.730165425,"Other"
"Kansas","2015",10254.214114375,"Other"
"Kansas","2016",10192.195164025,"Other"
"Kansas","2017",11044.2265225,"Other"
"Kansas","2018",12083.332408575,"Other"
"Kansas","2019",11963.35594755,"Other"
"Kansas","2020",11866.066550925,"Other"
"Kansas","2021",12782.091972275,"Other"
"Kansas","2022",16869.790776,"Other"
"Kentucky","2015",8203.24522331667,"Other"
"Kentucky","2016",8320.87651308333,"Other"
"Kentucky","2017",9051.750961,"Other"
"Kentucky","2018",9929.88748991667,"Other"
"Kentucky","2019",10008.57871495,"Other"
"Kentucky","2020",9809.450011,"Other"
"Kentucky","2021",10840.2688516333,"Other"
"Kentucky","2022",14670.6418613167,"Other"
"Louisiana","2015",10402.0757000125,"Other"
"Louisiana","2016",10665.4324377361,"Other"
"Louisiana","2017",11032.1652072222,"Other"
"Louisiana","2018",11775.0829080222,"Other"
"Louisiana","2019",11446.1917779667,"Other"
"Louisiana","2020",10989.6848042111,"Other"
"Louisiana","2021",11161.4834609444,"Other"
"Louisiana","2022",14248.4321383889,"Other"
"Massachusetts","2015",18478.843692,"Other"
"Massachusetts","2016",18947.4106856,"Other"
"Massachusetts","2017",20386.3286144,"Other"
"Massachusetts","2018",22411.4700766,"Other"
"Massachusetts","2019",21976.4178978,"Other"
"Massachusetts","2020",21471.8130812,"Other"
"Massachusetts","2021",23856.1846482,"Other"
"Massachusetts","2022",32466.437174,"Other"
"Maryland","2015",13299.556857725,"Other"
"Maryland","2016",13127.724038925,"Other"
"Maryland","2017",13757.660974875,"Other"
"Maryland","2018",14829.423377875,"Other"
"Maryland","2019",14656.9539644,"Other"
"Maryland","2020",14299.180118825,"Other"
"Maryland","2021",15496.1345978,"Other"
"Maryland","2022",20458.11613045,"Other"
"Maine","2015",12194.2665946333,"Other"
