RegionID,SizeRank,State,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025
9,0,California,405626.1568,408073.5083,410076.6323,412015.4251,414207.6248,416454.1744,418224.4475,419410.8553,420425.6365,421676.5319,422720.543,423672.7997,426827.5967,432134.8552,438163.6162,442718.7789,445740.4122,448410.5517,449387.1225,449079.71,447603.9541,447268.4784,448333.1459,450903.0373,455764.6312,462162.2111,469110.3467,474784.7037,478945.0592,482510.6139,484246.4859,485746.829,487326.5399,490761.8308,494571.2235,499048.3659,504103.9631,509679.7085,514762.3845,518943.0154,522767.9151,525881.2985,528713.7624,531752.5217,535181.065,538827.9898,541406.9428,542918.0126,542446.7414,540826.2719,538990.2853,537936.5231,537305.6839,536916.6681,537325.4677,539035.1832,541648.547,544729.1418,548083.289,551559.4728,554398.6662,556681.9495,558881.7858,560913.0945,561169.6484,559954.2509,559797.4095,563065.9395,570322.1992,579639.7384,590489.5236,601311.8025,610298.4682,617987.3278,624952.7987,634071.5256,644990.647,656714.1547,667310.1119,674640.9799,679611.9539,684049.7644,689901.1113,697114.4971,707174.3734,720083.4111,735649.6351,749805.2234,760475.4516,766148.6309,766458.6766,761781.6798,754301.5064,747567.5218,742275.5517,737739.3848,730682.0698,723426.5867,718089.4742,717501.565,720495.9281,725739.6804,732808.3023,740806.7418,748450.0889,754665.0484,759112.5223,761944.1162,762480.7559,762326.4768,763822.8965,767720.6229,772252.1567,774747.9977,776763.5117,778549.5817,780868.2926,782474.5671,784265.2787,786076.8282,786243.0589,784840.2354
54,1,Texas,158286.9386,159522.176,160729.789,161859.8734,162941.0924,164018.0875,165137.8742,166306.1027,167497.2994,168697.5528,169754.5437,170850.7767,172024.6707,173249.2085,174152.1964,175011.3858,175840.5285,176828.8667,177652.7493,178453.8409,179369.7953,180379.8598,181516.2792,182608.2715,183682.6665,184641.9185,185664.8402,186797.178,187816.7784,188735.7389,189447.0397,190201.0985,190966.7631,191879.8937,192885.4659,194001.9248,195109.0568,196116.4325,197296.4032,198400.4294,199551.8199,200426.233,201425.7391,202324.906,203212.1547,203888.8339,204656.1654,205509.3759,206354.7095,207099.7002,207744.2298,208288.5645,208777.6903,209252.1964,209755.6487,210359.0947,211018.4936,211901.2244,212946.4117,214084.4787,215239.8941,216357.6902,217447.8355,218233.7236,218514.3425,218682.304,219338.882,220765.1602,222918.2384,225348.2259,228119.5448,230804.5681,233623.3151,236625.7669,240025.1799,243797.7394,248115.0516,252734.3151,256972.0753,260202.4493,262563.9298,265013.5493,268185.1348,271830.7785,276627.1373,281991.5238,288057.372,293942.6171,299352.1061,304073.6603,306944.5891,307845.848,307181.4306,306231.4357,305229.3446,303941.7219,302242.7869,300627.1904,299548.8761,299176.7707,299498.2784,300332.4714,301083.7383,301666.7302,301704.8738,301473.3625,300982.035,300375.144,300175.7058,300436.6064,301308.6095,302164.2822,302495.2559,302263.9172,301704.0247,301289.4551,301030.7947,300773.3254,300405.1312,300133.8177,299959.3542,299786.562
14,2,Florida,171724.0053,172943.6503,174020.5334,175102.0912,176327.161,177583.2703,179015.4676,180531.6906,182181.0574,183904.5666,185566.4159,187109.3411,188531.5525,189879.6708,191118.8965,192431.5303,193730.4949,195119.1015,196338.0185,197600.967,199019.6633,200597.8659,202042.4966,203240.5769,204290.3564,205465.2763,206836.9063,208294.1844,209570.5112,210886.7861,212137.3638,213549.2915,214916.8349,216383.3409,217892.5125,219472.5342,220877.8499,222112.0769,223353.6139,224584.0286,225860.1184,226935.0643,228328.5464,229689.8247,231072.1572,232209.7416,233417.7288,234723.2405,235901.3806,236958.5466,237673.4148,238189.594,238467.0264,238868.9686,239388.6857,240097.4713,240802.0904,241735.8363,243012.9845,244586.9638,246493.9031,248290.4904,249868.9335,250829.0348,251093.8146,251226.5836,251793.6852,253356.9232,255864.1282,258830.9487,262314.3067,265776.4645,269359.7405,272929.6882,276744.4693,280986.7091,286120.4945,292405.5582,298841.7636,304567.6809,309207.2956,313775.4038,318885.6205,324409.475,331343.8262,339409.3464,348929.2486,358940.311,368534.8262,377063.1681,382849.7445,385778.6914,386153.2125,385674.6523,384973.9574,384135.0391,382798.6577,381667.0447,381206.7885,381648.3697,382693.2025,384354.8636,386044.7319,387719.3738,388883.9906,389939.2179,390864.4254,391690.1508,392390.5104,393112.7479,393970.4334,394645.5643,394769.167,393988.9743,392940.249,391931.6915,391081.8316,390139.984,388947.1054,387859.9568,386921.8102,385850.72
43,3,New York,268578.8939,268822.3264,269069.5069,269518.1061,270323.6713,271206.6002,272305.7365,273624.1806,275367.853,277253.667,278794.711,280043.6316,280927.3508,281617.7349,281930.2079,282488.6365,283345.3869,284674.0894,285766.4046,286548.1234,287149.6892,287987.3142,289281.4066,291068.5056,292706.7741,294436.1578,295962.6179,298019.3932,299675.8772,301130.4816,302203.3754,303531.4943,304879.8089,306564.7558,307931.2183,309456.48,310834.3005,311937.8904,313375.6519,314983.1983,317322.095,319432.8096,321816.107,324140.3671,326524.7333,328104.0886,329227.5241,329886.6042,330958.4474,332468.2106,334104.9366,335481.9043,336268.5613,337228.5933,338207.3982,339378.4309,340018.5891,340740.3987,342181.9605,344015.4979,346275.6886,347998.7961,349584.7547,350902.0428,352048.1169,352667.6757,352843.1502,353245.4938,355273.5268,358597.6812,362990.7789,367836.5691,372423.6865,377210.4226,381683.0891,385838.7313,389993.1213,393884.0662,397321.6563,399417.3893,400453.4458,401950.1958,404200.4073,406860.2261,409993.4769,413792.008,418861.6953,424048.9364,428783.3914,433313.4167,436368.9209,437284.1921,435734.4539,433927.1094,432389.8147,430825.8976,429189.0347,427829.1335,427922.1955,429396.3683,431809.0797,434644.7584,437651.6251,440707.5412,443300.8435,445139.1989,446674.4169,448355.5853,450137.3827,452337.8437,455298.1753,458916.7338,462242.7253,464917.1041,467417.4856,470476.9286,473305.2581,475694.5469,477503.8221,479237.2611,480352.5906,481516.9788
47,4,Pennsylvania,154115.6891,154166.5429,154353.6095,154764.3777,155344.4259,155861.8765,156477.9364,157185.7212,157878.6956,158401.7047,158666.1443,159017.7166,159495.9009,159985.8103,160026.2348,160019.1641,160212.683,160706.096,161091.5888,161478.4649,161966.5454,162587.6567,163156.079,163797.497,164358.5791,164855.8672,165236.5114,165678.6437,166142.5321,166629.1641,167139.2384,167698.5249,168323.7443,169084.0511,169986.0527,170890.6102,171699.0071,172404.6983,173381.7821,174309.8845,175047.0531,175411.2045,175791.5229,176229.1047,176647.441,176889.9763,177163.0998,177530.8305,178184.7451,179168.2715,180202.8152,181038.5102,181587.4469,182186.4804,182861.9138,183570.8873,184214.3504,185025.1819,186057.3243,187176.6949,188281.8999,189440.2318,190683.2797,192046.3875,192873.294,193215.1763,193512.5834,194507.7602,196625.0057,199284.4706,202466.5111,205461.909,208219.7393,210911.7437,213713.8856,216587.5869,219473.8937,222499.8578,224694.9403,225547.5392,224807.7735,224217.6121,224322.942,225270.5028,227564.6776,230930.2206,235141.4412,238958.3602,241907.0501,244209.4327,245094.9092,244888.1674,243943.1956,243649.1227,243845.0922,244050.2861,243871.2397,243486.8028,243638.8393,244441.8682,245950.4525,247739.0853,249479.375,251147.0486,252448.2043,253329.1747,253858.5142,254292.2812,254791.2859,255608.2519,256909.4925,258550.7686,260012.3919,260882.465,261214.2992,261460.0312,261840.1107,262570.4707,263442.0273,264609.2494,265656.196,266551.3237
21,5,Illinois,158431.2096,158451.1519,158681.8467,159070.6279,159809.8062,160416.1643,161064.6275,161643.4875,162315.3948,163250.2626,164140.3784,165004.0866,165834.0156,166728.9585,167346.4291,167915.6577,168471.6681,169152.8541,169460.3923,169658.8572,169827.7895,170351.7255,171010.2772,171941.8535,172890.5009,173928.6981,175038.3331,175918.4124,176562.568,176757.145,176904.1635,177093.4053,177696.9575,178526.6798,179556.8505,180584.9724,181679.5292,182631.7281,183766.4346,184613.6093,185271.6542,185229.5241,185285.2945,185216.4186,185357.7025,185334.9598,185489.8703,185869.2482,186669.1473,187841.2306,188943.577,189772.7355,190142.6127,190332.3624,190229.3183,190128.2506,189868.5192,189938.3599,190259.2722,190951.1058,191925.8269,193061.4138,194171.9909,194972.9227,195076.6773,194778.3788,194500.0445,194989.3522,196545.8643,198653.7299,201144.9835,203479.0592,205791.2539,208315.1482,210888.8944,213313.8797,215494.2816,217766.8138,219700.9367,220827.7583,220976.8204,221134.575,221819.5476,223217.1247,225672.0326,229068.171,233152.5864,236971.9497,239540.3781,241284.7263,241642.3894,241173.9902,239902.1486,239050.5474,238574.1392,238315.2375,237803.9838,237581.6713,237972.0866,239307.1972,241151.1748,243261.435,245234.6477,247175.2577,248659.4927,249853.4816,250698.3944,251328.4128,251788.6829,252814.3151,254673.9872,257074.6884,258825.707,259929.9426,260562.7448,261364.2216,262128.2868,262985.4165,263906.6744,265018.1705,266141.1194,267228.58
44,6,Ohio,115853.9445,116214.5745,116632.3024,117158.528,117823.7571,118463.9685,119128.6608,119828.4702,120487.1687,121102.3831,121474.913,121941.0574,122568.6004,123356.1879,123842.3359,124144.8247,124339.903,124725.665,124973.8869,125243.3689,125568.967,126091.2713,126656.189,127258.6751,127834.1792,128353.6843,128874.2315,129449.4728,130032.5867,130621.7819,131228.8441,131872.8926,132451.7291,133064.5,133778.1305,134520.272,135149.476,135682.3494,136494.9814,137388.5203,138338.375,138975.1064,139678.4151,140348.7212,141123.8116,141731.3143,142447.9101,143170.2144,144025.3871,144995.2642,145975.2611,146723.9148,147191.8554,147639.7476,148143.8342,148614.4787,149009.3028,149549.0177,150349.4822,151229.0389,152212.4979,153210.3668,154291.756,155272.6064,155900.3999,156339.3287,156975.7904,158287.3961,160371.6138,162927.2987,165740.2401,168379.463,170693.7164,172871.2967,175112.0359,177523.1522,180054.0261,182655.8916,184486.6098,185110.3892,184671.0885,184404.8172,184777.8505,185606.1781,187619.5079,190555.1408,194124.0352,197451.5895,200162.126,202654.5472,204047.7225,204534.0093,204146.8423,203874.8029,203792.4457,203684.248,203057.7157,202695.1714,202956.1988,204272.0599,206161.5516,208278.9845,210203.5834,211732.9774,212872.5568,213674.5765,214293.2327,214719.9653,215130.2379,215907.0913,217447.2434,219422.764,221207.901,222413.4153,223215.6879,223788.388,224187.7025,224663.9617,225286.9311,226489.1374,227785.9603,228988.1657
16,7,Georgia,146862.6915,147423.6603,148053.4044,148841.6889,149711.3185,150584.1065,151544.6845,152541.3382,153597.1652,154608.6678,155511.9573,156420.9699,157426.8226,158415.6869,159117.7734,159839.6998,160540.6313,161300.047,161718.7906,162071.9577,162576.0553,163338.7298,164267.2693,165258.9374,166204.9007,167196.2184,168206.1396,169265.1064,170174.0587,171017.278,171926.7782,172905.3997,173964.872,175095.5769,176432.6493,177968.6025,179492.0189,180932.5108,182368.1548,183634.4195,184846.3175,185767.938,186963.4778,188183.7547,189636.3494,190854.6123,192172.5067,193528.8477,194971.6858,196290.2897,197461.0448,198424.0725,199214.3957,199895.4898,200585.6884,201384.8921,202124.2169,203071.6697,204235.3787,205669.9009,207224.8398,208774.0293,210242.2632,211406.1193,211975.7675,212343.289,213069.7628,214739.1107,217408.2457,220696.967,224382.6916,228049.1075,231721.8164,235546.2687,239555.8498,243745.6692,248266.8436,253167.2176,257614.8758,261126.8032,263875.0514,267088.0218,271170.1307,275846.2195,281838.3838,288495.3642,295452.3234,301719.6971,307053.7156,311707.3087,314494.0795,315561.9831,315116.9647,314379.9869,313472.4357,312362.8806,311054.7766,310198.2316,310306.5097,311225.0014,312724.8305,314407.767,316097.2302,317772.2038,319234.9137,320432.3616,321315.3221,321894.7799,322327.5972,322991.1177,324288.8177,325905.7576,327226.7595,327823.1735,328044.7993,328230.6851,328289.1194,328083.4282,327503.7761,327074.595,326715.7879,326316.0215
36,8,North Carolina,155939.7203,156489.6537,157023.504,157589.0862,158213.581,158839.6878,159503.6831,160193.5554,160940.31,161747.174,162446.2679,163245.3273,164153.6002,165075.845,165640.5858,166099.368,166512.4067,167130.6858,167639.2323,168314.83,169150.6901,170202.0838,171232.4737,172208.5886,173064.6722,173824.6323,174549.6435,175440.4893,176310.8927,177213.7167,178062.2212,178990.1048,179915.4624,180902.5468,182035.9054,183234.294,184388.9159,185435.2764,186579.582,187588.5193,188533.9079,189285.3935,190224.926,191194.8843,192237.409,193107.0766,194089.1567,195128.2355,196272.2057,197343.8052,198446.8151,199445.4373,200313.064,201035.0075,201757.46,202556.3043,203321.345,204339.9014,205630.365,207051.4668,208377.7226,209673.3465,211120.5866,212513.7728,213434.6953,214112.4614,215127.6032,217062.7567,219976.0888,223424.9302,227131.0225,230803.4492,234291.7572,237886.3221,241559.7808,245548.7497,250035.4513,255094.2683,259795.0833,263264.1119,265541.2452,267699.328,270494.4362,273632.0516,278149.1761,283659.1033,290293.4488,297044.1279,303333.84,308929.4737,312443.7016,313874.9192,313530.5643,312934.3154,312238.4389,311340.1805,309960.6913,308963.7261,308928.3993,309954.4915,311558.4348,313459.2394,315245.0405,317000.5307,318441.4759,319569.5534,320534.4984,321024.9078,321307.9288,321716.3856,323048.9048,324811.2588,326450.7706,327118.4391,327264.7647,327065.3153,326953.1635,326970.2902,326944.4668,327362.9115,327797.9255,328100.9276
30,9,Michigan,119044.6439,119594.4662,120354.0919,121280.9662,122338.7362,123278.9318,124072.1068,124807.8169,125539.9297,126295.5942,126920.3514,127593.2696,128454.9669,129366.6516,129999.4592,130645.803,131344.3748,132244.2367,132761.8126,133225.3908,133699.3152,134387.2478,135183.1612,136095.3371,137086.581,138065.7665,139087.6775,140073.5744,141048.242,141983.8847,142949.9112,143775.5538,144511.1746,145205.4781,146094.5317,147046.5782,148102.8363,149096.9375,150393.0055,151573.699,152752.2919,153529.1488,154474.7072,155137.5964,155761.813,155862.6523,156207.3039,156777.494,157866.3366,159211.6297,160667.9878,161954.1797,162949.4586,163678.9739,164042.0108,164185.6801,164214.8436,164677.9291,165473.9917,166289.841,167185.6288,168327.8372,169718.1347,171026.0548,171661.6607,171880.1792,172121.4277,173065.61,175079.7066,177551.1786,180364.3853,182929.2695,185566.2857,188451.1806,191517.0072,194666.273,197892.5003,201234.2214,203748.2016,204837.4521,204649.9201,204390.2736,204719.4852,205544.8334,207629.9085,210846.0508,214904.3725,218832.9619,221813.7931,224080.7398,224639.111,223993.4329,222498.5811,221491.2383,220749.7748,220219.5968,219825.292,219830.921,220416.4885,221536.2476,223162.2339,224819.2084,226107.7814,227269.5216,228172.2898,228890.8926,229319.2376,229573.7866,229902.9127,230804.0486,232610.0854,234828.8381,236421.0745,237355.5472,237648.7006,237935.2225,238180.4341,238760.7244,239384.3225,240302.3891,241293.1699,242275.5874
