State,year,avg_price,Region
Alabama,2016,136475.6964,South
Alabama,2017,140432.9387,South
Alabama,2018,146031.7971,South
Alabama,2019,154145.5776,South
Alabama,2020,166552.9416,South
Alabama,2021,189393.2571,South
Alabama,2022,213109.3833,South
Alaska,2015,272547.7474,West
Alaska,2016,279275.5804,West
Alaska,2017,281510.5416,West
Alaska,2018,285714.1055,West
Alaska,2019,303063.0613,West
Alaska,2020,314108.15,West
Alaska,2021,330343.6421,West
Alaska,2022,352881.1825,West
Arizona,2015,200704.8744,West
Arizona,2016,217446.8898,West
Arizona,2017,232258.474,West
Arizona,2018,249998.841,West
Arizona,2019,267033.5603,West
Arizona,2020,293056.9099,West
Arizona,2021,362421.359,West
Arizona,2022,437702.5872,West
Arkansas,2015,123255.0673,South
Arkansas,2016,129188.2667,South
Arkansas,2017,133483.6698,South
Arkansas,2018,138486.1045,South
Arkansas,2019,143929.1158,South
Arkansas,2020,152635.0491,South
Arkansas,2021,172270.978,South
Arkansas,2022,192442.8007,South
California,2015,416048.6946,West
California,2016,443880.9383,West
California,2017,480414.9034,West
California,2018,526244.8816,West
California,2019,541400.2729,West
California,2020,568052.1673,West
California,2021,656803.6117,West
California,2022,745788.4206,West
Colorado,2015,285087.6775,West
Colorado,2016,317681.8264,West
Colorado,2017,346718.6605,West
Colorado,2018,372612.5968,West
Colorado,2019,390556.7023,West
Colorado,2020,412413.425,West
Colorado,2021,476444.4353,West
Colorado,2022,547566.634,West
Connecticut,2015,234773.5776,Northeast
Connecticut,2016,237615.2574,Northeast
Connecticut,2017,243257.0518,Northeast
Connecticut,2018,248890.1223,Northeast
Connecticut,2019,252082.2274,Northeast
Connecticut,2020,263397.7841,Northeast
Connecticut,2021,302731.8953,Northeast
Connecticut,2022,337278.6605,Northeast
Delaware,2015,230329.2515,South
Delaware,2016,240895.3562,South
Delaware,2017,250871.0512,South
Delaware,2018,257639.1173,South
Delaware,2019,264868.7804,South
Delaware,2020,274432.4216,South
Delaware,2021,314929.119,South
Delaware,2022,351027.0526,South
District of Columbia,2015,484298.1897,Other
District of Columbia,2016,509862.073,Other
District of Columbia,2017,531085.9512,Other
District of Columbia,2018,559196.2723,Other
District of Columbia,2019,574915.2968,Other
District of Columbia,2020,599298.2771,Other
District of Columbia,2021,634203.6584,Other
District of Columbia,2022,646305.7122,Other
Florida,2015,178834.1042,South
Florida,2016,195804.2362,South
Florida,2017,211641.3249,South
Florida,2018,227763.6659,South
Florida,2019,239640.2469,South
Florida,2020,253811.6014,South
Florida,2021,295686.1583,South
Florida,2022,369482.1686,South
Georgia,2015,151308.4711,South
Georgia,2016,161322.7001,South
Georgia,2017,171696.465,South
Georgia,2018,186531.7423,South
Georgia,2019,200277.3938,South
Georgia,2020,215026.0161,South
Georgia,2021,254060.3973,South
Georgia,2022,305971.2603,South
Hawaii,2015,507586.6182,West
Hawaii,2016,537115.5772,West
Hawaii,2017,568126.7874,West
Hawaii,2018,596616.381,West
Hawaii,2019,607395.8022,West
Hawaii,2020,623746.8869,West
Hawaii,2021,698119.6579,West
Hawaii,2022,823079.3595,West
Idaho,2015,184310.9123,West
Idaho,2016,199715.6769,West
Idaho,2017,217824.7178,West
Idaho,2018,242975.1545,West
Idaho,2019,271677.2796,West
Idaho,2020,308777.6848,West
Idaho,2021,411559.7173,West
Idaho,2022,470275.9575,West
Illinois,2015,161023.2537,Midwest
Illinois,2016,168975.0399,Midwest
Illinois,2017,176788.2239,Midwest
Illinois,2018,184645.4978,Midwest
Illinois,2019,189589.7076,Midwest
Illinois,2020,196108.3537,Midwest
Illinois,2021,216603.9195,Midwest
Illinois,2022,237029.0247,Midwest
Indiana,2015,120059.488,Midwest
Indiana,2016,125808.7725,Midwest
Indiana,2017,132952.7435,Midwest
Indiana,2018,142476.0302,Midwest
Indiana,2019,152299.6294,Midwest
Indiana,2020,163963.2561,Midwest
Indiana,2021,188622.1168,Midwest
Indiana,2022,213981.4609,Midwest
Iowa,2015,130266.6953,Midwest
Iowa,2016,136529.0004,Midwest
Iowa,2017,140901.6245,Midwest
Iowa,2018,146738.4159,Midwest
Iowa,2019,154063.2282,Midwest
Iowa,2020,161462.1927,Midwest
Iowa,2021,176542.4881,Midwest
Iowa,2022,195289.0907,Midwest
Kansas,2015,123109.4219,Midwest
Kansas,2016,128505.0531,Midwest
Kansas,2017,133274.8848,Midwest
Kansas,2018,139802.3497,Midwest
Kansas,2019,146655.5298,Midwest
Kansas,2020,157793.7362,Midwest
Kansas,2021,177269.7489,Midwest
Kansas,2022,199187.9107,Midwest
Kentucky,2015,111198.5154,South
Kentucky,2016,116659.9607,South
Kentucky,2017,122692.8611,South
Kentucky,2018,130016.2072,South
Kentucky,2019,137360.4196,South
Kentucky,2020,147473.021,South
Kentucky,2021,166712.7839,South
Kentucky,2022,184864.8271,South
Louisiana,2015,162536.557,South
Louisiana,2016,168124.5671,South
Louisiana,2017,167350.3125,South
Louisiana,2018,169730.4566,South
Louisiana,2019,175315.2261,South
Louisiana,2020,183928.8574,South
Louisiana,2021,193366.0311,South
Louisiana,2022,203935.9785,South
Maine,2015,181643.8118,Northeast
Maine,2016,191043.0837,Northeast
Maine,2017,203693.4093,Northeast
Maine,2018,217210.7638,Northeast
Maine,2019,227844.7147,Northeast
Maine,2020,248367.8138,Northeast
Maine,2021,299934.591,Northeast
Maine,2022,345079.3426,Northeast
Maryland,2015,271214.2647,South
Maryland,2016,279115.3172,South
Maryland,2017,289172.6691,South
Maryland,2018,299360.1017,South
Maryland,2019,309718.3684,South
Maryland,2020,324366.1596,South
Maryland,2021,362497.7232,South
Maryland,2022,389734.4646,South
Massachusetts,2015,336265.4236,Northeast
Massachusetts,2016,357721.4994,Northeast
Massachusetts,2017,381556.2787,Northeast
Massachusetts,2018,405440.1497,Northeast
Massachusetts,2019,416846.9308,Northeast
Massachusetts,2020,438215.4864,Northeast
Massachusetts,2021,498998.115,Northeast
Massachusetts,2022,550464.5678,Northeast
Michigan,2015,123426.7421,Midwest
Michigan,2016,132283.9797,Midwest
Michigan,2017,142244.0795,Midwest
Michigan,2018,153305.7905,Midwest
Michigan,2019,162934.4052,Midwest
Michigan,2020,173409.2561,Midwest
Michigan,2021,198934.8029,Midwest
Michigan,2022,219308.2968,Midwest
Minnesota,2015,191675.6382,Midwest
Minnesota,2016,204449.0981,Midwest
Minnesota,2017,218687.3674,Midwest
Minnesota,2018,233504.6941,Midwest
Minnesota,2019,245768.7977,Midwest
Minnesota,2020,259666.4151,Midwest
Minnesota,2021,291351.5428,Midwest
Minnesota,2022,317134.3421,Midwest
Mississippi,2015,119997.8647,South
Mississippi,2016,125255.114,South
Mississippi,2017,127052.4807,South
Mississippi,2018,130071.664,South
Mississippi,2019,134687.2249,South
Mississippi,2020,141238.8999,South
Mississippi,2021,157609.8391,South
Mississippi,2022,173479.4624,South
Missouri,2015,130694.1124,Midwest
Missouri,2016,137878.7063,Midwest
Missouri,2017,145464.0777,Midwest
Missouri,2018,153672.5465,Midwest
Missouri,2019,161387.9547,Midwest
