"Series.ID","Year","Period","Label","Value","Month","date","Value_STL_Adjusted"
"CUURN200SAT",2019,"M01","2019 Jan",139.546,1,2019-01-01,143.461796014923
"CUURN200SAT",2019,"M02","2019 Feb",142.974,2,2019-02-01,146.132590240339
"CUURN200SAT",2019,"M03","2019 Mar",147.216,3,2019-03-01,147.904851538206
"CUURN200SAT",2019,"M04","2019 Apr",150.414,4,2019-04-01,150.398673809894
"CUURN200SAT",2019,"M05","2019 May",150.274,5,2019-05-01,148.751159833018
"CUURN200SAT",2019,"M06","2019 Jun",149.313,6,2019-06-01,145.297041180612
"CUURN200SAT",2019,"M07","2019 Jul",149.879,7,2019-07-01,145.809426888837
"CUURN200SAT",2019,"M08","2019 Aug",148.577,8,2019-08-01,146.016709259733
"CUURN200SAT",2019,"M09","2019 Sep",146.613,9,2019-09-01,146.254824047632
"CUURN200SAT",2019,"M10","2019 Oct",146.368,10,2019-10-01,146.710707481709
"CUURN200SAT",2019,"M11","2019 Nov",145.118,11,2019-11-01,146.264591054919
"CUURN200SAT",2019,"M12","2019 Dec",145.701,12,2019-12-01,148.990629969609
"CUURN200SAT",2020,"M01","2020 Jan",145.727,1,2020-01-01,149.642796014923
"CUURN200SAT",2020,"M02","2020 Feb",145.215,2,2020-02-01,148.373590240339
"CUURN200SAT",2020,"M03","2020 Mar",140.592,3,2020-03-01,141.280851538206
"CUURN200SAT",2020,"M04","2020 Apr",131.508,4,2020-04-01,131.492673809894
"CUURN200SAT",2020,"M05","2020 May",132.083,5,2020-05-01,130.560159833018
"CUURN200SAT",2020,"M06","2020 Jun",136.244,6,2020-06-01,132.228041180612
"CUURN200SAT",2020,"M07","2020 Jul",141.555,7,2020-07-01,137.485426888837
"CUURN200SAT",2020,"M08","2020 Aug",143.247,8,2020-08-01,140.686709259733
"CUURN200SAT",2020,"M09","2020 Sep",142.929,9,2020-09-01,142.570824047632
"CUURN200SAT",2020,"M10","2020 Oct",142.426,10,2020-10-01,142.768707481709
"CUURN200SAT",2020,"M11","2020 Nov",141.85,11,2020-11-01,142.996591054919
"CUURN200SAT",2020,"M12","2020 Dec",142.427,12,2020-12-01,145.716629969609
"CUURN200SAT",2021,"M01","2021 Jan",143.334,1,2021-01-01,147.249796014923
"CUURN200SAT",2021,"M02","2021 Feb",146.888,2,2021-02-01,150.046590240339
"CUURN200SAT",2021,"M03","2021 Mar",151.256,3,2021-03-01,151.944851538206
"CUURN200SAT",2021,"M04","2021 Apr",156.766,4,2021-04-01,156.750673809894
"CUURN200SAT",2021,"M05","2021 May",162.338,5,2021-05-01,160.815159833018
"CUURN200SAT",2021,"M06","2021 Jun",168.966,6,2021-06-01,164.950041180612
"CUURN200SAT",2021,"M07","2021 Jul",171.855,7,2021-07-01,167.785426888837
"CUURN200SAT",2021,"M08","2021 Aug",171.034,8,2021-08-01,168.473709259733
"CUURN200SAT",2021,"M09","2021 Sep",169.084,9,2021-09-01,168.725824047632
"CUURN200SAT",2021,"M10","2021 Oct",171.752,10,2021-10-01,172.094707481709
"CUURN200SAT",2021,"M11","2021 Nov",175.306,11,2021-11-01,176.452591054919
"CUURN200SAT",2021,"M12","2021 Dec",175.27,12,2021-12-01,178.559629969609
"CUURN200SAT",2022,"M01","2022 Jan",177.618,1,2022-01-01,181.533796014923
"CUURN200SAT",2022,"M02","2022 Feb",180.384,2,2022-02-01,183.542590240339
"CUURN200SAT",2022,"M03","2022 Mar",187.499,3,2022-03-01,188.187851538206
"CUURN200SAT",2022,"M04","2022 Apr",188.229,4,2022-04-01,188.213673809894
"CUURN200SAT",2022,"M05","2022 May",194.842,5,2022-05-01,193.319159833018
"CUURN200SAT",2022,"M06","2022 Jun",202.951,6,2022-06-01,198.935041180612
"CUURN200SAT",2022,"M07","2022 Jul",197.706,7,2022-07-01,193.636426888837
"CUURN200SAT",2022,"M08","2022 Aug",190.595,8,2022-08-01,188.034709259733
"CUURN200SAT",2022,"M09","2022 Sep",188.752,9,2022-09-01,188.393824047632
"CUURN200SAT",2022,"M10","2022 Oct",190.021,10,2022-10-01,190.363707481709
"CUURN200SAT",2022,"M11","2022 Nov",188.091,11,2022-11-01,189.237591054919
"CUURN200SAT",2022,"M12","2022 Dec",181.158,12,2022-12-01,184.447629969609
"CUURN200SAT",2023,"M01","2023 Jan",185.032,1,2023-01-01,188.947796014923
"CUURN200SAT",2023,"M02","2023 Feb",184.646,2,2023-02-01,187.804590240339
"CUURN200SAT",2023,"M03","2023 Mar",186.932,3,2023-03-01,187.620851538206
"CUURN200SAT",2023,"M04","2023 Apr",192.481,4,2023-04-01,192.465673809894
"CUURN200SAT",2023,"M05","2023 May",193.077,5,2023-05-01,191.554159833018
"CUURN200SAT",2023,"M06","2023 Jun",193.959,6,2023-06-01,189.943041180612
"CUURN200SAT",2023,"M07","2023 Jul",192.763,7,2023-07-01,188.693426888837
"CUURN200SAT",2023,"M08","2023 Aug",195.504,8,2023-08-01,192.943709259733
"CUURN200SAT",2023,"M09","2023 Sep",193.602,9,2023-09-01,193.243824047632
"CUURN200SAT",2023,"M10","2023 Oct",190.651,10,2023-10-01,190.993707481709
