"Series.ID","Year","Period","Label","Value","Month","date","Value_STL_Adjusted"
"CUURS200SAT",2019,"M01","2019 Jan",193.185,1,2019-01-01,199.270641435516
"CUURS200SAT",2019,"M02","2019 Feb",197.39,2,2019-02-01,202.208568377013
"CUURS200SAT",2019,"M03","2019 Mar",203.643,3,2019-03-01,204.525265728229
"CUURS200SAT",2019,"M04","2019 Apr",208.287,4,2019-04-01,208.169663444784
"CUURS200SAT",2019,"M05","2019 May",209.388,5,2019-05-01,206.426391203816
"CUURS200SAT",2019,"M06","2019 Jun",207.03,6,2019-06-01,201.050624151727
"CUURS200SAT",2019,"M07","2019 Jul",208.687,7,2019-07-01,203.489363190411
"CUURS200SAT",2019,"M08","2019 Aug",205.53,8,2019-08-01,202.464594530579
"CUURS200SAT",2019,"M09","2019 Sep",204.238,9,2019-09-01,203.521658299433
"CUURS200SAT",2019,"M10","2019 Oct",204.198,10,2019-10-01,203.692123850635
"CUURS200SAT",2019,"M11","2019 Nov",202.959,11,2019-11-01,204.608756382327
"CUURS200SAT",2019,"M12","2019 Dec",201.243,12,2019-12-01,206.350350997207
"CUURS200SAT",2020,"M01","2020 Jan",201.735,1,2020-01-01,207.820641435516
"CUURS200SAT",2020,"M02","2020 Feb",202.026,2,2020-02-01,206.844568377013
"CUURS200SAT",2020,"M03","2020 Mar",196.185,3,2020-03-01,197.067265728229
"CUURS200SAT",2020,"M04","2020 Apr",184.439,4,2020-04-01,184.321663444783
"CUURS200SAT",2020,"M05","2020 May",186.876,5,2020-05-01,183.914391203816
"CUURS200SAT",2020,"M06","2020 Jun",193.761,6,2020-06-01,187.781624151727
"CUURS200SAT",2020,"M07","2020 Jul",196.778,7,2020-07-01,191.580363190411
"CUURS200SAT",2020,"M08","2020 Aug",199.359,8,2020-08-01,196.293594530579
"CUURS200SAT",2020,"M09","2020 Sep",198.277,9,2020-09-01,197.560658299433
"CUURS200SAT",2020,"M10","2020 Oct",197.327,10,2020-10-01,196.821123850635
"CUURS200SAT",2020,"M11","2020 Nov",195.663,11,2020-11-01,197.312756382327
"CUURS200SAT",2020,"M12","2020 Dec",196.377,12,2020-12-01,201.484350997207
"CUURS200SAT",2021,"M01","2021 Jan",197.417,1,2021-01-01,203.502641435516
"CUURS200SAT",2021,"M02","2021 Feb",201.176,2,2021-02-01,205.994568377013
"CUURS200SAT",2021,"M03","2021 Mar",207.325,3,2021-03-01,208.207265728229
"CUURS200SAT",2021,"M04","2021 Apr",212.669,4,2021-04-01,212.551663444784
"CUURS200SAT",2021,"M05","2021 May",219.548,5,2021-05-01,216.586391203816
"CUURS200SAT",2021,"M06","2021 Jun",225.61,6,2021-06-01,219.630624151727
"CUURS200SAT",2021,"M07","2021 Jul",227.12,7,2021-07-01,221.922363190411
"CUURS200SAT",2021,"M08","2021 Aug",226.274,8,2021-08-01,223.208594530579
"CUURS200SAT",2021,"M09","2021 Sep",225.083,9,2021-09-01,224.366658299433
"CUURS200SAT",2021,"M10","2021 Oct",228.641,10,2021-10-01,228.135123850635
"CUURS200SAT",2021,"M11","2021 Nov",231.445,11,2021-11-01,233.094756382326
"CUURS200SAT",2021,"M12","2021 Dec",231.965,12,2021-12-01,237.072350997207
"CUURS200SAT",2022,"M01","2022 Jan",233.781,1,2022-01-01,239.866641435516
"CUURS200SAT",2022,"M02","2022 Feb",237.943,2,2022-02-01,242.761568377013
"CUURS200SAT",2022,"M03","2022 Mar",249.344,3,2022-03-01,250.226265728229
"CUURS200SAT",2022,"M04","2022 Apr",251.677,4,2022-04-01,251.559663444783
"CUURS200SAT",2022,"M05","2022 May",261.739,5,2022-05-01,258.777391203816
"CUURS200SAT",2022,"M06","2022 Jun",272.662,6,2022-06-01,266.682624151727
"CUURS200SAT",2022,"M07","2022 Jul",266.921,7,2022-07-01,261.723363190411
"CUURS200SAT",2022,"M08","2022 Aug",257.598,8,2022-08-01,254.532594530579
"CUURS200SAT",2022,"M09","2022 Sep",255.592,9,2022-09-01,254.875658299433
"CUURS200SAT",2022,"M10","2022 Oct",257.978,10,2022-10-01,257.472123850635
"CUURS200SAT",2022,"M11","2022 Nov",254.48,11,2022-11-01,256.129756382326
"CUURS200SAT",2022,"M12","2022 Dec",243.726,12,2022-12-01,248.833350997207
"CUURS200SAT",2023,"M01","2023 Jan",246.776,1,2023-01-01,252.861641435516
"CUURS200SAT",2023,"M02","2023 Feb",249.176,2,2023-02-01,253.994568377013
"CUURS200SAT",2023,"M03","2023 Mar",252.193,3,2023-03-01,253.075265728229
"CUURS200SAT",2023,"M04","2023 Apr",260.259,4,2023-04-01,260.141663444784
"CUURS200SAT",2023,"M05","2023 May",260.314,5,2023-05-01,257.352391203816
"CUURS200SAT",2023,"M06","2023 Jun",262.282,6,2023-06-01,256.302624151727
"CUURS200SAT",2023,"M07","2023 Jul",260.873,7,2023-07-01,255.675363190411
"CUURS200SAT",2023,"M08","2023 Aug",263.818,8,2023-08-01,260.752594530579
"CUURS200SAT",2023,"M09","2023 Sep",261.865,9,2023-09-01,261.148658299433
"CUURS200SAT",2023,"M10","2023 Oct",260.196,10,2023-10-01,259.690123850635
"CUURS200SAT",2023,"M11","2023 Nov",258.438,11,2023-11-01,260.087756382327
"CUURS200SAT",2023,"M12","2023 Dec",255.341,12,2023-12-01,260.448350997207
"CUURS200SAT",2024,"M01","2024 Jan",251.048,1,2024-01-01,257.133641435516
"CUURS200SAT",2024,"M02","2024 Feb",255.777,2,2024-02-01,260.595568377013
"CUURS200SAT",2024,"M03","2024 Mar",263.649,3,2024-03-01,264.531265728229
"CUURS200SAT",2024,"M04","2024 Apr",265.714,4,2024-04-01,265.596663444784
"CUURS200SAT",2024,"M05","2024 May",266.954,5,2024-05-01,263.992391203816
"CUURS200SAT",2024,"M06","2024 Jun",265.61,6,2024-06-01,259.630624151727
"CUURS200SAT",2024,"M07","2024 Jul",265.915,7,2024-07-01,260.717363190411
"CUURS200SAT",2024,"M08","2024 Aug",265.198,8,2024-08-01,262.132594530579
"CUURS200SAT",2024,"M09","2024 Sep",262.904,9,2024-09-01,262.187658299433
"CUURS200SAT",2024,"M10","2024 Oct",263.467,10,2024-10-01,262.961123850635
"CUURS200SAT",2024,"M11","2024 Nov",260.999,11,2024-11-01,262.648756382327
"CUURS200SAT",2024,"M12","2024 Dec",260.05,12,2024-12-01,265.157350997207
"CUURS200SAT",2025,"M01","2025 Jan",263.753,1,2025-01-01,269.838641435516
