"Series.ID","Year","Period","Label","Value","Month","date","Value_STL_Adjusted"
"CUURS100SAT",2019,"M01","2019 Jan",204.684,1,2019-01-01,208.494114879381
"CUURS100SAT",2019,"M02","2019 Feb",205.776,2,2019-02-01,208.968858923554
"CUURS100SAT",2019,"M03","2019 Mar",208.738,3,2019-03-01,210.485877310546
"CUURS100SAT",2019,"M04","2019 Apr",213.142,4,2019-04-01,212.742578053512
"CUURS100SAT",2019,"M05","2019 May",216.037,5,2019-05-01,213.778610744039
"CUURS100SAT",2019,"M06","2019 Jun",214.212,6,2019-06-01,209.039225371547
"CUURS100SAT",2019,"M07","2019 Jul",213.369,7,2019-07-01,209.601347500434
"CUURS100SAT",2019,"M08","2019 Aug",212.357,8,2019-08-01,210.61497358275
"CUURS100SAT",2019,"M09","2019 Sep",209.18,9,2019-09-01,209.416598719656
"CUURS100SAT",2019,"M10","2019 Oct",208.85,10,2019-10-01,209.308931011628
"CUURS100SAT",2019,"M11","2019 Nov",210.321,11,2019-11-01,211.169930400159
"CUURS100SAT",2019,"M12","2019 Dec",209.35,12,2019-12-01,212.3949537531
"CUURS100SAT",2020,"M01","2020 Jan",210.646,1,2020-01-01,214.456114879381
"CUURS100SAT",2020,"M02","2020 Feb",210.253,2,2020-02-01,213.445858923554
"CUURS100SAT",2020,"M03","2020 Mar",206.135,3,2020-03-01,207.882877310546
"CUURS100SAT",2020,"M04","2020 Apr",196.86,4,2020-04-01,196.460578053512
"CUURS100SAT",2020,"M05","2020 May",196.534,5,2020-05-01,194.275610744039
"CUURS100SAT",2020,"M06","2020 Jun",200.043,6,2020-06-01,194.870225371547
"CUURS100SAT",2020,"M07","2020 Jul",202.528,7,2020-07-01,198.760347500434
"CUURS100SAT",2020,"M08","2020 Aug",200.362,8,2020-08-01,198.61997358275
"CUURS100SAT",2020,"M09","2020 Sep",203.322,9,2020-09-01,203.558598719656
"CUURS100SAT",2020,"M10","2020 Oct",204.173,10,2020-10-01,204.631931011628
"CUURS100SAT",2020,"M11","2020 Nov",204.415,11,2020-11-01,205.263930400159
"CUURS100SAT",2020,"M12","2020 Dec",204.144,12,2020-12-01,207.1889537531
"CUURS100SAT",2021,"M01","2021 Jan",206.411,1,2021-01-01,210.221114879381
"CUURS100SAT",2021,"M02","2021 Feb",209.329,2,2021-02-01,212.521858923554
"CUURS100SAT",2021,"M03","2021 Mar",214.945,3,2021-03-01,216.692877310546
"CUURS100SAT",2021,"M04","2021 Apr",220.733,4,2021-04-01,220.333578053512
"CUURS100SAT",2021,"M05","2021 May",226.815,5,2021-05-01,224.556610744039
"CUURS100SAT",2021,"M06","2021 Jun",234.861,6,2021-06-01,229.688225371547
"CUURS100SAT",2021,"M07","2021 Jul",232.071,7,2021-07-01,228.303347500434
"CUURS100SAT",2021,"M08","2021 Aug",230.336,8,2021-08-01,228.59397358275
"CUURS100SAT",2021,"M09","2021 Sep",228.972,9,2021-09-01,229.208598719656
"CUURS100SAT",2021,"M10","2021 Oct",234.137,10,2021-10-01,234.595931011628
"CUURS100SAT",2021,"M11","2021 Nov",238.599,11,2021-11-01,239.447930400159
"CUURS100SAT",2021,"M12","2021 Dec",238.465,12,2021-12-01,241.5099537531
"CUURS100SAT",2022,"M01","2022 Jan",238.299,1,2022-01-01,242.109114879381
"CUURS100SAT",2022,"M02","2022 Feb",242.89,2,2022-02-01,246.082858923554
"CUURS100SAT",2022,"M03","2022 Mar",251.91,3,2022-03-01,253.657877310546
"CUURS100SAT",2022,"M04","2022 Apr",258.369,4,2022-04-01,257.969578053512
"CUURS100SAT",2022,"M05","2022 May",261.186,5,2022-05-01,258.927610744039
"CUURS100SAT",2022,"M06","2022 Jun",274.243,6,2022-06-01,269.070225371547
"CUURS100SAT",2022,"M07","2022 Jul",267.125,7,2022-07-01,263.357347500434
"CUURS100SAT",2022,"M08","2022 Aug",261.996,8,2022-08-01,260.25397358275
"CUURS100SAT",2022,"M09","2022 Sep",258.223,9,2022-09-01,258.459598719656
"CUURS100SAT",2022,"M10","2022 Oct",256.456,10,2022-10-01,256.914931011628
"CUURS100SAT",2022,"M11","2022 Nov",256.22,11,2022-11-01,257.068930400159
"CUURS100SAT",2022,"M12","2022 Dec",254.275,12,2022-12-01,257.3199537531
"CUURS100SAT",2023,"M01","2023 Jan",253.459,1,2023-01-01,257.269114879381
"CUURS100SAT",2023,"M02","2023 Feb",257.294,2,2023-02-01,260.486858923554
"CUURS100SAT",2023,"M03","2023 Mar",254.761,3,2023-03-01,256.508877310546
"CUURS100SAT",2023,"M04","2023 Apr",258.534,4,2023-04-01,258.134578053512
"CUURS100SAT",2023,"M05","2023 May",261.505,5,2023-05-01,259.246610744039
"CUURS100SAT",2023,"M06","2023 Jun",262.08,6,2023-06-01,256.907225371547
"CUURS100SAT",2023,"M07","2023 Jul",263.878,7,2023-07-01,260.110347500434
"CUURS100SAT",2023,"M08","2023 Aug",267.044,8,2023-08-01,265.30197358275
"CUURS100SAT",2023,"M09","2023 Sep",265.844,9,2023-09-01,266.080598719656
"CUURS100SAT",2023,"M10","2023 Oct",266.282,10,2023-10-01,266.740931011628
"CUURS100SAT",2023,"M11","2023 Nov",263.832,11,2023-11-01,264.680930400159
"CUURS100SAT",2023,"M12","2023 Dec",260.916,12,2023-12-01,263.9609537531
"CUURS100SAT",2024,"M01","2024 Jan",261.86,1,2024-01-01,265.670114879381
"CUURS100SAT",2024,"M02","2024 Feb",262.438,2,2024-02-01,265.630858923554
"CUURS100SAT",2024,"M03","2024 Mar",265.592,3,2024-03-01,267.339877310546
"CUURS100SAT",2024,"M04","2024 Apr",272.233,4,2024-04-01,271.833578053512
"CUURS100SAT",2024,"M05","2024 May",273.854,5,2024-05-01,271.595610744039
"CUURS100SAT",2024,"M06","2024 Jun",272.048,6,2024-06-01,266.875225371547
"CUURS100SAT",2024,"M07","2024 Jul",274.155,7,2024-07-01,270.387347500434
"CUURS100SAT",2024,"M08","2024 Aug",273.167,8,2024-08-01,271.42497358275
"CUURS100SAT",2024,"M09","2024 Sep",272.139,9,2024-09-01,272.375598719656
"CUURS100SAT",2024,"M10","2024 Oct",271.72,10,2024-10-01,272.178931011628
"CUURS100SAT",2024,"M11","2024 Nov",271.163,11,2024-11-01,272.011930400159
"CUURS100SAT",2024,"M12","2024 Dec",270.049,12,2024-12-01,273.0939537531
"CUURS100SAT",2025,"M01","2025 Jan",271.675,1,2025-01-01,275.485114879381
