"Series.ID","Year","Period","Label","Value","Month","date","Value_STL_Adjusted"
"CUURN100SAT",2019,"M01","2019 Jan",137.313,1,2019-01-01,140.293025948109
"CUURN100SAT",2019,"M02","2019 Feb",137.746,2,2019-02-01,140.364459728792
"CUURN100SAT",2019,"M03","2019 Mar",139.709,3,2019-03-01,140.980327528818
"CUURN100SAT",2019,"M04","2019 Apr",142.786,4,2019-04-01,143.002778615672
"CUURN100SAT",2019,"M05","2019 May",144.364,5,2019-05-01,142.72839403371
"CUURN100SAT",2019,"M06","2019 Jun",143.344,6,2019-06-01,140.393597609777
"CUURN100SAT",2019,"M07","2019 Jul",143.972,7,2019-07-01,141.134637626041
"CUURN100SAT",2019,"M08","2019 Aug",142.185,8,2019-08-01,140.11702837104
"CUURN100SAT",2019,"M09","2019 Sep",140.506,9,2019-09-01,140.409253063361
"CUURN100SAT",2019,"M10","2019 Oct",140.092,10,2019-10-01,140.106476158276
"CUURN100SAT",2019,"M11","2019 Nov",139.829,11,2019-11-01,140.115198786175
"CUURN100SAT",2019,"M12","2019 Dec",139.566,12,2019-12-01,141.766823179441
"CUURN100SAT",2020,"M01","2020 Jan",139.886,1,2020-01-01,142.866025948109
"CUURN100SAT",2020,"M02","2020 Feb",139.425,2,2020-02-01,142.043459728792
"CUURN100SAT",2020,"M03","2020 Mar",136.226,3,2020-03-01,137.497327528818
"CUURN100SAT",2020,"M04","2020 Apr",130.922,4,2020-04-01,131.138778615672
"CUURN100SAT",2020,"M05","2020 May",128.932,5,2020-05-01,127.29639403371
"CUURN100SAT",2020,"M06","2020 Jun",130.45,6,2020-06-01,127.499597609777
"CUURN100SAT",2020,"M07","2020 Jul",133.712,7,2020-07-01,130.874637626041
"CUURN100SAT",2020,"M08","2020 Aug",135.218,8,2020-08-01,133.15002837104
"CUURN100SAT",2020,"M09","2020 Sep",134.764,9,2020-09-01,134.667253063361
"CUURN100SAT",2020,"M10","2020 Oct",135.494,10,2020-10-01,135.508476158276
"CUURN100SAT",2020,"M11","2020 Nov",136.081,11,2020-11-01,136.367198786175
"CUURN100SAT",2020,"M12","2020 Dec",135.847,12,2020-12-01,138.047823179441
