"Series.ID","Year","Period","Label","Value","Month","date","Value_STL_Adjusted"
"CUURS300SAT",2019,"M01","2019 Jan",199.973,1,2019-01-01,204.490729803214
"CUURS300SAT",2019,"M02","2019 Feb",201.676,2,2019-02-01,204.908578335537
"CUURS300SAT",2019,"M03","2019 Mar",208.156,3,2019-03-01,207.382935020499
"CUURS300SAT",2019,"M04","2019 Apr",213.276,4,2019-04-01,211.867058028433
"CUURS300SAT",2019,"M05","2019 May",213.436,5,2019-05-01,210.266677103757
"CUURS300SAT",2019,"M06","2019 Jun",209.793,6,2019-06-01,204.900988373271
"CUURS300SAT",2019,"M07","2019 Jul",211.564,7,2019-07-01,207.038972681579
"CUURS300SAT",2019,"M08","2019 Aug",208.812,8,2019-08-01,206.483807239483
"CUURS300SAT",2019,"M09","2019 Sep",206.613,9,2019-09-01,207.932808053683
"CUURS300SAT",2019,"M10","2019 Oct",207.299,10,2019-10-01,208.58367669692
"CUURS300SAT",2019,"M11","2019 Nov",206.633,11,2019-11-01,208.741879018468
"CUURS300SAT",2019,"M12","2019 Dec",206.077,12,2019-12-01,210.709892515117
"CUURS300SAT",2020,"M01","2020 Jan",206.025,1,2020-01-01,210.542729803214
"CUURS300SAT",2020,"M02","2020 Feb",205.02,2,2020-02-01,208.252578335537
"CUURS300SAT",2020,"M03","2020 Mar",201.723,3,2020-03-01,200.949935020499
"CUURS300SAT",2020,"M04","2020 Apr",190.328,4,2020-04-01,188.919058028433
"CUURS300SAT",2020,"M05","2020 May",186.526,5,2020-05-01,183.356677103757
"CUURS300SAT",2020,"M06","2020 Jun",191.405,6,2020-06-01,186.512988373271
"CUURS300SAT",2020,"M07","2020 Jul",197.635,7,2020-07-01,193.109972681579
"CUURS300SAT",2020,"M08","2020 Aug",198.675,8,2020-08-01,196.346807239483
"CUURS300SAT",2020,"M09","2020 Sep",198.603,9,2020-09-01,199.922808053683
"CUURS300SAT",2020,"M10","2020 Oct",198.734,10,2020-10-01,200.01867669692
"CUURS300SAT",2020,"M11","2020 Nov",197.961,11,2020-11-01,200.069879018468
"CUURS300SAT",2020,"M12","2020 Dec",198.746,12,2020-12-01,203.378892515117
"CUURS300SAT",2021,"M01","2021 Jan",201.794,1,2021-01-01,206.311729803214
"CUURS300SAT",2021,"M02","2021 Feb",204.8,2,2021-02-01,208.032578335537
"CUURS300SAT",2021,"M03","2021 Mar",211.329,3,2021-03-01,210.555935020499
"CUURS300SAT",2021,"M04","2021 Apr",217.505,4,2021-04-01,216.096058028433
"CUURS300SAT",2021,"M05","2021 May",224.842,5,2021-05-01,221.672677103757
"CUURS300SAT",2021,"M06","2021 Jun",231.391,6,2021-06-01,226.498988373271
"CUURS300SAT",2021,"M07","2021 Jul",233.084,7,2021-07-01,228.558972681579
"CUURS300SAT",2021,"M08","2021 Aug",231.711,8,2021-08-01,229.382807239483
"CUURS300SAT",2021,"M09","2021 Sep",229.902,9,2021-09-01,231.221808053683
"CUURS300SAT",2021,"M10","2021 Oct",236.772,10,2021-10-01,238.05667669692
"CUURS300SAT",2021,"M11","2021 Nov",241.296,11,2021-11-01,243.404879018467
"CUURS300SAT",2021,"M12","2021 Dec",242.94,12,2021-12-01,247.572892515117
"CUURS300SAT",2022,"M01","2022 Jan",243.661,1,2022-01-01,248.178729803214
"CUURS300SAT",2022,"M02","2022 Feb",250.105,2,2022-02-01,253.337578335537
"CUURS300SAT",2022,"M03","2022 Mar",263.495,3,2022-03-01,262.721935020499
"CUURS300SAT",2022,"M04","2022 Apr",264.069,4,2022-04-01,262.660058028433
"CUURS300SAT",2022,"M05","2022 May",273.54,5,2022-05-01,270.370677103757
"CUURS300SAT",2022,"M06","2022 Jun",282.708,6,2022-06-01,277.815988373271
"CUURS300SAT",2022,"M07","2022 Jul",275,7,2022-07-01,270.474972681579
"CUURS300SAT",2022,"M08","2022 Aug",266.51,8,2022-08-01,264.181807239483
"CUURS300SAT",2022,"M09","2022 Sep",260.367,9,2022-09-01,261.686808053683
"CUURS300SAT",2022,"M10","2022 Oct",260.609,10,2022-10-01,261.89367669692
"CUURS300SAT",2022,"M11","2022 Nov",258.92,11,2022-11-01,261.028879018468
"CUURS300SAT",2022,"M12","2022 Dec",251.553,12,2022-12-01,256.185892515117
"CUURS300SAT",2023,"M01","2023 Jan",253.991,1,2023-01-01,258.508729803214
"CUURS300SAT",2023,"M02","2023 Feb",256.802,2,2023-02-01,260.034578335537
"CUURS300SAT",2023,"M03","2023 Mar",260.467,3,2023-03-01,259.693935020499
"CUURS300SAT",2023,"M04","2023 Apr",265.734,4,2023-04-01,264.325058028433
"CUURS300SAT",2023,"M05","2023 May",266.903,5,2023-05-01,263.733677103757
"CUURS300SAT",2023,"M06","2023 Jun",267.245,6,2023-06-01,262.352988373271
"CUURS300SAT",2023,"M07","2023 Jul",267.387,7,2023-07-01,262.861972681579
"CUURS300SAT",2023,"M08","2023 Aug",272.027,8,2023-08-01,269.698807239483
"CUURS300SAT",2023,"M09","2023 Sep",269.009,9,2023-09-01,270.328808053683
"CUURS300SAT",2023,"M10","2023 Oct",265.606,10,2023-10-01,266.89067669692
"CUURS300SAT",2023,"M11","2023 Nov",264.089,11,2023-11-01,266.197879018468
"CUURS300SAT",2023,"M12","2023 Dec",262.054,12,2023-12-01,266.686892515117
"CUURS300SAT",2024,"M01","2024 Jan",262.598,1,2024-01-01,267.115729803214
"CUURS300SAT",2024,"M02","2024 Feb",269.234,2,2024-02-01,272.466578335537
"CUURS300SAT",2024,"M03","2024 Mar",272.011,3,2024-03-01,271.237935020499
"CUURS300SAT",2024,"M04","2024 Apr",274.933,4,2024-04-01,273.524058028433
"CUURS300SAT",2024,"M05","2024 May",276.009,5,2024-05-01,272.839677103757
"CUURS300SAT",2024,"M06","2024 Jun",273.193,6,2024-06-01,268.300988373271
"CUURS300SAT",2024,"M07","2024 Jul",273.006,7,2024-07-01,268.480972681579
"CUURS300SAT",2024,"M08","2024 Aug",271.256,8,2024-08-01,268.927807239483
"CUURS300SAT",2024,"M09","2024 Sep",267.105,9,2024-09-01,268.424808053683
"CUURS300SAT",2024,"M10","2024 Oct",268.142,10,2024-10-01,269.42667669692
"CUURS300SAT",2024,"M11","2024 Nov",268.67,11,2024-11-01,270.778879018468
"CUURS300SAT",2024,"M12","2024 Dec",266.678,12,2024-12-01,271.310892515117
"CUURS300SAT",2025,"M01","2025 Jan",271.234,1,2025-01-01,275.751729803214
