"Series.ID","Year","Period","Label","Value","Month","date","Value_STL_Adjusted"
"CUURN300SAT",2019,"M01","2019 Jan",141.291,1,2019-01-01,144.234592246292
"CUURN300SAT",2019,"M02","2019 Feb",142.636,2,2019-02-01,145.036005369808
"CUURN300SAT",2019,"M03","2019 Mar",146.675,3,2019-03-01,146.288480370806
"CUURN300SAT",2019,"M04","2019 Apr",149.659,4,2019-04-01,148.625192200447
"CUURN300SAT",2019,"M05","2019 May",148.805,5,2019-05-01,147.157401280645
"CUURN300SAT",2019,"M06","2019 Jun",147.063,6,2019-06-01,143.924789275391
"CUURN300SAT",2019,"M07","2019 Jul",148.546,7,2019-07-01,145.238015389948
"CUURN300SAT",2019,"M08","2019 Aug",146.562,8,2019-08-01,144.884222505614
"CUURN300SAT",2019,"M09","2019 Sep",145.319,9,2019-09-01,145.885263014494
"CUURN300SAT",2019,"M10","2019 Oct",145.791,10,2019-10-01,146.309326487457
"CUURN300SAT",2019,"M11","2019 Nov",145.005,11,2019-11-01,146.576056252828
"CUURN300SAT",2019,"M12","2019 Dec",144.952,12,2019-12-01,148.14465716952
"CUURN300SAT",2020,"M01","2020 Jan",145.298,1,2020-01-01,148.241592246292
"CUURN300SAT",2020,"M02","2020 Feb",144.435,2,2020-02-01,146.835005369808
"CUURN300SAT",2020,"M03","2020 Mar",142.477,3,2020-03-01,142.090480370806
"CUURN300SAT",2020,"M04","2020 Apr",135.913,4,2020-04-01,134.879192200447
"CUURN300SAT",2020,"M05","2020 May",133.647,5,2020-05-01,131.999401280645
"CUURN300SAT",2020,"M06","2020 Jun",136.041,6,2020-06-01,132.902789275391
"CUURN300SAT",2020,"M07","2020 Jul",139.656,7,2020-07-01,136.348015389948
"CUURN300SAT",2020,"M08","2020 Aug",141.419,8,2020-08-01,139.741222505614
"CUURN300SAT",2020,"M09","2020 Sep",142.253,9,2020-09-01,142.819263014494
"CUURN300SAT",2020,"M10","2020 Oct",142.556,10,2020-10-01,143.074326487457
"CUURN300SAT",2020,"M11","2020 Nov",142.179,11,2020-11-01,143.750056252828
"CUURN300SAT",2020,"M12","2020 Dec",143.98,12,2020-12-01,147.17265716952
"CUURN300SAT",2021,"M01","2021 Jan",145.582,1,2021-01-01,148.525592246292
"CUURN300SAT",2021,"M02","2021 Feb",147.99,2,2021-02-01,150.390005369808
"CUURN300SAT",2021,"M03","2021 Mar",153.356,3,2021-03-01,152.969480370806
"CUURN300SAT",2021,"M04","2021 Apr",157.631,4,2021-04-01,156.597192200447
"CUURN300SAT",2021,"M05","2021 May",162.33,5,2021-05-01,160.682401280645
"CUURN300SAT",2021,"M06","2021 Jun",167.753,6,2021-06-01,164.614789275391
"CUURN300SAT",2021,"M07","2021 Jul",169.457,7,2021-07-01,166.149015389948
"CUURN300SAT",2021,"M08","2021 Aug",168.693,8,2021-08-01,167.015222505614
"CUURN300SAT",2021,"M09","2021 Sep",167.406,9,2021-09-01,167.972263014494
"CUURN300SAT",2021,"M10","2021 Oct",171.385,10,2021-10-01,171.903326487457
"CUURN300SAT",2021,"M11","2021 Nov",174.561,11,2021-11-01,176.132056252828
"CUURN300SAT",2021,"M12","2021 Dec",174.876,12,2021-12-01,178.06865716952
"CUURN300SAT",2022,"M01","2022 Jan",176.442,1,2022-01-01,179.385592246292
"CUURN300SAT",2022,"M02","2022 Feb",180.842,2,2022-02-01,183.242005369808
"CUURN300SAT",2022,"M03","2022 Mar",189.156,3,2022-03-01,188.769480370806
"CUURN300SAT",2022,"M04","2022 Apr",189.373,4,2022-04-01,188.339192200447
"CUURN300SAT",2022,"M05","2022 May",195.012,5,2022-05-01,193.364401280645
"CUURN300SAT",2022,"M06","2022 Jun",202.333,6,2022-06-01,199.194789275391
"CUURN300SAT",2022,"M07","2022 Jul",197.666,7,2022-07-01,194.358015389948
"CUURN300SAT",2022,"M08","2022 Aug",190.754,8,2022-08-01,189.076222505614
"CUURN300SAT",2022,"M09","2022 Sep",186.696,9,2022-09-01,187.262263014494
"CUURN300SAT",2022,"M10","2022 Oct",187.293,10,2022-10-01,187.811326487457
"CUURN300SAT",2022,"M11","2022 Nov",185.925,11,2022-11-01,187.496056252828
"CUURN300SAT",2022,"M12","2022 Dec",180.331,12,2022-12-01,183.52365716952
"CUURN300SAT",2023,"M01","2023 Jan",183.057,1,2023-01-01,186.000592246292
"CUURN300SAT",2023,"M02","2023 Feb",183.401,2,2023-02-01,185.801005369808
"CUURN300SAT",2023,"M03","2023 Mar",184.797,3,2023-03-01,184.410480370806
"CUURN300SAT",2023,"M04","2023 Apr",189.198,4,2023-04-01,188.164192200447
"CUURN300SAT",2023,"M05","2023 May",189.425,5,2023-05-01,187.777401280645
"CUURN300SAT",2023,"M06","2023 Jun",190.348,6,2023-06-01,187.209789275391
"CUURN300SAT",2023,"M07","2023 Jul",191.233,7,2023-07-01,187.925015389948
