"Series.ID","Year","Period","Label","Value","Month","date","Value_STL_Adjusted"
"CUURN400SAT",2019,"M01","2019 Jan",147.436,1,2019-01-01,152.046613591845
"CUURN400SAT",2019,"M02","2019 Feb",146.739,2,2019-02-01,151.550154958621
"CUURN400SAT",2019,"M03","2019 Mar",148.033,3,2019-03-01,149.414302944581
"CUURN400SAT",2019,"M04","2019 Apr",152.538,4,2019-04-01,151.774520735602
"CUURN400SAT",2019,"M05","2019 May",156.7,5,2019-05-01,154.714236530655
"CUURN400SAT",2019,"M06","2019 Jun",155.516,6,2019-06-01,151.601767749965
"CUURN400SAT",2019,"M07","2019 Jul",153.34,7,2019-07-01,149.572634602282
"CUURN400SAT",2019,"M08","2019 Aug",152.398,8,2019-08-01,150.057217573346
"CUURN400SAT",2019,"M09","2019 Sep",151.054,9,2019-09-01,150.189800971977
"CUURN400SAT",2019,"M10","2019 Oct",152.871,10,2019-10-01,151.680827707777
"CUURN400SAT",2019,"M11","2019 Nov",153.44,11,2019-11-01,153.902189222059
"CUURN400SAT",2019,"M12","2019 Dec",150.875,12,2019-12-01,154.435735128515
"CUURN400SAT",2020,"M01","2020 Jan",148.709,1,2020-01-01,153.319613591845
"CUURN400SAT",2020,"M02","2020 Feb",148.724,2,2020-02-01,153.535154958621
"CUURN400SAT",2020,"M03","2020 Mar",147.913,3,2020-03-01,149.294302944581
"CUURN400SAT",2020,"M04","2020 Apr",142.203,4,2020-04-01,141.439520735602
"CUURN400SAT",2020,"M05","2020 May",137.83,5,2020-05-01,135.844236530655
"CUURN400SAT",2020,"M06","2020 Jun",140.368,6,2020-06-01,136.453767749965
"CUURN400SAT",2020,"M07","2020 Jul",144.602,7,2020-07-01,140.834634602282
"CUURN400SAT",2020,"M08","2020 Aug",146.525,8,2020-08-01,144.184217573346
"CUURN400SAT",2020,"M09","2020 Sep",146.817,9,2020-09-01,145.952800971977
"CUURN400SAT",2020,"M10","2020 Oct",147.982,10,2020-10-01,146.791827707777
"CUURN400SAT",2020,"M11","2020 Nov",147.594,11,2020-11-01,148.056189222059
"CUURN400SAT",2020,"M12","2020 Dec",147.204,12,2020-12-01,150.764735128515
"CUURN400SAT",2021,"M01","2021 Jan",148.08,1,2021-01-01,152.690613591845
"CUURN400SAT",2021,"M02","2021 Feb",149.919,2,2021-02-01,154.730154958621
"CUURN400SAT",2021,"M03","2021 Mar",155.172,3,2021-03-01,156.553302944581
"CUURN400SAT",2021,"M04","2021 Apr",161.322,4,2021-04-01,160.558520735602
"CUURN400SAT",2021,"M05","2021 May",166.976,5,2021-05-01,164.990236530655
"CUURN400SAT",2021,"M06","2021 Jun",174.567,6,2021-06-01,170.652767749965
"CUURN400SAT",2021,"M07","2021 Jul",176.872,7,2021-07-01,173.104634602282
"CUURN400SAT",2021,"M08","2021 Aug",175.763,8,2021-08-01,173.422217573346
"CUURN400SAT",2021,"M09","2021 Sep",173.573,9,2021-09-01,172.708800971977
"CUURN400SAT",2021,"M10","2021 Oct",174.872,10,2021-10-01,173.681827707777
"CUURN400SAT",2021,"M11","2021 Nov",177.72,11,2021-11-01,178.182189222059
"CUURN400SAT",2021,"M12","2021 Dec",179.41,12,2021-12-01,182.970735128515
"CUURN400SAT",2022,"M01","2022 Jan",181.716,1,2022-01-01,186.326613591845
"CUURN400SAT",2022,"M02","2022 Feb",184.367,2,2022-02-01,189.178154958621
"CUURN400SAT",2022,"M03","2022 Mar",192.583,3,2022-03-01,193.964302944581
"CUURN400SAT",2022,"M04","2022 Apr",195.769,4,2022-04-01,195.005520735602
"CUURN400SAT",2022,"M05","2022 May",200.235,5,2022-05-01,198.249236530655
"CUURN400SAT",2022,"M06","2022 Jun",206.313,6,2022-06-01,202.398767749965
"CUURN400SAT",2022,"M07","2022 Jul",205.119,7,2022-07-01,201.351634602282
"CUURN400SAT",2022,"M08","2022 Aug",200.068,8,2022-08-01,197.727217573346
