"State","Year","Price","Region"
"Alabama",2022,1128.28,"South"
"Alabama",2021,1084.87,"South"
"Alabama",2020,1078.53,"South"
"Alabama",2019,1094.34,"South"
"Alabama",2018,1071.38,"South"
"Alabama",2017,1014.7,"South"
"Alabama",2016,936.97,"South"
"Alabama",2015,877.58,"South"
"Alaska",2022,1154.57,"West"
"Alaska",2021,1119.22,"West"
"Alaska",2020,1112.74,"West"
"Alaska",2019,1141.81,"West"
"Alaska",2018,1111.08,"West"
"Alaska",2017,1072.19,"West"
"Alaska",2016,1053.48,"West"
"Alaska",2015,1061.26,"West"
"Arizona",2022,1286.72,"West"
"Arizona",2021,1199.88,"West"
"Arizona",2020,1169.15,"West"
"Arizona",2019,1201.08,"West"
"Arizona",2018,1183.69,"West"
"Arizona",2017,1125.54,"West"
"Arizona",2016,1043.26,"West"
"Arizona",2015,991.55,"West"
"Arkansas",2022,1132.14,"South"
"Arkansas",2021,1089.02,"South"
"Arkansas",2020,1078.31,"South"
"Arkansas",2019,1098.95,"South"
"Arkansas",2018,1097.84,"South"
"Arkansas",2017,1039.1,"South"
"Arkansas",2016,955.21,"South"
"Arkansas",2015,910.01,"South"
"California",2022,1249.83,"West"
"California",2021,1212.81,"West"
"California",2020,1216.72,"West"
"California",2019,1219.43,"West"
"California",2018,1189.68,"West"
"California",2017,1115.73,"West"
"California",2016,1044.57,"West"
"California",2015,986.38,"West"
"Colorado",2022,1446.48,"West"
"Colorado",2021,1347.92,"West"
"Colorado",2020,1329.96,"West"
"Colorado",2019,1338.84,"West"
"Colorado",2018,1290.63,"West"
"Colorado",2017,1194.7,"West"
"Colorado",2016,1074,"West"
"Colorado",2015,990.16,"West"
"Connecticut",2022,1374.02,"Northeast"
"Connecticut",2021,1338.61,"Northeast"
"Connecticut",2020,1326.79,"Northeast"
"Connecticut",2019,1349.73,"Northeast"
"Connecticut",2018,1326.63,"Northeast"
"Connecticut",2017,1276.02,"Northeast"
"Connecticut",2016,1213.52,"Northeast"
"Connecticut",2015,1177.94,"Northeast"
"Delaware",2022,1388.67,"South"
"Delaware",2021,1350.67,"South"
"Delaware",2020,1346.83,"South"
"Delaware",2019,1387.16,"South"
"Delaware",2018,1391.84,"South"
"Delaware",2017,1321.51,"South"
"Delaware",2016,1269.92,"South"
"Delaware",2015,1239.23,"South"
"District of Columbia",2022,1628.81,"Other"
"District of Columbia",2021,1559.31,"Other"
"District of Columbia",2020,1541.98,"Other"
"District of Columbia",2019,1582.85,"Other"
"District of Columbia",2018,1573.99,"Other"
"District of Columbia",2017,1466.27,"Other"
"District of Columbia",2016,1386.88,"Other"
"District of Columbia",2015,1336.92,"Other"
"Florida",2022,1703.09,"South"
"Florida",2021,1543.28,"South"
"Florida",2020,1469.92,"South"
"Florida",2019,1558.62,"South"
"Florida",2018,1521.61,"South"
"Florida",2017,1445.57,"South"
"Florida",2016,1345.84,"South"
"Florida",2015,1261.38,"South"
"Georgia",2022,1513.33,"South"
"Georgia",2021,1432.29,"South"
"Georgia",2020,1426.38,"South"
"Georgia",2019,1436.55,"South"
"Georgia",2018,1387.63,"South"
"Georgia",2017,1286.49,"South"
"Georgia",2016,1153.39,"South"
"Georgia",2015,1071.33,"South"
"Hawaii",2022,951.75,"West"
"Hawaii",2021,926.92,"West"
"Hawaii",2020,919.4,"West"
"Hawaii",2019,955.5,"West"
"Hawaii",2018,944.54,"West"
"Hawaii",2017,918.13,"West"
"Hawaii",2016,893.52,"West"
"Hawaii",2015,871.05,"West"
"Idaho",2022,880.12,"West"
"Idaho",2021,848.21,"West"
"Idaho",2020,832.94,"West"
"Idaho",2019,849.71,"West"
"Idaho",2018,828.28,"West"
"Idaho",2017,780.46,"West"
"Idaho",2016,731.46,"West"
"Idaho",2015,696.09,"West"
"Illinois",2022,1080.14,"Midwest"
"Illinois",2021,1001.22,"Midwest"
"Illinois",2020,997.18,"Midwest"
"Illinois",2019,1018.5,"Midwest"
"Illinois",2018,997.42,"Midwest"
"Illinois",2017,976.73,"Midwest"
"Illinois",2016,930.12,"Midwest"
"Illinois",2015,888.96,"Midwest"
"Indiana",2022,905.61,"Midwest"
"Indiana",2021,858.33,"Midwest"
"Indiana",2020,863.29,"Midwest"
"Indiana",2019,878.16,"Midwest"
"Indiana",2018,868.44,"Midwest"
"Indiana",2017,840.43,"Midwest"
"Indiana",2016,797.38,"Midwest"
"Indiana",2015,758.94,"Midwest"
"Iowa",2022,902.21,"Midwest"
"Iowa",2021,841.51,"Midwest"
