"Year","State","Region","Price"
2015,"Maine","Northeast",1706
2016,"Maine","Northeast",1492
2017,"Maine","Northeast",1628
2018,"Maine","Northeast",1730
2019,"Maine","Northeast",1681
2020,"Maine","Northeast",1268
2021,"Maine","Northeast",1722
2022,"Maine","Northeast",2437
2015,"New Hampshire","Northeast",1706
2016,"New Hampshire","Northeast",1492
2017,"New Hampshire","Northeast",1628
2018,"New Hampshire","Northeast",1730
2019,"New Hampshire","Northeast",1681
2020,"New Hampshire","Northeast",1268
2021,"New Hampshire","Northeast",1722
2022,"New Hampshire","Northeast",2437
2015,"Vermont","Northeast",1706
2016,"Vermont","Northeast",1492
2017,"Vermont","Northeast",1628
2018,"Vermont","Northeast",1730
2019,"Vermont","Northeast",1681
2020,"Vermont","Northeast",1268
2021,"Vermont","Northeast",1722
2022,"Vermont","Northeast",2437
2015,"Massachusetts","Northeast",1706
2016,"Massachusetts","Northeast",1492
2017,"Massachusetts","Northeast",1628
2018,"Massachusetts","Northeast",1730
2019,"Massachusetts","Northeast",1681
2020,"Massachusetts","Northeast",1268
2021,"Massachusetts","Northeast",1722
2022,"Massachusetts","Northeast",2437
2015,"Rhode Island","Northeast",1706
2016,"Rhode Island","Northeast",1492
2017,"Rhode Island","Northeast",1628
2018,"Rhode Island","Northeast",1730
2019,"Rhode Island","Northeast",1681
2020,"Rhode Island","Northeast",1268
2021,"Rhode Island","Northeast",1722
2022,"Rhode Island","Northeast",2437
2015,"Connecticut","Northeast",1706
2016,"Connecticut","Northeast",1492
2017,"Connecticut","Northeast",1628
2018,"Connecticut","Northeast",1730
2019,"Connecticut","Northeast",1681
2020,"Connecticut","Northeast",1268
2021,"Connecticut","Northeast",1722
2022,"Connecticut","Northeast",2437
2015,"New York","Northeast",1706
2016,"New York","Northeast",1492
2017,"New York","Northeast",1628
2018,"New York","Northeast",1730
2019,"New York","Northeast",1681
2020,"New York","Northeast",1268
2021,"New York","Northeast",1722
2022,"New York","Northeast",2437
2015,"New Jersey","Northeast",1706
2016,"New Jersey","Northeast",1492
2017,"New Jersey","Northeast",1628
2018,"New Jersey","Northeast",1730
2019,"New Jersey","Northeast",1681
2020,"New Jersey","Northeast",1268
2021,"New Jersey","Northeast",1722
2022,"New Jersey","Northeast",2437
2015,"Pennsylvania","Northeast",1706
2016,"Pennsylvania","Northeast",1492
2017,"Pennsylvania","Northeast",1628
2018,"Pennsylvania","Northeast",1730
2019,"Pennsylvania","Northeast",1681
2020,"Pennsylvania","Northeast",1268
2021,"Pennsylvania","Northeast",1722
2022,"Pennsylvania","Northeast",2437
2015,"District of Columbia","Northeast",1706
2016,"District of Columbia","Northeast",1492
2017,"District of Columbia","Northeast",1628
2018,"District of Columbia","Northeast",1730
2019,"District of Columbia","Northeast",1681
2020,"District of Columbia","Northeast",1268
2021,"District of Columbia","Northeast",1722
2022,"District of Columbia","Northeast",2437
2015,"Delaware","Northeast",1706
2016,"Delaware","Northeast",1492
2017,"Delaware","Northeast",1628
2018,"Delaware","Northeast",1730
2019,"Delaware","Northeast",1681
2020,"Delaware","Northeast",1268
2021,"Delaware","Northeast",1722
2022,"Delaware","Northeast",2437
2015,"Maryland","Northeast",1706
2016,"Maryland","Northeast",1492
2017,"Maryland","Northeast",1628
2018,"Maryland","Northeast",1730
2019,"Maryland","Northeast",1681
2020,"Maryland","Northeast",1268
2021,"Maryland","Northeast",1722
2022,"Maryland","Northeast",2437
2015,"Virginia","Northeast",1706
2016,"Virginia","Northeast",1492
2017,"Virginia","Northeast",1628
2018,"Virginia","Northeast",1730
2019,"Virginia","Northeast",1681
2020,"Virginia","Northeast",1268
2021,"Virginia","Northeast",1722
2022,"Virginia","Northeast",2437
2015,"West Virginia","Northeast",1706
