Series ID,Year,Period,Label,Value
CUURN200SAT,2019,M01,2019 Jan,139.546
CUURN200SAT,2019,M02,2019 Feb,142.974
CUURN200SAT,2019,M03,2019 Mar,147.216
CUURN200SAT,2019,M04,2019 Apr,150.414
CUURN200SAT,2019,M05,2019 May,150.274
CUURN200SAT,2019,M06,2019 Jun,149.313
CUURN200SAT,2019,M07,2019 Jul,149.879
CUURN200SAT,2019,M08,2019 Aug,148.577
CUURN200SAT,2019,M09,2019 Sep,146.613
CUURN200SAT,2019,M10,2019 Oct,146.368
CUURN200SAT,2019,M11,2019 Nov,145.118
CUURN200SAT,2019,M12,2019 Dec,145.701
CUURN200SAT,2020,M01,2020 Jan,145.727
CUURN200SAT,2020,M02,2020 Feb,145.215
CUURN200SAT,2020,M03,2020 Mar,140.592
CUURN200SAT,2020,M04,2020 Apr,131.508
CUURN200SAT,2020,M05,2020 May,132.083
CUURN200SAT,2020,M06,2020 Jun,136.244
CUURN200SAT,2020,M07,2020 Jul,141.555
CUURN200SAT,2020,M08,2020 Aug,143.247
CUURN200SAT,2020,M09,2020 Sep,142.929
CUURN200SAT,2020,M10,2020 Oct,142.426
CUURN200SAT,2020,M11,2020 Nov,141.850
CUURN200SAT,2020,M12,2020 Dec,142.427
CUURN200SAT,2021,M01,2021 Jan,143.334
CUURN200SAT,2021,M02,2021 Feb,146.888
CUURN200SAT,2021,M03,2021 Mar,151.256
CUURN200SAT,2021,M04,2021 Apr,156.766
CUURN200SAT,2021,M05,2021 May,162.338
CUURN200SAT,2021,M06,2021 Jun,168.966
CUURN200SAT,2021,M07,2021 Jul,171.855
CUURN200SAT,2021,M08,2021 Aug,171.034
CUURN200SAT,2021,M09,2021 Sep,169.084
CUURN200SAT,2021,M10,2021 Oct,171.752
CUURN200SAT,2021,M11,2021 Nov,175.306
CUURN200SAT,2021,M12,2021 Dec,175.270
CUURN200SAT,2022,M01,2022 Jan,177.618
CUURN200SAT,2022,M02,2022 Feb,180.384
CUURN200SAT,2022,M03,2022 Mar,187.499
CUURN200SAT,2022,M04,2022 Apr,188.229
CUURN200SAT,2022,M05,2022 May,194.842
CUURN200SAT,2022,M06,2022 Jun,202.951
CUURN200SAT,2022,M07,2022 Jul,197.706
CUURN200SAT,2022,M08,2022 Aug,190.595
CUURN200SAT,2022,M09,2022 Sep,188.752
CUURN200SAT,2022,M10,2022 Oct,190.021
CUURN200SAT,2022,M11,2022 Nov,188.091
CUURN200SAT,2022,M12,2022 Dec,181.158
CUURN200SAT,2023,M01,2023 Jan,185.032
CUURN200SAT,2023,M02,2023 Feb,184.646
CUURN200SAT,2023,M03,2023 Mar,186.932
CUURN200SAT,2023,M04,2023 Apr,192.481
CUURN200SAT,2023,M05,2023 May,193.077
CUURN200SAT,2023,M06,2023 Jun,193.959
CUURN200SAT,2023,M07,2023 Jul,192.763
CUURN200SAT,2023,M08,2023 Aug,195.504
CUURN200SAT,2023,M09,2023 Sep,193.602
CUURN200SAT,2023,M10,2023 Oct,190.651
CUURN200SAT,2023,M11,2023 Nov,190.269
CUURN200SAT,2023,M12,2023 Dec,185.555
CUURN200SAT,2024,M01,2024 Jan,183.016
CUURN200SAT,2024,M02,2024 Feb,186.579
CUURN200SAT,2024,M03,2024 Mar,191.641
CUURN200SAT,2024,M04,2024 Apr,193.215
CUURN200SAT,2024,M05,2024 May,192.296
CUURN200SAT,2024,M06,2024 Jun,191.203
CUURN200SAT,2024,M07,2024 Jul,191.967
CUURN200SAT,2024,M08,2024 Aug,190.623
CUURN200SAT,2024,M09,2024 Sep,188.298
CUURN200SAT,2024,M10,2024 Oct,187.324
CUURN200SAT,2024,M11,2024 Nov,186.554
CUURN200SAT,2024,M12,2024 Dec,187.835
CUURN200SAT,2025,M01,2025 Jan,188.053
