Series ID,Year,Period,Label,Value
CUURS200SAT,2019,M01,2019 Jan,193.185
CUURS200SAT,2019,M02,2019 Feb,197.390
CUURS200SAT,2019,M03,2019 Mar,203.643
CUURS200SAT,2019,M04,2019 Apr,208.287
CUURS200SAT,2019,M05,2019 May,209.388
CUURS200SAT,2019,M06,2019 Jun,207.030
CUURS200SAT,2019,M07,2019 Jul,208.687
CUURS200SAT,2019,M08,2019 Aug,205.530
CUURS200SAT,2019,M09,2019 Sep,204.238
CUURS200SAT,2019,M10,2019 Oct,204.198
CUURS200SAT,2019,M11,2019 Nov,202.959
CUURS200SAT,2019,M12,2019 Dec,201.243
CUURS200SAT,2020,M01,2020 Jan,201.735
CUURS200SAT,2020,M02,2020 Feb,202.026
CUURS200SAT,2020,M03,2020 Mar,196.185
CUURS200SAT,2020,M04,2020 Apr,184.439
CUURS200SAT,2020,M05,2020 May,186.876
CUURS200SAT,2020,M06,2020 Jun,193.761
CUURS200SAT,2020,M07,2020 Jul,196.778
CUURS200SAT,2020,M08,2020 Aug,199.359
CUURS200SAT,2020,M09,2020 Sep,198.277
CUURS200SAT,2020,M10,2020 Oct,197.327
CUURS200SAT,2020,M11,2020 Nov,195.663
CUURS200SAT,2020,M12,2020 Dec,196.377
CUURS200SAT,2021,M01,2021 Jan,197.417
CUURS200SAT,2021,M02,2021 Feb,201.176
CUURS200SAT,2021,M03,2021 Mar,207.325
CUURS200SAT,2021,M04,2021 Apr,212.669
CUURS200SAT,2021,M05,2021 May,219.548
CUURS200SAT,2021,M06,2021 Jun,225.610
CUURS200SAT,2021,M07,2021 Jul,227.120
CUURS200SAT,2021,M08,2021 Aug,226.274
CUURS200SAT,2021,M09,2021 Sep,225.083
CUURS200SAT,2021,M10,2021 Oct,228.641
CUURS200SAT,2021,M11,2021 Nov,231.445
CUURS200SAT,2021,M12,2021 Dec,231.965
CUURS200SAT,2022,M01,2022 Jan,233.781
CUURS200SAT,2022,M02,2022 Feb,237.943
CUURS200SAT,2022,M03,2022 Mar,249.344
CUURS200SAT,2022,M04,2022 Apr,251.677
CUURS200SAT,2022,M05,2022 May,261.739
CUURS200SAT,2022,M06,2022 Jun,272.662
CUURS200SAT,2022,M07,2022 Jul,266.921
CUURS200SAT,2022,M08,2022 Aug,257.598
CUURS200SAT,2022,M09,2022 Sep,255.592
CUURS200SAT,2022,M10,2022 Oct,257.978
CUURS200SAT,2022,M11,2022 Nov,254.480
CUURS200SAT,2022,M12,2022 Dec,243.726
CUURS200SAT,2023,M01,2023 Jan,246.776
CUURS200SAT,2023,M02,2023 Feb,249.176
CUURS200SAT,2023,M03,2023 Mar,252.193
CUURS200SAT,2023,M04,2023 Apr,260.259
CUURS200SAT,2023,M05,2023 May,260.314
CUURS200SAT,2023,M06,2023 Jun,262.282
CUURS200SAT,2023,M07,2023 Jul,260.873
CUURS200SAT,2023,M08,2023 Aug,263.818
CUURS200SAT,2023,M09,2023 Sep,261.865
CUURS200SAT,2023,M10,2023 Oct,260.196
CUURS200SAT,2023,M11,2023 Nov,258.438
CUURS200SAT,2023,M12,2023 Dec,255.341
CUURS200SAT,2024,M01,2024 Jan,251.048
CUURS200SAT,2024,M02,2024 Feb,255.777
CUURS200SAT,2024,M03,2024 Mar,263.649
CUURS200SAT,2024,M04,2024 Apr,265.714
CUURS200SAT,2024,M05,2024 May,266.954
CUURS200SAT,2024,M06,2024 Jun,265.610
CUURS200SAT,2024,M07,2024 Jul,265.915
CUURS200SAT,2024,M08,2024 Aug,265.198
CUURS200SAT,2024,M09,2024 Sep,262.904
CUURS200SAT,2024,M10,2024 Oct,263.467
CUURS200SAT,2024,M11,2024 Nov,260.999
CUURS200SAT,2024,M12,2024 Dec,260.050
CUURS200SAT,2025,M01,2025 Jan,263.753
