Series ID,Year,Period,Label,Value
CUURS100SAT,2019,M01,2019 Jan,204.684
CUURS100SAT,2019,M02,2019 Feb,205.776
CUURS100SAT,2019,M03,2019 Mar,208.738
CUURS100SAT,2019,M04,2019 Apr,213.142
CUURS100SAT,2019,M05,2019 May,216.037
CUURS100SAT,2019,M06,2019 Jun,214.212
CUURS100SAT,2019,M07,2019 Jul,213.369
CUURS100SAT,2019,M08,2019 Aug,212.357
CUURS100SAT,2019,M09,2019 Sep,209.180
CUURS100SAT,2019,M10,2019 Oct,208.850
CUURS100SAT,2019,M11,2019 Nov,210.321
CUURS100SAT,2019,M12,2019 Dec,209.350
CUURS100SAT,2020,M01,2020 Jan,210.646
CUURS100SAT,2020,M02,2020 Feb,210.253
CUURS100SAT,2020,M03,2020 Mar,206.135
CUURS100SAT,2020,M04,2020 Apr,196.860
CUURS100SAT,2020,M05,2020 May,196.534
CUURS100SAT,2020,M06,2020 Jun,200.043
CUURS100SAT,2020,M07,2020 Jul,202.528
CUURS100SAT,2020,M08,2020 Aug,200.362
CUURS100SAT,2020,M09,2020 Sep,203.322
CUURS100SAT,2020,M10,2020 Oct,204.173
CUURS100SAT,2020,M11,2020 Nov,204.415
CUURS100SAT,2020,M12,2020 Dec,204.144
CUURS100SAT,2021,M01,2021 Jan,206.411
CUURS100SAT,2021,M02,2021 Feb,209.329
CUURS100SAT,2021,M03,2021 Mar,214.945
CUURS100SAT,2021,M04,2021 Apr,220.733
CUURS100SAT,2021,M05,2021 May,226.815
CUURS100SAT,2021,M06,2021 Jun,234.861
CUURS100SAT,2021,M07,2021 Jul,232.071
CUURS100SAT,2021,M08,2021 Aug,230.336
CUURS100SAT,2021,M09,2021 Sep,228.972
CUURS100SAT,2021,M10,2021 Oct,234.137
CUURS100SAT,2021,M11,2021 Nov,238.599
CUURS100SAT,2021,M12,2021 Dec,238.465
CUURS100SAT,2022,M01,2022 Jan,238.299
CUURS100SAT,2022,M02,2022 Feb,242.890
CUURS100SAT,2022,M03,2022 Mar,251.910
CUURS100SAT,2022,M04,2022 Apr,258.369
CUURS100SAT,2022,M05,2022 May,261.186
CUURS100SAT,2022,M06,2022 Jun,274.243
CUURS100SAT,2022,M07,2022 Jul,267.125
CUURS100SAT,2022,M08,2022 Aug,261.996
CUURS100SAT,2022,M09,2022 Sep,258.223
CUURS100SAT,2022,M10,2022 Oct,256.456
CUURS100SAT,2022,M11,2022 Nov,256.220
CUURS100SAT,2022,M12,2022 Dec,254.275
CUURS100SAT,2023,M01,2023 Jan,253.459
CUURS100SAT,2023,M02,2023 Feb,257.294
CUURS100SAT,2023,M03,2023 Mar,254.761
CUURS100SAT,2023,M04,2023 Apr,258.534
CUURS100SAT,2023,M05,2023 May,261.505
CUURS100SAT,2023,M06,2023 Jun,262.080
CUURS100SAT,2023,M07,2023 Jul,263.878
CUURS100SAT,2023,M08,2023 Aug,267.044
CUURS100SAT,2023,M09,2023 Sep,265.844
CUURS100SAT,2023,M10,2023 Oct,266.282
CUURS100SAT,2023,M11,2023 Nov,263.832
CUURS100SAT,2023,M12,2023 Dec,260.916
CUURS100SAT,2024,M01,2024 Jan,261.860
CUURS100SAT,2024,M02,2024 Feb,262.438
CUURS100SAT,2024,M03,2024 Mar,265.592
CUURS100SAT,2024,M04,2024 Apr,272.233
CUURS100SAT,2024,M05,2024 May,273.854
CUURS100SAT,2024,M06,2024 Jun,272.048
CUURS100SAT,2024,M07,2024 Jul,274.155
CUURS100SAT,2024,M08,2024 Aug,273.167
CUURS100SAT,2024,M09,2024 Sep,272.139
CUURS100SAT,2024,M10,2024 Oct,271.720
CUURS100SAT,2024,M11,2024 Nov,271.163
CUURS100SAT,2024,M12,2024 Dec,270.049
CUURS100SAT,2025,M01,2025 Jan,271.675
