Series ID,Year,Period,Label,Value
CUURN100SAT,2019,M01,2019 Jan,137.313
CUURN100SAT,2019,M02,2019 Feb,137.746
CUURN100SAT,2019,M03,2019 Mar,139.709
CUURN100SAT,2019,M04,2019 Apr,142.786
CUURN100SAT,2019,M05,2019 May,144.364
CUURN100SAT,2019,M06,2019 Jun,143.344
CUURN100SAT,2019,M07,2019 Jul,143.972
CUURN100SAT,2019,M08,2019 Aug,142.185
CUURN100SAT,2019,M09,2019 Sep,140.506
CUURN100SAT,2019,M10,2019 Oct,140.092
CUURN100SAT,2019,M11,2019 Nov,139.829
CUURN100SAT,2019,M12,2019 Dec,139.566
CUURN100SAT,2020,M01,2020 Jan,139.886
CUURN100SAT,2020,M02,2020 Feb,139.425
CUURN100SAT,2020,M03,2020 Mar,136.226
CUURN100SAT,2020,M04,2020 Apr,130.922
CUURN100SAT,2020,M05,2020 May,128.932
CUURN100SAT,2020,M06,2020 Jun,130.450
CUURN100SAT,2020,M07,2020 Jul,133.712
CUURN100SAT,2020,M08,2020 Aug,135.218
CUURN100SAT,2020,M09,2020 Sep,134.764
CUURN100SAT,2020,M10,2020 Oct,135.494
CUURN100SAT,2020,M11,2020 Nov,136.081
CUURN100SAT,2020,M12,2020 Dec,135.847
CUURN100SAT,2021,M01,2021 Jan,137.632
CUURN100SAT,2021,M02,2021 Feb,139.616
CUURN100SAT,2021,M03,2021 Mar,143.537
CUURN100SAT,2021,M04,2021 Apr,147.645
CUURN100SAT,2021,M05,2021 May,153.215
CUURN100SAT,2021,M06,2021 Jun,158.634
CUURN100SAT,2021,M07,2021 Jul,159.101
CUURN100SAT,2021,M08,2021 Aug,158.776
CUURN100SAT,2021,M09,2021 Sep,158.107
CUURN100SAT,2021,M10,2021 Oct,161.893
CUURN100SAT,2021,M11,2021 Nov,165.655
CUURN100SAT,2021,M12,2021 Dec,166.265
CUURN100SAT,2022,M01,2022 Jan,166.539
CUURN100SAT,2022,M02,2022 Feb,169.428
CUURN100SAT,2022,M03,2022 Mar,175.718
CUURN100SAT,2022,M04,2022 Apr,176.301
CUURN100SAT,2022,M05,2022 May,181.811
CUURN100SAT,2022,M06,2022 Jun,187.151
CUURN100SAT,2022,M07,2022 Jul,185.142
CUURN100SAT,2022,M08,2022 Aug,181.673
CUURN100SAT,2022,M09,2022 Sep,176.561
CUURN100SAT,2022,M10,2022 Oct,175.998
CUURN100SAT,2022,M11,2022 Nov,176.522
CUURN100SAT,2022,M12,2022 Dec,172.942
CUURN100SAT,2023,M01,2023 Jan,171.525
CUURN100SAT,2023,M02,2023 Feb,173.004
CUURN100SAT,2023,M03,2023 Mar,173.481
CUURN100SAT,2023,M04,2023 Apr,176.827
CUURN100SAT,2023,M05,2023 May,178.961
CUURN100SAT,2023,M06,2023 Jun,180.082
CUURN100SAT,2023,M07,2023 Jul,180.533
CUURN100SAT,2023,M08,2023 Aug,182.622
CUURN100SAT,2023,M09,2023 Sep,181.619
CUURN100SAT,2023,M10,2023 Oct,181.159
CUURN100SAT,2023,M11,2023 Nov,179.984
CUURN100SAT,2023,M12,2023 Dec,177.009
CUURN100SAT,2024,M01,2024 Jan,175.390
CUURN100SAT,2024,M02,2024 Feb,177.963
CUURN100SAT,2024,M03,2024 Mar,180.031
CUURN100SAT,2024,M04,2024 Apr,183.632
CUURN100SAT,2024,M05,2024 May,185.028
CUURN100SAT,2024,M06,2024 Jun,183.097
CUURN100SAT,2024,M07,2024 Jul,182.178
CUURN100SAT,2024,M08,2024 Aug,182.268
CUURN100SAT,2024,M09,2024 Sep,182.078
CUURN100SAT,2024,M10,2024 Oct,181.661
CUURN100SAT,2024,M11,2024 Nov,179.925
CUURN100SAT,2024,M12,2024 Dec,178.430
CUURN100SAT,2025,M01,2025 Jan,180.498
