Series ID,Year,Period,Label,Value
CUURS300SAT,2019,M01,2019 Jan,199.973
CUURS300SAT,2019,M02,2019 Feb,201.676
CUURS300SAT,2019,M03,2019 Mar,208.156
CUURS300SAT,2019,M04,2019 Apr,213.276
CUURS300SAT,2019,M05,2019 May,213.436
CUURS300SAT,2019,M06,2019 Jun,209.793
CUURS300SAT,2019,M07,2019 Jul,211.564
CUURS300SAT,2019,M08,2019 Aug,208.812
CUURS300SAT,2019,M09,2019 Sep,206.613
CUURS300SAT,2019,M10,2019 Oct,207.299
CUURS300SAT,2019,M11,2019 Nov,206.633
CUURS300SAT,2019,M12,2019 Dec,206.077
CUURS300SAT,2020,M01,2020 Jan,206.025
CUURS300SAT,2020,M02,2020 Feb,205.020
CUURS300SAT,2020,M03,2020 Mar,201.723
CUURS300SAT,2020,M04,2020 Apr,190.328
CUURS300SAT,2020,M05,2020 May,186.526
CUURS300SAT,2020,M06,2020 Jun,191.405
CUURS300SAT,2020,M07,2020 Jul,197.635
CUURS300SAT,2020,M08,2020 Aug,198.675
CUURS300SAT,2020,M09,2020 Sep,198.603
CUURS300SAT,2020,M10,2020 Oct,198.734
CUURS300SAT,2020,M11,2020 Nov,197.961
CUURS300SAT,2020,M12,2020 Dec,198.746
CUURS300SAT,2021,M01,2021 Jan,201.794
CUURS300SAT,2021,M02,2021 Feb,204.800
CUURS300SAT,2021,M03,2021 Mar,211.329
CUURS300SAT,2021,M04,2021 Apr,217.505
CUURS300SAT,2021,M05,2021 May,224.842
CUURS300SAT,2021,M06,2021 Jun,231.391
CUURS300SAT,2021,M07,2021 Jul,233.084
CUURS300SAT,2021,M08,2021 Aug,231.711
CUURS300SAT,2021,M09,2021 Sep,229.902
CUURS300SAT,2021,M10,2021 Oct,236.772
CUURS300SAT,2021,M11,2021 Nov,241.296
CUURS300SAT,2021,M12,2021 Dec,242.940
CUURS300SAT,2022,M01,2022 Jan,243.661
CUURS300SAT,2022,M02,2022 Feb,250.105
CUURS300SAT,2022,M03,2022 Mar,263.495
CUURS300SAT,2022,M04,2022 Apr,264.069
CUURS300SAT,2022,M05,2022 May,273.540
CUURS300SAT,2022,M06,2022 Jun,282.708
CUURS300SAT,2022,M07,2022 Jul,275.000
CUURS300SAT,2022,M08,2022 Aug,266.510
CUURS300SAT,2022,M09,2022 Sep,260.367
CUURS300SAT,2022,M10,2022 Oct,260.609
CUURS300SAT,2022,M11,2022 Nov,258.920
CUURS300SAT,2022,M12,2022 Dec,251.553
CUURS300SAT,2023,M01,2023 Jan,253.991
CUURS300SAT,2023,M02,2023 Feb,256.802
CUURS300SAT,2023,M03,2023 Mar,260.467
CUURS300SAT,2023,M04,2023 Apr,265.734
CUURS300SAT,2023,M05,2023 May,266.903
CUURS300SAT,2023,M06,2023 Jun,267.245
CUURS300SAT,2023,M07,2023 Jul,267.387
CUURS300SAT,2023,M08,2023 Aug,272.027
CUURS300SAT,2023,M09,2023 Sep,269.009
CUURS300SAT,2023,M10,2023 Oct,265.606
CUURS300SAT,2023,M11,2023 Nov,264.089
CUURS300SAT,2023,M12,2023 Dec,262.054
CUURS300SAT,2024,M01,2024 Jan,262.598
CUURS300SAT,2024,M02,2024 Feb,269.234
CUURS300SAT,2024,M03,2024 Mar,272.011
CUURS300SAT,2024,M04,2024 Apr,274.933
CUURS300SAT,2024,M05,2024 May,276.009
CUURS300SAT,2024,M06,2024 Jun,273.193
CUURS300SAT,2024,M07,2024 Jul,273.006
CUURS300SAT,2024,M08,2024 Aug,271.256
CUURS300SAT,2024,M09,2024 Sep,267.105
CUURS300SAT,2024,M10,2024 Oct,268.142
CUURS300SAT,2024,M11,2024 Nov,268.670
CUURS300SAT,2024,M12,2024 Dec,266.678
CUURS300SAT,2025,M01,2025 Jan,271.234
