Series ID,Year,Period,Label,Value
CUURN300SAT,2019,M01,2019 Jan,141.291
CUURN300SAT,2019,M02,2019 Feb,142.636
CUURN300SAT,2019,M03,2019 Mar,146.675
CUURN300SAT,2019,M04,2019 Apr,149.659
CUURN300SAT,2019,M05,2019 May,148.805
CUURN300SAT,2019,M06,2019 Jun,147.063
CUURN300SAT,2019,M07,2019 Jul,148.546
CUURN300SAT,2019,M08,2019 Aug,146.562
CUURN300SAT,2019,M09,2019 Sep,145.319
CUURN300SAT,2019,M10,2019 Oct,145.791
CUURN300SAT,2019,M11,2019 Nov,145.005
CUURN300SAT,2019,M12,2019 Dec,144.952
CUURN300SAT,2020,M01,2020 Jan,145.298
CUURN300SAT,2020,M02,2020 Feb,144.435
CUURN300SAT,2020,M03,2020 Mar,142.477
CUURN300SAT,2020,M04,2020 Apr,135.913
CUURN300SAT,2020,M05,2020 May,133.647
CUURN300SAT,2020,M06,2020 Jun,136.041
CUURN300SAT,2020,M07,2020 Jul,139.656
CUURN300SAT,2020,M08,2020 Aug,141.419
CUURN300SAT,2020,M09,2020 Sep,142.253
CUURN300SAT,2020,M10,2020 Oct,142.556
CUURN300SAT,2020,M11,2020 Nov,142.179
CUURN300SAT,2020,M12,2020 Dec,143.980
CUURN300SAT,2021,M01,2021 Jan,145.582
CUURN300SAT,2021,M02,2021 Feb,147.990
CUURN300SAT,2021,M03,2021 Mar,153.356
CUURN300SAT,2021,M04,2021 Apr,157.631
CUURN300SAT,2021,M05,2021 May,162.330
CUURN300SAT,2021,M06,2021 Jun,167.753
CUURN300SAT,2021,M07,2021 Jul,169.457
CUURN300SAT,2021,M08,2021 Aug,168.693
CUURN300SAT,2021,M09,2021 Sep,167.406
CUURN300SAT,2021,M10,2021 Oct,171.385
CUURN300SAT,2021,M11,2021 Nov,174.561
CUURN300SAT,2021,M12,2021 Dec,174.876
CUURN300SAT,2022,M01,2022 Jan,176.442
CUURN300SAT,2022,M02,2022 Feb,180.842
CUURN300SAT,2022,M03,2022 Mar,189.156
CUURN300SAT,2022,M04,2022 Apr,189.373
CUURN300SAT,2022,M05,2022 May,195.012
CUURN300SAT,2022,M06,2022 Jun,202.333
CUURN300SAT,2022,M07,2022 Jul,197.666
CUURN300SAT,2022,M08,2022 Aug,190.754
CUURN300SAT,2022,M09,2022 Sep,186.696
CUURN300SAT,2022,M10,2022 Oct,187.293
CUURN300SAT,2022,M11,2022 Nov,185.925
CUURN300SAT,2022,M12,2022 Dec,180.331
CUURN300SAT,2023,M01,2023 Jan,183.057
CUURN300SAT,2023,M02,2023 Feb,183.401
CUURN300SAT,2023,M03,2023 Mar,184.797
CUURN300SAT,2023,M04,2023 Apr,189.198
CUURN300SAT,2023,M05,2023 May,189.425
CUURN300SAT,2023,M06,2023 Jun,190.348
CUURN300SAT,2023,M07,2023 Jul,191.233
CUURN300SAT,2023,M08,2023 Aug,194.686
CUURN300SAT,2023,M09,2023 Sep,192.305
CUURN300SAT,2023,M10,2023 Oct,189.695
CUURN300SAT,2023,M11,2023 Nov,187.647
CUURN300SAT,2023,M12,2023 Dec,185.717
CUURN300SAT,2024,M01,2024 Jan,185.513
CUURN300SAT,2024,M02,2024 Feb,189.135
CUURN300SAT,2024,M03,2024 Mar,192.526
CUURN300SAT,2024,M04,2024 Apr,194.466
CUURN300SAT,2024,M05,2024 May,194.073
CUURN300SAT,2024,M06,2024 Jun,191.546
CUURN300SAT,2024,M07,2024 Jul,192.393
CUURN300SAT,2024,M08,2024 Aug,190.076
CUURN300SAT,2024,M09,2024 Sep,187.767
CUURN300SAT,2024,M10,2024 Oct,188.930
CUURN300SAT,2024,M11,2024 Nov,187.633
CUURN300SAT,2024,M12,2024 Dec,187.177
CUURN300SAT,2025,M01,2025 Jan,189.646
