Series ID,Year,Period,Label,Value
CUURS400SAT,2019,M01,2019 Jan,210.366
CUURS400SAT,2019,M02,2019 Feb,210.289
CUURS400SAT,2019,M03,2019 Mar,213.022
CUURS400SAT,2019,M04,2019 Apr,222.064
CUURS400SAT,2019,M05,2019 May,224.808
CUURS400SAT,2019,M06,2019 Jun,221.734
CUURS400SAT,2019,M07,2019 Jul,219.157
CUURS400SAT,2019,M08,2019 Aug,216.776
CUURS400SAT,2019,M09,2019 Sep,218.127
CUURS400SAT,2019,M10,2019 Oct,223.890
CUURS400SAT,2019,M11,2019 Nov,222.116
CUURS400SAT,2019,M12,2019 Dec,217.030
CUURS400SAT,2020,M01,2020 Jan,216.052
CUURS400SAT,2020,M02,2020 Feb,216.760
CUURS400SAT,2020,M03,2020 Mar,211.668
CUURS400SAT,2020,M04,2020 Apr,200.954
CUURS400SAT,2020,M05,2020 May,198.979
CUURS400SAT,2020,M06,2020 Jun,203.027
CUURS400SAT,2020,M07,2020 Jul,207.045
CUURS400SAT,2020,M08,2020 Aug,207.239
CUURS400SAT,2020,M09,2020 Sep,206.654
CUURS400SAT,2020,M10,2020 Oct,206.931
CUURS400SAT,2020,M11,2020 Nov,208.413
CUURS400SAT,2020,M12,2020 Dec,208.134
CUURS400SAT,2021,M01,2021 Jan,210.501
CUURS400SAT,2021,M02,2021 Feb,214.002
CUURS400SAT,2021,M03,2021 Mar,220.580
CUURS400SAT,2021,M04,2021 Apr,228.429
CUURS400SAT,2021,M05,2021 May,234.678
CUURS400SAT,2021,M06,2021 Jun,241.635
CUURS400SAT,2021,M07,2021 Jul,244.436
CUURS400SAT,2021,M08,2021 Aug,241.632
CUURS400SAT,2021,M09,2021 Sep,239.728
CUURS400SAT,2021,M10,2021 Oct,243.530
CUURS400SAT,2021,M11,2021 Nov,248.080
CUURS400SAT,2021,M12,2021 Dec,250.074
CUURS400SAT,2022,M01,2022 Jan,252.314
CUURS400SAT,2022,M02,2022 Feb,254.535
CUURS400SAT,2022,M03,2022 Mar,267.450
CUURS400SAT,2022,M04,2022 Apr,273.693
CUURS400SAT,2022,M05,2022 May,277.752
CUURS400SAT,2022,M06,2022 Jun,289.066
CUURS400SAT,2022,M07,2022 Jul,284.638
CUURS400SAT,2022,M08,2022 Aug,274.014
CUURS400SAT,2022,M09,2022 Sep,274.092
CUURS400SAT,2022,M10,2022 Oct,281.118
CUURS400SAT,2022,M11,2022 Nov,271.471
CUURS400SAT,2022,M12,2022 Dec,259.022
CUURS400SAT,2023,M01,2023 Jan,260.664
CUURS400SAT,2023,M02,2023 Feb,264.120
CUURS400SAT,2023,M03,2023 Mar,267.823
CUURS400SAT,2023,M04,2023 Apr,270.455
CUURS400SAT,2023,M05,2023 May,271.815
CUURS400SAT,2023,M06,2023 Jun,272.382
CUURS400SAT,2023,M07,2023 Jul,272.137
CUURS400SAT,2023,M08,2023 Aug,274.452
CUURS400SAT,2023,M09,2023 Sep,277.062
CUURS400SAT,2023,M10,2023 Oct,275.803
CUURS400SAT,2023,M11,2023 Nov,268.911
CUURS400SAT,2023,M12,2023 Dec,265.168
CUURS400SAT,2024,M01,2024 Jan,264.242
CUURS400SAT,2024,M02,2024 Feb,270.095
CUURS400SAT,2024,M03,2024 Mar,276.811
CUURS400SAT,2024,M04,2024 Apr,283.215
CUURS400SAT,2024,M05,2024 May,283.015
CUURS400SAT,2024,M06,2024 Jun,277.999
CUURS400SAT,2024,M07,2024 Jul,275.557
CUURS400SAT,2024,M08,2024 Aug,273.450
CUURS400SAT,2024,M09,2024 Sep,274.677
CUURS400SAT,2024,M10,2024 Oct,274.342
CUURS400SAT,2024,M11,2024 Nov,272.776
CUURS400SAT,2024,M12,2024 Dec,271.922
CUURS400SAT,2025,M01,2025 Jan,275.613
