Series ID,Year,Period,Label,Value
CUURN400SAT,2019,M01,2019 Jan,147.436
CUURN400SAT,2019,M02,2019 Feb,146.739
CUURN400SAT,2019,M03,2019 Mar,148.033
CUURN400SAT,2019,M04,2019 Apr,152.538
CUURN400SAT,2019,M05,2019 May,156.700
CUURN400SAT,2019,M06,2019 Jun,155.516
CUURN400SAT,2019,M07,2019 Jul,153.340
CUURN400SAT,2019,M08,2019 Aug,152.398
CUURN400SAT,2019,M09,2019 Sep,151.054
CUURN400SAT,2019,M10,2019 Oct,152.871
CUURN400SAT,2019,M11,2019 Nov,153.440
CUURN400SAT,2019,M12,2019 Dec,150.875
CUURN400SAT,2020,M01,2020 Jan,148.709
CUURN400SAT,2020,M02,2020 Feb,148.724
CUURN400SAT,2020,M03,2020 Mar,147.913
CUURN400SAT,2020,M04,2020 Apr,142.203
CUURN400SAT,2020,M05,2020 May,137.830
CUURN400SAT,2020,M06,2020 Jun,140.368
CUURN400SAT,2020,M07,2020 Jul,144.602
CUURN400SAT,2020,M08,2020 Aug,146.525
CUURN400SAT,2020,M09,2020 Sep,146.817
CUURN400SAT,2020,M10,2020 Oct,147.982
CUURN400SAT,2020,M11,2020 Nov,147.594
CUURN400SAT,2020,M12,2020 Dec,147.204
CUURN400SAT,2021,M01,2021 Jan,148.080
CUURN400SAT,2021,M02,2021 Feb,149.919
CUURN400SAT,2021,M03,2021 Mar,155.172
CUURN400SAT,2021,M04,2021 Apr,161.322
CUURN400SAT,2021,M05,2021 May,166.976
CUURN400SAT,2021,M06,2021 Jun,174.567
CUURN400SAT,2021,M07,2021 Jul,176.872
CUURN400SAT,2021,M08,2021 Aug,175.763
CUURN400SAT,2021,M09,2021 Sep,173.573
CUURN400SAT,2021,M10,2021 Oct,174.872
CUURN400SAT,2021,M11,2021 Nov,177.720
CUURN400SAT,2021,M12,2021 Dec,179.410
CUURN400SAT,2022,M01,2022 Jan,181.716
CUURN400SAT,2022,M02,2022 Feb,184.367
CUURN400SAT,2022,M03,2022 Mar,192.583
CUURN400SAT,2022,M04,2022 Apr,195.769
CUURN400SAT,2022,M05,2022 May,200.235
CUURN400SAT,2022,M06,2022 Jun,206.313
CUURN400SAT,2022,M07,2022 Jul,205.119
CUURN400SAT,2022,M08,2022 Aug,200.068
CUURN400SAT,2022,M09,2022 Sep,197.152
CUURN400SAT,2022,M10,2022 Oct,200.820
CUURN400SAT,2022,M11,2022 Nov,195.439
CUURN400SAT,2022,M12,2022 Dec,186.315
CUURN400SAT,2023,M01,2023 Jan,184.534
CUURN400SAT,2023,M02,2023 Feb,186.381
CUURN400SAT,2023,M03,2023 Mar,188.328
CUURN400SAT,2023,M04,2023 Apr,191.444
CUURN400SAT,2023,M05,2023 May,194.012
CUURN400SAT,2023,M06,2023 Jun,195.970
CUURN400SAT,2023,M07,2023 Jul,197.114
CUURN400SAT,2023,M08,2023 Aug,198.386
CUURN400SAT,2023,M09,2023 Sep,198.049
CUURN400SAT,2023,M10,2023 Oct,196.613
CUURN400SAT,2023,M11,2023 Nov,193.326
CUURN400SAT,2023,M12,2023 Dec,189.938
CUURN400SAT,2024,M01,2024 Jan,188.597
CUURN400SAT,2024,M02,2024 Feb,190.037
CUURN400SAT,2024,M03,2024 Mar,198.514
CUURN400SAT,2024,M04,2024 Apr,203.484
CUURN400SAT,2024,M05,2024 May,201.689
CUURN400SAT,2024,M06,2024 Jun,199.074
CUURN400SAT,2024,M07,2024 Jul,196.675
CUURN400SAT,2024,M08,2024 Aug,195.035
CUURN400SAT,2024,M09,2024 Sep,195.683
CUURN400SAT,2024,M10,2024 Oct,194.849
CUURN400SAT,2024,M11,2024 Nov,194.297
CUURN400SAT,2024,M12,2024 Dec,193.285
CUURN400SAT,2025,M01,2025 Jan,193.985
