"State","Year","Price_per_kwh","Price","Region"
"Conneticut","2015",21.05,2238.036,"Other"
"Conneticut","2016",20.13,2140.2216,"Other"
"Conneticut","2017",20.35,2163.612,"Other"
"Conneticut","2018",21.25,2259.3,"Other"
"Conneticut","2019",22.1,2349.672,"Other"
"Conneticut","2020",22.76,2419.8432,"Other"
"Conneticut","2021",22.02,2341.1664,"Other"
"Conneticut","2022",24.85,2642.052,"Other"
"Maine","2015",15.62,1660.7184,"Northeast"
"Maine","2016",15.77,1676.6664,"Northeast"
"Maine","2017",16.03,1704.3096,"Northeast"
"Maine","2018",16.09,1710.6888,"Northeast"
"Maine","2019",17.91,1904.1912,"Northeast"
"Maine","2020",16.84,1790.4288,"Northeast"
"Maine","2021",16.83,1789.3656,"Northeast"
"Maine","2022",22.55,2397.516,"Northeast"
"Massachusetts","2015",19.94,2120.0208,"Northeast"
"Massachusetts","2016",19.14,2034.9648,"Northeast"
"Massachusetts","2017",19.93,2118.9576,"Northeast"
"Massachusetts","2018",21.56,2292.2592,"Northeast"
"Massachusetts","2019",22.03,2342.2296,"Northeast"
"Massachusetts","2020",22.08,2347.5456,"Northeast"
"Massachusetts","2021",22.78,2421.9696,"Northeast"
"Massachusetts","2022",25.51,2712.2232,"Northeast"
"New Hampshire","2015",18.6,1977.552,"Northeast"
"New Hampshire","2016",18.35,1950.972,"Northeast"
"New Hampshire","2017",19.13,2033.9016,"Northeast"
"New Hampshire","2018",19.59,2082.8088,"Northeast"
"New Hampshire","2019",20.1,2137.032,"Northeast"
"New Hampshire","2020",19.08,2028.5856,"Northeast"
"New Hampshire","2021",19.62,2085.9984,"Northeast"
"New Hampshire","2022",24.51,2605.9032,"Northeast"
"Rhode Island","2015",19.3,2051.976,"Northeast"
"Rhode Island","2016",18.68,1986.0576,"Northeast"
"Rhode Island","2017",18.15,1929.708,"Northeast"
"Rhode Island","2018",20.26,2154.0432,"Northeast"
"Rhode Island","2019",21.73,2310.3336,"Northeast"
"Rhode Island","2020",21.82,2319.9024,"Northeast"
"Rhode Island","2021",22.01,2340.1032,"Northeast"
"Rhode Island","2022",22.38,2379.4416,"Northeast"
"Vermont","2015",17.02,1809.5664,"Northeast"
"Vermont","2016",17.29,1838.2728,"Northeast"
"Vermont","2017",17.67,1878.6744,"Northeast"
"Vermont","2018",17.95,1908.444,"Northeast"
"Vermont","2019",17.29,1838.2728,"Northeast"
"Vermont","2020",19.5,2073.24,"Northeast"
"Vermont","2021",19.15,2036.028,"Northeast"
"Vermont","2022",20.11,2138.0952,"Northeast"
"New Jersey","2015",16.02,1703.2464,"Northeast"
"New Jersey","2016",15.82,1681.9824,"Northeast"
"New Jersey","2017",15.72,1671.3504,"Northeast"
"New Jersey","2018",15.51,1649.0232,"Northeast"
"New Jersey","2019",15.97,1697.9304,"Northeast"
"New Jersey","2020",16.09,1710.6888,"Northeast"
"New Jersey","2021",16.42,1745.7744,"Northeast"
"New Jersey","2022",16.85,1791.492,"Northeast"
"New York","2015",18.72,1990.3104,"Northeast"
"New York","2016",17.62,1873.3584,"Northeast"
"New York","2017",18.16,1930.7712,"Northeast"
"New York","2018",18.67,1984.9944,"Northeast"
"New York","2019",18,1913.76,"Northeast"
"New York","2020",18.3,1945.656,"Northeast"
"New York","2021",19.39,2061.5448,"Northeast"
"New York","2022",21.79,2316.7128,"Northeast"
"Pennsylvania","2015",13.37,1421.4984,"Northeast"
"Pennsylvania","2016",14.05,1493.796,"Northeast"
"Pennsylvania","2017",14.34,1524.6288,"Northeast"
"Pennsylvania","2018",13.97,1485.2904,"Northeast"
"Pennsylvania","2019",13.74,1460.8368,"Northeast"
"Pennsylvania","2020",13.61,1447.0152,"Northeast"
"Pennsylvania","2021",13.69,1455.5208,"Northeast"
"Pennsylvania","2022",15.73,1672.4136,"Northeast"
"Illinois","2015",12.48,1326.8736,"Midwest"
"Illinois","2016",12.23,1300.2936,"Midwest"
"Illinois","2017",12.65,1344.948,"Midwest"
"Illinois","2018",12.51,1330.0632,"Midwest"
"Illinois","2019",12.82,1363.0224,"Midwest"
"Illinois","2020",12.85,1366.212,"Midwest"
"Illinois","2021",13.12,1394.9184,"Midwest"
"Illinois","2022",15.72,1671.3504,"Midwest"
"Indiana","2015",11.16,1186.5312,"Midwest"
"Indiana","2016",11.31,1202.4792,"Midwest"
"Indiana","2017",12,1275.84,"Midwest"
"Indiana","2018",12,1275.84,"Midwest"
"Indiana","2019",12.35,1313.052,"Midwest"
"Indiana","2020",12.48,1326.8736,"Midwest"
"Indiana","2021",13.37,1421.4984,"Midwest"
"Indiana","2022",14.81,1574.5992,"Midwest"
"Michigan","2015",14.42,1533.1344,"Midwest"
"Michigan","2016",15.29,1625.6328,"Midwest"
"Michigan","2017",15.52,1650.0864,"Midwest"
"Michigan","2018",15.64,1662.8448,"Midwest"
