State,2015,2016,2017,2018,2019,2020,2021,2022
Conneticut,21.05,20.13,20.35,21.25,22.1,22.76,22.02,24.85
Maine,15.62,15.77,16.03,16.09,17.91,16.84,16.83,22.55
Massachusetts,19.94,19.14,19.93,21.56,22.03,22.08,22.78,25.51
New Hampshire,18.6,18.35,19.13,19.59,20.1,19.08,19.62,24.51
Rhode Island,19.3,18.68,18.15,20.26,21.73,21.82,22.01,22.38
Vermont,17.02,17.29,17.67,17.95,17.29,19.5,19.15,20.11
New Jersey,16.02,15.82,15.72,15.51,15.97,16.09,16.42,16.85
New York,18.72,17.62,18.16,18.67,18,18.3,19.39,21.79
Pennsylvania,13.37,14.05,14.34,13.97,13.74,13.61,13.69,15.73
Illinois,12.48,12.23,12.65,12.51,12.82,12.85,13.12,15.72
Indiana,11.16,11.31,12,12,12.35,12.48,13.37,14.81
Michigan,14.42,15.29,15.52,15.64,15.84,16.37,17.55,17.75
Ohio,12.63,12.3,12.4,12.38,12.24,12.1,12.78,13.94
Wisconsin,14.46,14.46,14.75,14.5,14.69,14.8,14.58,15.63
Iowa,12.05,12.47,12.78,12.89,13.12,13.19,12.91,13.35
Kansas,12.28,13.01,13.32,13.25,12.72,12.77,12.92,14.17
Minnesota,12.39,12.79,13.28,13.46,13.43,13.51,13.48,14.26
Missouri,11.06,11.05,11.5,11.35,11.05,11.18,11.61,12.47
Nebraska,10.96,11.02,11.11,10.93,10.97,11.1,10.91,11.08
North Dakota,9.91,10.39,10.63,10.51,10.6,10.64,11.04,11.13
South Dakota,11.02,11.5,11.75,11.72,11.68,11.84,12.36,12.29
Delaware,13.38,13.49,13.46,12.62,12.67,12.65,12.46,13.43
District of Columbia,12.81,12.85,12.81,12.73,12.97,12.54,13.03,13.93
Florida,11.78,11.24,11.83,11.54,11.93,11.51,11.95,13.9
Georgia,11.65,11.58,11.98,11.64,11.69,12,12.67,14.28
Maryland,13.75,14.24,14.14,13.35,13.18,13.03,13,14.3
North Carolina,11.34,11.23,11.21,11.32,11.63,11.59,11.51,12.09
South Carolina,12.44,12.48,12.85,12.46,12.66,12.63,13.12,14.08
Virginia,11.39,11.5,11.75,11.88,12.04,12.25,12.19,13.39
West Virginia,10,11.18,11.67,11.37,11.17,11.8,12.13,13.26
Alabama,11.84,12.02,12.7,12.33,12.75,12.77,13.34,14.47
Kentucky,10.03,10.23,10.64,10.44,10.64,10.83,11.36,12.76
Mississippi,11.3,10.5,11.2,11.24,11.32,11.21,11.66,12.6
Tennessee,10.23,10.26,10.64,10.63,10.8,10.78,11.06,12.34
Arkansas,9.85,9.93,10.26,9.87,9.87,10.45,11.34,11.9
Louisiana,9.27,9.1,9.58,9.36,9.57,9.46,10.95,12.66
Oklahoma,10.08,10.19,10.56,10.37,10.25,10.08,12.44,12.72
Texas,11.68,11.03,11.17,11.38,11.82,11.93,11.99,13.36
Arizona,12.36,12.32,12.53,12.89,12.64,12.46,12.56,13.05
Colorado,12.08,12.03,12.18,12.16,12.36,12.47,13.04,14.27
Idaho,10.1,10.08,10.12,10.32,9.97,10.04,10.16,10.45
Montana,11.04,11.1,11.13,11.22,11.39,11.59,11.25,11.22
Nevada,12.8,11.41,11.92,11.86,12.02,10.78,11.38,13.61
New Mexico,12.74,12.08,13.01,12.87,12.73,13.18,13.67,14.17
Utah,11.05,11.15,11.15,10.65,10.61,10.67,10.55,11
Wyoming,11.02,11.23,11.47,11.46,11.31,11.26,11.3,11.21
California,16.96,17.29,18.17,18.88,19.15,20.39,22.74,26.38
Oregon,10.69,10.62,10.73,10.95,11,11.13,11.35,11.38
Washington,8.93,9.39,9.59,9.68,9.64,9.74,10.09,10.25
Alaska,20.18,20.57,21.53,22.1,22.9,23,22.63,23.14
Hawaii,30.16,27.34,29.27,32.16,32.29,30.59,32.93,42.81
