"Year","State","Price_per_1000ft3","Price","Region"
2015,"Alabama",14.13,847.8,"South"
2015,"Alaska",9.64,578.4,"West"
2015,"Arizona",17.04,1022.4,"West"
2015,"Arkansas",11.58,694.8,"South"
2015,"California",11.39,683.4,"West"
2015,"Colorado",8.27,496.2,"West"
2015,"Connecticut",12.5,750,"Northeast"
2015,"Delaware",12.62,757.2,"South"
2015,"District.of.Columbia",11.98,718.8,"Other"
2015,"Florida",19.34,1160.4,"South"
2015,"Georgia",14.62,877.2,"South"
2015,"Hawaii",40.08,2404.8,"West"
2015,"Idaho",8.59,515.4,"West"
2015,"Illinois",7.97,478.2,"Midwest"
2015,"Indiana",8.92,535.2,"Midwest"
2015,"Iowa",8.51,510.6,"Midwest"
2015,"Kansas",10.17,610.2,"Midwest"
2015,"Kentucky",10.87,652.2,"South"
2015,"Louisiana",10.77,646.2,"South"
2015,"Maine",16.79,1007.4,"Northeast"
2015,"Maryland",12.03,721.8,"South"
2015,"Massachusetts",13.02,781.2,"Northeast"
2015,"Michigan",8.81,528.6,"Midwest"
2015,"Minnesota",8.79,527.4,"Midwest"
2015,"Mississippi",9.7,582,"South"
2015,"Missouri",11.6,696,"Midwest"
2015,"Montana",8.21,492.6,"West"
2015,"Nebraska",8.86,531.6,"Midwest"
2015,"Nevada",11.82,709.2,"West"
2015,"New.Hampshire",16.18,970.8,"Other"
2015,"New.Jersey",8.32,499.2,"Other"
2015,"New.Mexico",8.63,517.8,"Other"
2015,"New.York",11.2,672,"Other"
2015,"North.Carolina",11.57,694.2,"Other"
2015,"North.Dakota",8.15,489,"Other"
2015,"Ohio",9.51,570.6,"Midwest"
2015,"Oklahoma",10.24,614.4,"South"
2015,"Oregon",12.49,749.4,"West"
2015,"Pennsylvania",11.04,662.4,"Northeast"
2015,"Rhode.Island",14.24,854.4,"Other"
2015,"South.Carolina",12.62,757.2,"Other"
2015,"South.Dakota",8.3,498,"Other"
2015,"Tennessee",9.62,577.2,"South"
2015,"Texas",10.64,638.4,"South"
2015,"Utah",9.72,583.2,"West"
2015,"Vermont",14.56,873.6,"Northeast"
2015,"Virginia",11.64,698.4,"South"
2015,"Washington",11.81,708.6,"West"
2015,"West.Virginia",10.48,628.8,"Other"
2015,"Wisconsin",8.54,512.4,"Midwest"
2015,"Wyoming",9.33,559.8,"West"
2016,"Alabama",14.06,843.6,"South"
2016,"Alaska",9.81,588.6,"West"
2016,"Arizona",15.28,916.8,"West"
2016,"Arkansas",11.17,670.2,"South"
2016,"California",11.84,710.4,"West"
2016,"Colorado",7.35,441,"West"
2016,"Connecticut",12.91,774.6,"Northeast"
2016,"Delaware",11.88,712.8,"South"
2016,"District.of.Columbia",10.9,654,"Other"
2016,"Florida",20.27,1216.2,"South"
2016,"Georgia",14.56,873.6,"South"
2016,"Hawaii",36.48,2188.8,"West"
2016,"Idaho",8.14,488.4,"West"
2016,"Illinois",7.88,472.8,"Midwest"
2016,"Indiana",7.92,475.2,"Midwest"
2016,"Iowa",8.13,487.8,"Midwest"
2016,"Kansas",9.85,591,"Midwest"
2016,"Kentucky",10.14,608.4,"South"
2016,"Louisiana",11.35,681,"South"
2016,"Maine",13.82,829.2,"Northeast"
2016,"Maryland",11.53,691.8,"South"
2016,"Massachusetts",12.46,747.6,"Northeast"
2016,"Michigan",8.21,492.6,"Midwest"
2016,"Minnesota",8.01,480.6,"Midwest"
2016,"Mississippi",10.06,603.6,"South"
2016,"Missouri",10.94,656.4,"Midwest"
2016,"Montana",7.27,436.2,"West"
2016,"Nebraska",8.01,480.6,"Midwest"
2016,"Nevada",10.23,613.8,"West"
2016,"New.Hampshire",14.25,855,"Other"
2016,"New.Jersey",8.3,498,"Other"
2016,"New.Mexico",8.05,483,"Other"
2016,"New.York",10.84,650.4,"Other"
2016,"North.Carolina",11.31,678.6,"Other"
2016,"North.Dakota",7.21,432.6,"Other"
2016,"Ohio",9.03,541.8,"Midwest"
2016,"Oklahoma",10.57,634.2,"South"
2016,"Oregon",11.67,700.2,"West"
2016,"Pennsylvania",10.18,610.8,"Northeast"
2016,"Rhode.Island",13.8,828,"Other"
2016,"South.Carolina",12.62,757.2,"Other"
2016,"South.Dakota",7.6,456,"Other"
2016,"Tennessee",9.21,552.6,"South"
2016,"Texas",11.73,703.8,"South"
2016,"Utah",9.12,547.2,"West"
2016,"Vermont",14.15,849,"Northeast"
2016,"Virginia",10.88,652.8,"South"
2016,"Washington",10.78,646.8,"West"
2016,"West.Virginia",9.26,555.6,"Other"
2016,"Wisconsin",8.07,484.2,"Midwest"
2016,"Wyoming",8.51,510.6,"West"
2017,"Alabama",16.12,967.2,"South"
2017,"Alaska",10.52,631.2,"West"
2017,"Arizona",15.78,946.8,"West"
2017,"Arkansas",12.97,778.2,"South"
2017,"California",12.49,749.4,"West"
2017,"Colorado",8.08,484.8,"West"
