"State","Region","Year","Price"
"Alaska","West","2015","7,519.0"
"Alaska","West","2016","6,140.4"
"Alaska","West","2017","6,746.4"
"Alaska","West","2018","7,866.6"
"Alaska","West","2019","7,703.3"
"Alaska","West","2020","6,379.1"
"Alaska","West","2021","8,897.8"
"Alaska","West","2022","13,050.8"
"Alabama","South","2015","4,117.6"
"Alabama","South","2016","3,951.4"
"Alabama","South","2017","4,189.7"
"Alabama","South","2018","4,485.0"
"Alabama","South","2019","4,339.5"
"Alabama","South","2020","3,693.3"
"Alabama","South","2021","4,805.7"
"Alabama","South","2022","6,109.6"
"Arkansas","South","2015","3,749.3"
"Arkansas","South","2016","3,440.6"
"Arkansas","South","2017","3,755.2"
"Arkansas","South","2018","4,131.3"
"Arkansas","South","2019","3,989.7"
"Arkansas","South","2020","3,438.8"
"Arkansas","South","2021","4,481.4"
"Arkansas","South","2022","5,709.0"
"Arizona","West","2015","3,036.0"
"Arizona","West","2016","2,819.8"
"Arizona","West","2017","3,011.8"
"Arizona","West","2018","3,306.1"
"Arizona","West","2019","3,236.4"
"Arizona","West","2020","2,831.7"
"Arizona","West","2021","3,506.9"
"Arizona","West","2022","4,474.9"
"California","West","2015","3,088.6"
"California","West","2016","2,842.1"
"California","West","2017","3,137.0"
"California","West","2018","3,487.5"
"California","West","2019","3,536.4"
"California","West","2020","2,902.6"
"California","West","2021","3,854.2"
"California","West","2022","5,123.1"
"Colorado","West","2015","3,004.6"
"Colorado","West","2016","2,723.7"
"Colorado","West","2017","2,948.3"
"Colorado","West","2018","3,279.2"
"Colorado","West","2019","3,255.9"
"Colorado","West","2020","2,666.5"
"Colorado","West","2021","3,548.6"
"Colorado","West","2022","4,857.2"
"Connecticut","Northeast","2015","3,657.8"
"Connecticut","Northeast","2016","3,282.3"
"Connecticut","Northeast","2017","3,517.4"
"Connecticut","Northeast","2018","3,977.7"
"Connecticut","Northeast","2019","3,808.5"
"Connecticut","Northeast","2020","3,224.8"
"Connecticut","Northeast","2021","3,802.0"
"Connecticut","Northeast","2022","5,022.2"
"District of Columbia","South","2015","3,168.0"
"District of Columbia","South","2016","2,884.9"
"District of Columbia","South","2017","2,823.2"
"District of Columbia","South","2018","3,050.9"
"District of Columbia","South","2019","2,992.3"
"District of Columbia","South","2020","2,630.8"
"District of Columbia","South","2021","3,152.6"
"District of Columbia","South","2022","3,836.7"
"Delaware","South","2015","3,700.3"
"Delaware","South","2016","3,355.0"
"Delaware","South","2017","3,607.7"
"Delaware","South","2018","4,034.3"
"Delaware","South","2019","3,885.9"
"Delaware","South","2020","3,138.1"
"Delaware","South","2021","3,829.3"
"Delaware","South","2022","4,724.9"
"Florida","South","2015","2,854.8"
"Florida","South","2016","2,591.4"
"Florida","South","2017","2,804.6"
"Florida","South","2018","3,058.4"
"Florida","South","2019","2,919.4"
"Florida","South","2020","2,387.0"
"Florida","South","2021","3,055.1"
"Florida","South","2022","4,013.5"
"Georgia","South","2015","3,432.9"
"Georgia","South","2016","3,137.8"
"Georgia","South","2017","3,409.7"
"Georgia","South","2018","3,582.3"
"Georgia","South","2019","3,444.1"
"Georgia","South","2020","2,895.5"
"Georgia","South","2021","3,578.8"
"Georgia","South","2022","4,668.3"
"Hawaii","West","2015","4,150.6"
"Hawaii","West","2016","3,649.3"
"Hawaii","West","2017","4,101.6"
"Hawaii","West","2018","4,802.0"
"Hawaii","West","2019","4,756.1"
"Hawaii","West","2020","3,237.1"
"Hawaii","West","2021","4,387.6"
"Hawaii","West","2022","6,456.5"
"Iowa","Midwest","2015","4,295.8"
"Iowa","Midwest","2016","4,048.8"
"Iowa","Midwest","2017","4,438.6"
"Iowa","Midwest","2018","4,982.7"
"Iowa","Midwest","2019","4,748.8"
"Iowa","Midwest","2020","4,026.8"
"Iowa","Midwest","2021","5,231.5"
"Iowa","Midwest","2022","6,927.3"
