"State","Price","Year","Region"
"Alabama",35658,2015,"South"
"Alabama",35943,2016,"South"
"Alabama",36643,2017,"South"
"Alabama",38180,2018,"South"
"Alabama",38717,2019,"South"
"Alabama",38138,2020,"South"
"Alabama",41035,2021,"South"
"Alabama",41599,2022,"South"
"Alaska",44777,2015,"West"
"Alaska",44682,2016,"West"
"Alaska",44892,2017,"West"
"Alaska",45837,2018,"West"
"Alaska",47049,2019,"West"
"Alaska",45108,2020,"West"
"Alaska",47392,2021,"West"
"Alaska",50009,2022,"West"
"Arizona",36763,2015,"West"
"Arizona",37019,2016,"West"
"Arizona",38511,2017,"West"
"Arizona",39580,2018,"West"
"Arizona",40082,2019,"West"
"Arizona",39131,2020,"West"
"Arizona",43859,2021,"West"
"Arizona",43703,2022,"West"
"Arkansas",35530,2015,"South"
"Arkansas",36276,2016,"South"
"Arkansas",37001,2017,"South"
"Arkansas",38399,2018,"South"
"Arkansas",38269,2019,"South"
"Arkansas",37974,2020,"South"
"Arkansas",40653,2021,"South"
"Arkansas",41952,2022,"South"
"California",38038,2015,"West"
"California",39332,2016,"West"
"California",40066,2017,"West"
"California",41087,2018,"West"
"California",42669,2019,"West"
"California",40808,2020,"West"
"California",45189,2021,"West"
"California",46501,2022,"West"
"Colorado",40761,2015,"West"
"Colorado",41892,2016,"West"
"Colorado",43014,2017,"West"
"Colorado",45062,2018,"West"
"Colorado",45363,2019,"West"
"Colorado",43664,2020,"West"
"Colorado",48502,2021,"West"
"Colorado",50608,2022,"West"
"Connecticut",44599,2015,"Northeast"
"Connecticut",45033,2016,"Northeast"
"Connecticut",45797,2017,"Northeast"
"Connecticut",47924,2018,"Northeast"
"Connecticut",48114,2019,"Northeast"
"Connecticut",46882,2020,"Northeast"
"Connecticut",50898,2021,"Northeast"
"Connecticut",49646,2022,"Northeast"
"Delaware",43952,2015,"South"
"Delaware",43961,2016,"South"
"Delaware",44514,2017,"South"
"Delaware",45194,2018,"South"
"Delaware",45685,2019,"South"
"Delaware",44523,2020,"South"
"Delaware",47909,2021,"South"
"Delaware",48371,2022,"South"
"District of Columbia",57499,2015,"Other"
"District of Columbia",58437,2016,"Other"
"District of Columbia",60432,2017,"Other"
"District of Columbia",61417,2018,"Other"
"District of Columbia",63900,2019,"Other"
"District of Columbia",60411,2020,"Other"
"District of Columbia",65273,2021,"Other"
"District of Columbia",65972,2022,"Other"
"Florida",40523,2015,"South"
"Florida",40969,2016,"South"
"Florida",41745,2017,"South"
"Florida",42991,2018,"South"
"Florida",43951,2019,"South"
"Florida",42478,2020,"South"
"Florida",46415,2021,"South"
"Florida",47670,2022,"South"
"Georgia",36948,2015,"South"
"Georgia",37523,2016,"South"
"Georgia",38271,2017,"South"
"Georgia",39237,2018,"South"
"Georgia",40029,2019,"South"
"Georgia",38887,2020,"South"
"Georgia",42009,2021,"South"
"Georgia",42928,2022,"South"
"Hawaii",36445,2015,"West"
"Hawaii",37257,2016,"West"
"Hawaii",38075,2017,"West"
"Hawaii",38744,2018,"West"
"Hawaii",39659,2019,"West"
"Hawaii",37243,2020,"West"
"Hawaii",40562,2021,"West"
"Hawaii",42308,2022,"West"
"Idaho",33297,2015,"West"
"Idaho",34563,2016,"West"
"Idaho",34595,2017,"West"
"Idaho",36290,2018,"West"
"Idaho",36265,2019,"West"
"Idaho",36465,2020,"West"
"Idaho",39923,2021,"West"
"Idaho",41238,2022,"West"
"Illinois",40702,2015,"Midwest"
"Illinois",41253,2016,"Midwest"
"Illinois",41638,2017,"Midwest"
"Illinois",42616,2018,"Midwest"
"Illinois",43445,2019,"Midwest"
"Illinois",41863,2020,"Midwest"
"Illinois",44938,2021,"Midwest"
"Illinois",46706,2022,"Midwest"
"Indiana",37758,2015,"Midwest"
"Indiana",38534,2016,"Midwest"
"Indiana",39799,2017,"Midwest"
"Indiana",39723,2018,"Midwest"
"Indiana",39925,2019,"Midwest"
"Indiana",39850,2020,"Midwest"
"Indiana",42449,2021,"Midwest"
"Indiana",44252,2022,"Midwest"
"Iowa",39683,2015,"Midwest"
"Iowa",40477,2016,"Midwest"
"Iowa",41216,2017,"Midwest"
"Iowa",40349,2018,"Midwest"
"Iowa",40655,2019,"Midwest"
"Iowa",40023,2020,"Midwest"
"Iowa",43330,2021,"Midwest"
"Iowa",44632,2022,"Midwest"
"Kansas",38553,2015,"Midwest"
"Kansas",39362,2016,"Midwest"
"Kansas",40092,2017,"Midwest"
"Kansas",40217,2018,"Midwest"
"Kansas",40629,2019,"Midwest"
"Kansas",39987,2020,"Midwest"
"Kansas",42846,2021,"Midwest"
"Kansas",44821,2022,"Midwest"
"Kentucky",36644,2015,"South"
"Kentucky",37377,2016,"South"
"Kentucky",38270,2017,"South"
"Kentucky",39539,2018,"South"
"Kentucky",39607,2019,"South"
"Kentucky",39199,2020,"South"
"Kentucky",42358,2021,"South"
"Kentucky",43032,2022,"South"
"Louisiana",37327,2015,"South"
"Louisiana",37430,2016,"South"
"Louisiana",38507,2017,"South"
"Louisiana",39796,2018,"South"
"Louisiana",40161,2019,"South"
"Louisiana",39294,2020,"South"
"Louisiana",42525,2021,"South"
"Louisiana",43723,2022,"South"
"Maine",42446,2015,"Northeast"
"Maine",43279,2016,"Northeast"
"Maine",44301,2017,"Northeast"
"Maine",45394,2018,"Northeast"
"Maine",46849,2019,"Northeast"
"Maine",45125,2020,"Northeast"
"Maine",48898,2021,"Northeast"
"Maine",48216,2022,"Northeast"
"Maryland",39339,2015,"South"
