State,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,35658,35943,36643,38180,38717,38138,41035,41599
Alaska,44777,44682,44892,45837,47049,45108,47392,50009
Arizona,36763,37019,38511,39580,40082,39131,43859,43703
Arkansas,35530,36276,37001,38399,38269,37974,40653,41952
California,38038,39332,40066,41087,42669,40808,45189,46501
Colorado,40761,41892,43014,45062,45363,43664,48502,50608
Connecticut,44599,45033,45797,47924,48114,46882,50898,49646
Delaware,43952,43961,44514,45194,45685,44523,47909,48371
District of Columbia,57499,58437,60432,61417,63900,60411,65273,65972
Florida,40523,40969,41745,42991,43951,42478,46415,47670
Georgia,36948,37523,38271,39237,40029,38887,42009,42928
Hawaii,36445,37257,38075,38744,39659,37243,40562,42308
Idaho,33297,34563,34595,36290,36265,36465,39923,41238
Illinois,40702,41253,41638,42616,43445,41863,44938,46706
Indiana,37758,38534,39799,39723,39925,39850,42449,44252
Iowa,39683,40477,41216,40349,40655,40023,43330,44632
Kansas,38553,39362,40092,40217,40629,39987,42846,44821
Kentucky,36644,37377,38270,39539,39607,39199,42358,43032
Louisiana,37327,37430,38507,39796,40161,39294,42525,43723
Maine,42446,43279,44301,45394,46849,45125,48898,48216
Maryland,39339,39953,40417,41102,41692,39293,42167,43510
Massachusetts,46728,46133,47535,48292,49132,46224,51218,51146
Michigan,40304,41381,42555,42526,42645,41694,45017,45845
Minnesota,43135,43952,44974,44509,44935,42707,45690,47301
Mississippi,34348,34726,35249,36127,36184,36640,39186,39613
Missouri,40584,41419,41951,42641,42578,41804,44892,46403
Montana,41124,41579,42106,44104,43682,43840,48458,50213
Nebraska,41536,42391,43264,42654,42734,41611,45632,47770
Nevada,37839,39104,39088,41377,40853,40067,44689,45857
New Hampshire,45415,45361,46405,47865,48195,46649,50748,49732
New Jersey,41982,42517,42742,42703,43549,42259,46861,47792
New Mexico,34782,35436,35365,37805,37156,36528,40991,41481
New York,40067,40649,41673,42862,43935,41561,44956,47396
North Carolina,37535,38020,39096,39841,41126,40869,43451,44358
North Dakota,48866,47809,48559,47815,47512,46887,49817,51586
Ohio,39984,40555,41509,41524,41853,41335,44189,45283
Oklahoma,35774,35889,36545,37841,38025,37118,39846,41080
Oregon,37448,38675,39112,38945,39864,39083,42443,42431
Pennsylvania,42056,42649,42725,44275,44911,43247,46842,48514
Rhode Island,39258,39827,40045,40892,41250,40597,43946,43425
South Carolina,37396,38003,38775,39499,40536,40184,42225,43216
South Dakota,42693,43737,44433,43353,43526,43270,47012,48706
Tennessee,36804,37209,38256,40185,40278,39921,43449,43867
Texas,37716,38150,39098,39554,39775,38959,42545,43897
Utah,33316,34595,34864,37035,37497,38302,42593,44222
Vermont,44363,45167,44711,46196,46773,44244,47838,47477
Virginia,39076,39748,40576,40960,42204,40662,43267,44274
Washington,40039,40419,40699,41913,42307,40951,44185,44700
West Virginia,37601,38862,39454,40227,41131,40984,41776,43448
Wisconsin,40342,41006,41749,42170,42443,41763,44942,46531
Wyoming,42024,42105,42673,45513,45078,46214,49425,50560
